Key,KeyCode
Backspace,8
Tab,9
Enter,13
Shift,16
Control,17
Alt,18
Pause/Break,19
Caps Lock,20
Escape,27
Space,32
Page Up,33
Page Down,34
End,35
Home,36
Left Arrow,37
Up Arrow,38
Right Arrow,39
Down Arrow,40
Insert,45
Delete,46
จ,48
ๅ,49
ภ,52
ถ,53
ุ,54
ึ,55
ค,56
ต,57
ฟ,65
ิ,66
แ,67
ก,68
ำ,69
ด,70
เ,71
้,72
ร,73
่,74
า,75
ส,76
ท,77
ื,78
น,79
ย,80
ๆ,81
พ,82
ห,83
ะ,84
ี,85
อ,86
ไ,87
ป,88
ั,89
ผ,90
Left Window Key,91
Right Window Key,92
Select Key,93
Numpad 0,96
Numpad 1,97
Numpad 2,98
Numpad 3,99
Numpad 4,100
Numpad 5,101
Numpad 6,102
Numpad 7,103
Numpad 8,104
Numpad 9,105
Multiply,106
Add,107
Subtract,109
Decimal Point,110
Divide,111
F1,112
F2,113
F3,114
F4,115
F5,116
F6,117
F7,118
F8,119
F9,120
F10,121
F11,122
F12,123
Num Lock,144
Scroll Lock,145
ว,186
ช,187
ม,188
ข,189
ใ,190
ฝ,191
บ,219
ฃ,220
ล,221
ง,222
