char,project_layout_preference,char_map_candidate_count,char_map_top_rule_candidate_count,chosen_map_id,chosen_physical_key_id,resolution_note
ม,TH,2,2,TH_KeyM_base,KeyM,deterministic_fallback_after_tie
"""",EN,2,1,EN_Quote_shift,Quote,project_rule_resolved
%,EN,2,1,EN_Digit5_shift,Digit5,project_rule_resolved
(,EN,2,1,EN_Digit9_shift,Digit9,project_rule_resolved
),EN,2,1,EN_Digit0_shift,Digit0,project_rule_resolved
",",EN,2,1,EN_Comma_base,Comma,project_rule_resolved
?,EN,2,1,EN_Slash_shift,Slash,project_rule_resolved
 ,COMMON,1,1,COMMON_Space,Space,unique
!,EN,1,1,EN_Digit1_shift,Digit1,unique
#,EN,1,1,EN_Digit3_shift,Digit3,unique
$,EN,1,1,EN_Digit4_shift,Digit4,unique
&,EN,1,1,EN_Digit7_shift,Digit7,unique
',EN,1,1,EN_Quote_base,Quote,unique
*,EN,1,1,EN_Digit8_shift,Digit8,unique
+,EN,1,1,EN_Equal_shift,Equal,unique
-,EN,1,1,EN_Minus_base,Minus,unique
.,EN,1,1,EN_Period_base,Period,unique
/,EN,1,1,EN_Slash_base,Slash,unique
0,EN,1,1,EN_Digit0_base,Digit0,unique
1,EN,1,1,EN_Digit1_base,Digit1,unique
2,EN,1,1,EN_Digit2_base,Digit2,unique
3,EN,1,1,EN_Digit3_base,Digit3,unique
4,EN,1,1,EN_Digit4_base,Digit4,unique
5,EN,1,1,EN_Digit5_base,Digit5,unique
6,EN,1,1,EN_Digit6_base,Digit6,unique
7,EN,1,1,EN_Digit7_base,Digit7,unique
8,EN,1,1,EN_Digit8_base,Digit8,unique
9,EN,1,1,EN_Digit9_base,Digit9,unique
:,EN,1,1,EN_Semicolon_shift,Semicolon,unique
;,EN,1,1,EN_Semicolon_base,Semicolon,unique
<,EN,1,1,EN_Comma_shift,Comma,unique
=,EN,1,1,EN_Equal_base,Equal,unique
>,EN,1,1,EN_Period_shift,Period,unique
@,EN,1,1,EN_Digit2_shift,Digit2,unique
A,EN,1,1,EN_KeyA_shift,KeyA,unique
B,EN,1,1,EN_KeyB_shift,KeyB,unique
C,EN,1,1,EN_KeyC_shift,KeyC,unique
D,EN,1,1,EN_KeyD_shift,KeyD,unique
E,EN,1,1,EN_KeyE_shift,KeyE,unique
F,EN,1,1,EN_KeyF_shift,KeyF,unique
G,EN,1,1,EN_KeyG_shift,KeyG,unique
H,EN,1,1,EN_KeyH_shift,KeyH,unique
I,EN,1,1,EN_KeyI_shift,KeyI,unique
J,EN,1,1,EN_KeyJ_shift,KeyJ,unique
K,EN,1,1,EN_KeyK_shift,KeyK,unique
L,EN,1,1,EN_KeyL_shift,KeyL,unique
M,EN,1,1,EN_KeyM_shift,KeyM,unique
N,EN,1,1,EN_KeyN_shift,KeyN,unique
O,EN,1,1,EN_KeyO_shift,KeyO,unique
P,EN,1,1,EN_KeyP_shift,KeyP,unique
Q,EN,1,1,EN_KeyQ_shift,KeyQ,unique
R,EN,1,1,EN_KeyR_shift,KeyR,unique
S,EN,1,1,EN_KeyS_shift,KeyS,unique
T,EN,1,1,EN_KeyT_shift,KeyT,unique
U,EN,1,1,EN_KeyU_shift,KeyU,unique
V,EN,1,1,EN_KeyV_shift,KeyV,unique
W,EN,1,1,EN_KeyW_shift,KeyW,unique
X,EN,1,1,EN_KeyX_shift,KeyX,unique
Y,EN,1,1,EN_KeyY_shift,KeyY,unique
Z,EN,1,1,EN_KeyZ_shift,KeyZ,unique
[,EN,1,1,EN_BracketLeft_base,BracketLeft,unique
\,EN,1,1,EN_Backslash_base,Backslash,unique
],EN,1,1,EN_BracketRight_base,BracketRight,unique
^,EN,1,1,EN_Digit6_shift,Digit6,unique
_,EN,1,1,EN_Minus_shift,Minus,unique
`,EN,1,1,EN_Backquote_base,Backquote,unique
a,EN,1,1,EN_KeyA_base,KeyA,unique
b,EN,1,1,EN_KeyB_base,KeyB,unique
c,EN,1,1,EN_KeyC_base,KeyC,unique
d,EN,1,1,EN_KeyD_base,KeyD,unique
e,EN,1,1,EN_KeyE_base,KeyE,unique
f,EN,1,1,EN_KeyF_base,KeyF,unique
g,EN,1,1,EN_KeyG_base,KeyG,unique
h,EN,1,1,EN_KeyH_base,KeyH,unique
i,EN,1,1,EN_KeyI_base,KeyI,unique
j,EN,1,1,EN_KeyJ_base,KeyJ,unique
k,EN,1,1,EN_KeyK_base,KeyK,unique
l,EN,1,1,EN_KeyL_base,KeyL,unique
m,EN,1,1,EN_KeyM_base,KeyM,unique
n,EN,1,1,EN_KeyN_base,KeyN,unique
o,EN,1,1,EN_KeyO_base,KeyO,unique
p,EN,1,1,EN_KeyP_base,KeyP,unique
q,EN,1,1,EN_KeyQ_base,KeyQ,unique
r,EN,1,1,EN_KeyR_base,KeyR,unique
s,EN,1,1,EN_KeyS_base,KeyS,unique
t,EN,1,1,EN_KeyT_base,KeyT,unique
u,EN,1,1,EN_KeyU_base,KeyU,unique
v,EN,1,1,EN_KeyV_base,KeyV,unique
w,EN,1,1,EN_KeyW_base,KeyW,unique
x,EN,1,1,EN_KeyX_base,KeyX,unique
y,EN,1,1,EN_KeyY_base,KeyY,unique
z,EN,1,1,EN_KeyZ_base,KeyZ,unique
{,EN,1,1,EN_BracketLeft_shift,BracketLeft,unique
|,EN,1,1,EN_Backslash_shift,Backslash,unique
},EN,1,1,EN_BracketRight_shift,BracketRight,unique
~,EN,1,1,EN_Backquote_shift,Backquote,unique
ก,TH,1,1,TH_KeyD_base,KeyD,unique
ข,TH,1,1,TH_Minus_base,Minus,unique
ฃ,TH,1,1,TH_Backslash_base,Backslash,unique
ค,TH,1,1,TH_Digit8_base,Digit8,unique
ฅ,TH,1,1,TH_Backslash_shift,Backslash,unique
ฆ,TH,1,1,TH_KeyS_shift,KeyS,unique
ง,TH,1,1,TH_Quote_base,Quote,unique
จ,TH,1,1,TH_Digit0_base,Digit0,unique
ฉ,TH,1,1,TH_KeyC_shift,KeyC,unique
ช,TH,1,1,TH_Equal_base,Equal,unique
ซ,TH,1,1,TH_Semicolon_shift,Semicolon,unique
ฌ,TH,1,1,TH_KeyG_shift,KeyG,unique
ญ,TH,1,1,TH_KeyP_shift,KeyP,unique
ฎ,TH,1,1,TH_KeyE_shift,KeyE,unique
ฏ,TH,1,1,TH_KeyD_shift,KeyD,unique
ฐ,TH,1,1,TH_BracketLeft_shift,BracketLeft,unique
ฑ,TH,1,1,TH_KeyR_shift,KeyR,unique
ฒ,TH,1,1,TH_Comma_shift,Comma,unique
ณ,TH,1,1,TH_KeyI_shift,KeyI,unique
ด,TH,1,1,TH_KeyF_base,KeyF,unique
ต,TH,1,1,TH_Digit9_base,Digit9,unique
ถ,TH,1,1,TH_Digit5_base,Digit5,unique
ท,TH,1,1,TH_KeyN_base,KeyN,unique
ธ,TH,1,1,TH_KeyT_shift,KeyT,unique
น,TH,1,1,TH_KeyO_base,KeyO,unique
บ,TH,1,1,TH_BracketLeft_base,BracketLeft,unique
ป,TH,1,1,TH_KeyX_base,KeyX,unique
ผ,TH,1,1,TH_KeyZ_base,KeyZ,unique
