trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,error_episode_id,episode_start_event_index,episode_end_event_index,episode_start_time_ms,episode_end_time_ms,episode_duration_ms,episode_event_count,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,1,21,21,4334,4334,0,1,0,0,1,0.823810137502256,
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,1,11,11,2612,2612,0,1,0,0,1,-3.7141009587987357,
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,2,14,14,3212,3212,0,1,0,0,1,-4.121204632909203,
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,3,32,34,6480,6918,438,3,1,1,2,0.7397736459737683,352.0
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,1,12,12,2471,2471,0,1,0,0,1,-1.1509780952410065,
20260419141512-jt34p4__8__P10,20260419141512-jt34p4,ก้องฟ้า,8,main,P10,1,11,15,2432,3399,967,5,2,2,2,-0.8372900881949297,361.0
20260419141512-jt34p4__8__P10,20260419141512-jt34p4,ก้องฟ้า,8,main,P10,2,27,31,6188,6767,579,5,2,2,3,-3.349356154078797,372.0
20260419141512-jt34p4__8__P10,20260419141512-jt34p4,ก้องฟ้า,8,main,P10,3,33,35,8108,8557,449,3,1,1,2,-1.7278165440728275,427.0
20260419141512-jt34p4__8__P10,20260419141512-jt34p4,ก้องฟ้า,8,main,P10,4,57,59,14917,15473,556,3,1,1,2,3.79163814503476,454.0
20260419141512-jt34p4__9__P06,20260419141512-jt34p4,ก้องฟ้า,9,main,P06,1,12,12,2823,2823,0,1,0,0,1,0.8024051605687604,
20260419141512-jt34p4__9__P06,20260419141512-jt34p4,ก้องฟ้า,9,main,P06,2,14,18,3549,4759,1210,5,2,2,3,1.2217383543873768,391.0
20260419141512-jt34p4__9__P06,20260419141512-jt34p4,ก้องฟ้า,9,main,P06,3,20,20,5674,5674,0,1,0,0,1,0.15858768778661703,
20260419141512-jt34p4__9__P06,20260419141512-jt34p4,ก้องฟ้า,9,main,P06,4,32,32,8776,8776,0,1,0,0,1,-3.1692554939636963,
20260419141512-jt34p4__9__P06,20260419141512-jt34p4,ก้องฟ้า,9,main,P06,5,39,41,11878,12373,495,3,1,1,2,0.4085563778864166,237.0
20260419141512-jt34p4__10__P08,20260419141512-jt34p4,ก้องฟ้า,10,main,P08,1,8,12,1675,2291,616,5,2,2,3,-1.9761044864176855,369.0
20260419141512-jt34p4__11__P07,20260419141512-jt34p4,ก้องฟ้า,11,main,P07,1,13,17,3036,4135,1099,5,2,2,2,-0.8706896283295279,452.0
20260419141512-jt34p4__11__P07,20260419141512-jt34p4,ก้องฟ้า,11,main,P07,2,19,19,4989,4989,0,1,0,0,1,3.048588099581942,
20260419141512-jt34p4__11__P07,20260419141512-jt34p4,ก้องฟ้า,11,main,P07,3,36,36,8662,8662,0,1,0,0,1,-1.7806597216129962,
20260419141512-jt34p4__12__P12,20260419141512-jt34p4,ก้องฟ้า,12,main,P12,1,39,39,6043,6043,0,1,0,0,1,-1.3601120956906483,
20260419141512-jt34p4__12__P12,20260419141512-jt34p4,ก้องฟ้า,12,main,P12,2,41,43,6910,7835,925,3,1,1,2,-0.31742659347850966,608.0
