participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
Bao,expected_char_class,<missing>,18,13,7,7,5.472382389028476,-0.21390525907372623,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_char_class,arabic_numeral,5,5,2,2,5.976598073130641,1.0009732153674036,0.0,0.0,0.0,0.0,17189.6,17189.6,0.0,0.0
Bao,expected_char_class,english_punctuation,11,3,1,1,5.806234174157923,4.3016383112869,0.36363636363636365,0.0,0.18181818181818182,0.0,14106.0,14106.0,0.0,0.6666666666666666
Bao,expected_char_class,thai_consonant,672,543,15,15,5.481695768889562,0.020349460162231933,0.08779761904761904,0.02976190476190476,0.01488095238095238,0.001488095238095238,24706.362799263352,25024.491712707182,0.02394106813996317,0.1860036832412523
Bao,expected_char_class,thai_diacritic,7,7,5,5,5.449982428316393,0.7916512867445735,0.0,0.0,0.0,0.0,26138.428571428572,26138.428571428572,0.0,0.14285714285714285
Bao,expected_char_class,thai_numeral,14,4,2,2,6.540939481197725,2.7376062363153153,0.35714285714285715,0.0,0.14285714285714285,0.0,30309.25,30309.25,0.0,0.75
Bao,expected_char_class,thai_tone_mark,69,57,14,14,4.934596457196048,-1.295819549505076,0.10144927536231885,0.057971014492753624,0.0,0.0,25419.19298245614,25419.19298245614,0.0,0.17543859649122806
Bao,expected_char_class,thai_vowel_mark,462,248,15,15,5.377636041583244,0.23666874449156947,0.24025974025974026,0.05411255411255411,0.006493506493506494,0.0,23174.125,23361.112903225807,0.008064516129032258,0.20161290322580644
Bao,expected_char_class,whitespace,147,19,8,8,5.168878329670562,6.8450205447430585,0.4421768707482993,0.0,0.0,0.0,23031.526315789473,23031.526315789473,0.0,0.2631578947368421
Bao,expected_hand_proxy,<missing>,18,13,7,7,5.472382389028476,-0.21390525907372623,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_hand_proxy,left,343,237,15,15,5.528470964948844,0.31575899584554956,0.15160349854227406,0.03498542274052478,0.03206997084548105,0.0,26830.573839662447,27220.03375527426,0.02109704641350211,0.2320675105485232
Bao,expected_hand_proxy,right,897,630,15,15,5.3911523060096895,0.023957465451360693,0.14938684503901895,0.04124860646599777,0.006688963210702341,0.0011148272017837235,23309.933333333334,23511.226984126984,0.015873015873015872,0.17777777777777778
Bao,expected_hand_proxy,thumb,147,19,8,8,5.168878329670562,6.8450205447430585,0.4421768707482993,0.0,0.0,0.0,23031.526315789473,23031.526315789473,0.0,0.2631578947368421
Bao,expected_layout,<missing>,18,13,7,7,5.472382389028476,-0.21390525907372623,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_layout,COMMON,147,19,8,8,5.168878329670562,6.8450205447430585,0.4421768707482993,0.0,0.0,0.0,23031.526315789473,23031.526315789473,0.0,0.2631578947368421
Bao,expected_layout,EN,16,8,2,2,5.859472892586897,3.270180468812057,0.25,0.0,0.125,0.0,16033.25,16033.25,0.0,0.25
Bao,expected_layout,TH,1224,859,15,15,5.423511105544734,0.06329435832018067,0.14869281045751634,0.04003267973856209,0.012254901960784314,0.0008169934640522876,24349.054714784634,24604.138533178113,0.017462165308498253,0.1920838183934808
