trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_position,prompt_position_1based,time_to_first_correct_ms,time_to_stability_ms,revisions,wrong_first
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,0,1,1221,1221,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,1,2,1317,1317,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,2,3,1385,1385,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,3,4,1544,1544,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,4,5,1583,1583,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,5,6,1779,1779,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,6,7,1993,1993,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,7,8,2125,2125,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,8,9,2185,2185,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,9,10,2380,2380,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,10,11,2839,2839,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,11,12,3257,3257,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,12,13,3377,3377,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,13,14,3534,3534,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,14,15,3639,3639,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,15,16,3744,3744,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,16,17,3957,3957,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,17,18,4217,4217,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,18,19,4316,4316,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,19,20,4395,4395,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,20,21,4539,4539,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,21,22,4598,4598,0,0
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,22,23,4794,4794,0,0
