trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_typing_order,length_class,condition,duration_ms,first_key_latency_ms,event_count,insert_count,delete_count,mean_dt_ms,median_dt_ms,mean_friction,max_friction,total_time_in_error_ms,number_of_error_episodes,maximum_wrong_suffix_depth,mean_planned_geometry_burden,layout_switch_count,shift_required_count,near_key_typo_count,layout_confusion_count,shift_confusion_count,prompt_source,prompt_text,prompt_length,final_reconstructed_text,final_prefix_match_len,final_resulting_text_length,qc_prompt_available_ok,qc_event_index_ok,qc_time_monotonic_ok,qc_append_pop_ok,qc_reconstruction_ok,qc_exact_match_ok,all_core_qc_ok
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,0,practice,practice_warmup,7096,1221,37,37,0,191.78378378378378,132.0,-0.2394894728183924,0.4876762199620344,0.0,0,0,0.22037859980051172,0.0,2.0,0,0,0,recovered_from_event_log_consensus,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,37,1,1,1,1,1,1,1
20260419141512-jt34p4__10__P08,20260419141512-jt34p4,ก้องฟ้า,10,main,P08,10,medium,formal_lexical_difficulty,11055,711,62,59,3,178.30645161290323,147.0,-0.27889536578939395,0.419974597912779,1253.0,1,3,-0.36754765194700195,0.0,1.0,1,0,0,prompt_table,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,56,1,1,1,1,1,1,1
20260419141512-jt34p4__11__P07,20260419141512-jt34p4,ก้องฟ้า,11,main,P07,11,medium,formal_educational,15943,762,78,72,6,204.39743589743588,148.0,-0.21450177819973668,0.47929456318724073,2156.0,3,2,-0.17339237895078627,0.0,3.0,2,0,0,prompt_table,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,66,1,1,1,1,1,1,1
20260419141512-jt34p4__12__P12,20260419141512-jt34p4,ก้องฟ้า,12,main,P12,12,long,long_familiar_expository,28638,709,155,141,14,184.76129032258063,161.0,-0.19155910585101332,0.5732294635672812,4942.0,7,3,0.19164531960124262,0.0,5.0,4,0,0,prompt_table,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,127,1,1,1,1,1,1,1
20260419141512-jt34p4__13__P14,20260419141512-jt34p4,ก้องฟ้า,13,main,P14,13,long,long_mixed_difficulty,38698,964,185,165,20,209.17837837837837,160.0,-0.19020599941036503,0.7288609306563266,7002.0,9,4,-0.12840085383977345,0.0,16.0,5,0,1,prompt_table,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,145,1,1,1,1,1,1,1
20260419141512-jt34p4__14__P13,20260419141512-jt34p4,ก้องฟ้า,14,main,P13,14,long,long_formal_bureaucratic,31937,801,173,158,15,184.60693641618496,162.0,-0.21343220374849947,0.5106963313959314,4583.0,7,3,0.08792277437946922,0.0,17.0,4,0,1,prompt_table,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,143,1,1,1,1,1,1,1
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,1,short,familiar_baseline,5297,671,28,28,0,189.17857142857142,144.5,-0.29395722125327645,0.278145093913676,0.0,0,0,-0.24358572739369033,0.0,1.0,0,0,0,prompt_table,วันนี้เราจะทำการบ้านให้เสร็จ,28,วันนี้เราจะทำการบ้านให้เสร็จ,28,28,1,1,1,1,1,1,1
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,2,short,familiar_polite,4030,695,23,23,0,175.2173913043478,138.0,-0.23984761600109242,0.29044091057740284,0.0,0,0,0.25814509546983044,0.0,1.0,0,0,0,prompt_table,กรุณาตอบกลับภายในวันนี้,23,กรุณาตอบกลับภายในวันนี้,23,23,1,1,1,1,1,1,1
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,3,short,orthographic_named_entity,5907,718,31,30,1,190.5483870967742,159.0,-0.18292676460732107,0.33771362874981625,279.0,1,1,0.3442897128019278,0.0,3.0,0,0,0,prompt_table,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,29,1,1,1,1,1,1,1
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,4,short,formal_register,8598,736,38,34,4,226.26315789473685,195.5,-0.1557239130029166,0.5638883025806046,1243.0,3,2,0.01743082863933219,0.0,1.0,3,0,0,prompt_table,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,30,1,1,1,1,1,1,1
