short_window_id,cluster_id,window_id,trial_uid,participant_code,prompt_id,error_episode_id,window_start_event_index,window_end_event_index,window_length,episode_duration_ms,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms,heuristic_recovery_style,prompt_family
EP001,1,20260423114247-jugfhg__12__P12__E004,20260423114247-jugfhg__12__P12,Bao,P12,4,75,199,125,46122,59,59,60,2.4991496814413527,10628.0,deep_overshoot_then_recovery,long_familiar_expository
EP002,1,20260422132335-1ewston__11__P07__E031,20260422132335-1ewston__11__P07,Shimmy,P07,31,156,252,97,309964,45,45,34,1.4632859900099948,708.0,deep_overshoot_then_recovery,formal_educational
EP003,1,20260420162459-1rqejrq__6__P09__E011,20260420162459-1rqejrq__6__P09,Plub,P09,11,75,189,115,37448,54,54,42,2.0485194130472855,408.0,deep_overshoot_then_recovery,arabic_numerals
EP004,3,20260420151441-b4zwmo__4__P03__E001,20260420151441-b4zwmo__4__P03,Mick,P03,1,6,54,49,10098,21,21,22,0.7044173229443749,2357.0,deep_overshoot_then_recovery,formal_register
EP005,3,20260422085611-ymkt5s__7__P11__E001,20260422085611-ymkt5s__7__P11,Micky,P11,1,1,42,42,5191,19,19,20,0.5385890256645718,1659.0,deep_overshoot_then_recovery,rhythmic_repetition
EP006,4,20260422132335-1ewston__6__P09__E003,20260422132335-1ewston__6__P09,Shimmy,P09,3,22,32,11,213990,2,2,2,0.5456875172487283,211.0,immediate_repair,arabic_numerals
EP007,3,20260420042552-1pdrvw3__5__P05__E003,20260420042552-1pdrvw3__5__P05,sine,P05,3,21,53,33,8654,13,13,14,0.6848746558877976,2394.0,deep_overshoot_then_recovery,twisted_proverb
EP008,3,20260420151441-b4zwmo__6__P09__E002,20260420151441-b4zwmo__6__P09,Mick,P09,2,20,50,31,6698,12,12,13,0.3526658928794779,3019.0,deep_overshoot_then_recovery,arabic_numerals
EP009,3,20260420151441-b4zwmo__10__P08__E002,20260420151441-b4zwmo__10__P08,Mick,P08,2,44,72,29,9498,11,11,12,0.5060987188689098,3227.0,deep_overshoot_then_recovery,formal_lexical_difficulty
EP010,3,20260422085611-ymkt5s__10__P08__E002,20260422085611-ymkt5s__10__P08,Micky,P08,2,47,71,25,3763,9,9,9,0.3273444181004832,284.0,deep_overshoot_then_recovery,formal_lexical_difficulty
EP011,3,20260420162459-1rqejrq__6__P09__E001,20260420162459-1rqejrq__6__P09,Plub,P09,1,3,25,23,4389,8,8,9,0.4157738851681776,445.0,deep_overshoot_then_recovery,arabic_numerals
EP012,3,20260423062023-gejtas__5__P05__E001,20260423062023-gejtas__5__P05,เทพซ่า676767677,P05,1,24,38,15,4735,4,4,5,0.3067306561012641,3434.0,deep_overshoot_then_recovery,twisted_proverb
EP013,3,20260421074612-1pl8erz__11__P07__E004,20260421074612-1pl8erz__11__P07,champion,P07,4,53,75,23,2785,8,8,9,0.2649915934372827,389.0,deep_overshoot_then_recovery,formal_educational
EP014,3,20260423114247-jugfhg__9__P06__E001,20260423114247-jugfhg__9__P06,Bao,P06,1,1,25,25,3727,9,9,6,0.1581023916195343,334.0,deep_overshoot_then_recovery,mixed_symbols_identification
EP015,3,20260420151441-b4zwmo__7__P11__E001,20260420151441-b4zwmo__7__P11,Mick,P11,1,11,29,19,4100,6,6,7,0.2262630909101785,1483.0,deep_overshoot_then_recovery,rhythmic_repetition
EP016,3,20260420063815-19rm65e__8__P10__E005,20260420063815-19rm65e__8__P10,superidol,P10,5,44,64,21,3726,7,7,8,0.4069479756943157,435.0,deep_overshoot_then_recovery,thai_numerals
EP017,3,20260423022204-r0lr3h__11__P07__E005,20260423022204-r0lr3h__11__P07,name,P07,5,30,50,21,2353,7,7,8,0.3845170040797526,291.0,deep_overshoot_then_recovery,formal_educational
EP018,3,20260422131421-bqkmv2__10__P08__E002,20260422131421-bqkmv2__10__P08,Kurosagi Ichigo,P08,2,53,75,23,3162,8,8,5,0.0943511408423077,335.0,deep_overshoot_then_recovery,formal_lexical_difficulty
EP019,3,20260423090458-kc7agh__5__P05__E003,20260423090458-kc7agh__5__P05,Tw,P05,3,28,42,15,3901,4,4,5,0.3388300213975908,2267.0,deep_overshoot_then_recovery,twisted_proverb
EP020,3,20260420063815-19rm65e__5__P05__E003,20260420063815-19rm65e__5__P05,superidol,P05,3,34,48,15,3600,4,4,5,0.3555545481849902,1973.0,deep_overshoot_then_recovery,twisted_proverb
EP021,3,20260420042552-1pdrvw3__9__P06__E001,20260420042552-1pdrvw3__9__P06,sine,P06,1,1,16,16,2889,6,6,7,0.2700920716988805,353.0,deep_overshoot_then_recovery,mixed_symbols_identification
EP022,3,20260422085611-ymkt5s__14__P13__E003,20260422085611-ymkt5s__14__P13,Micky,P13,3,23,41,19,2956,6,6,7,0.1812578351075124,293.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP023,3,20260423084348-yowi25__8__P10__E020,20260423084348-yowi25__8__P10,Chokdee`,P10,20,86,102,17,2674,5,5,6,0.2102707301276496,1081.0,deep_overshoot_then_recovery,thai_numerals
EP024,3,20260420162459-1rqejrq__11__P07__E001,20260420162459-1rqejrq__11__P07,Plub,P07,1,8,26,19,2867,6,6,7,0.3299174078032575,170.0,deep_overshoot_then_recovery,formal_educational
EP025,3,20260422131421-bqkmv2__5__P05__E005,20260422131421-bqkmv2__5__P05,Kurosagi Ichigo,P05,5,46,60,15,3262,4,4,5,0.3412448782955027,1662.0,deep_overshoot_then_recovery,twisted_proverb
EP026,3,20260420042552-1pdrvw3__9__P06__E002,20260420042552-1pdrvw3__9__P06,sine,P06,2,12,28,17,2581,5,5,6,0.3426595159349072,760.0,deep_overshoot_then_recovery,mixed_symbols_identification
EP027,3,20260420063815-19rm65e__14__P13__E003,20260420063815-19rm65e__14__P13,superidol,P13,3,43,59,17,2937,5,5,6,0.3808129734924408,711.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP028,3,20260420042552-1pdrvw3__14__P13__E004,20260420042552-1pdrvw3__14__P13,sine,P13,4,111,127,17,2357,5,5,6,0.2724988344789043,735.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP029,3,20260422124629-1ue1i6s__14__P13__E033,20260422124629-1ue1i6s__14__P13,M,P13,33,209,227,19,2516,6,6,6,0.2578530474372879,225.0,deep_overshoot_then_recovery,long_formal_bureaucratic
