,EP001,EP002,EP003,EP004,EP005,EP006,EP007,EP008,EP009,EP010,EP011,EP012,EP013,EP014,EP015,EP016,EP017,EP018,EP019,EP020,EP021,EP022,EP023,EP024,EP025,EP026,EP027,EP028,EP029,EP030,EP031,EP032,EP033,EP034,EP035,EP036,EP037,EP038,EP039,EP040,EP041,EP042,EP043,EP044,EP045,EP046,EP047,EP048,EP049,EP050,EP051,EP052,EP053,EP054,EP055,EP056,EP057,EP058,EP059,EP060,EP061,EP062,EP063,EP064,EP065,EP066,EP067,EP068,EP069,EP070,EP071,EP072,EP073,EP074,EP075,EP076,EP077,EP078,EP079,EP080,EP081,EP082,EP083,EP084,EP085,EP086,EP087,EP088,EP089,EP090,EP091,EP092,EP093,EP094,EP095,EP096,EP097,EP098,EP099,EP100,EP101,EP102,EP103,EP104,EP105,EP106,EP107,EP108,EP109,EP110,EP111,EP112,EP113,EP114,EP115,EP116,EP117,EP118,EP119,EP120
EP001,0.0,2.582841689366358,1.9253288979582415,4.380101055774651,4.885522472469298,8.933889897022418,5.903219588996715,6.127462608053233,6.557296356432213,7.030898056296124,7.049295952882037,8.069045617353034,7.210023658391607,7.887997566153416,7.5881615696447575,7.257025004173412,7.356275075758024,8.12015151923396,8.10084816389033,7.977344549545423,7.505682550182476,7.684920243513686,7.75447113197597,7.507883370950895,8.011711901301402,7.7564660346416785,7.855483644899458,7.783237260523473,7.833685406967103,8.165845856722148,7.878286857285607,8.07214854509168,7.844970188208552,7.89343294667217,8.207589160388718,8.230901662736454,8.042731088628193,7.755561861368362,8.01079775371389,8.442442228977855,8.076148721390853,8.280006384162274,7.933114625050103,9.100458351124715,8.174118578806183,8.592396665400843,8.251696059874309,8.050951995044109,8.317028447706534,8.006697336719826,8.0430540081923,8.187209856370837,8.181273401812922,8.202992356347613,8.025191976321082,8.117967916163364,8.014841879591923,8.679378541193078,8.374815079614548,8.031383480532288,8.065804858107358,8.125938549410526,8.068518613453342,8.2674078404333,8.335610073000998,9.060173225570015,8.413677440982383,8.295128175872076,8.693296772958263,8.181093250805255,8.611845631513768,8.400281632125978,8.793969569404231,8.329436041125325,8.39717639412073,8.345688605916973,8.302632162949152,8.44282341941517,8.330539703620019,8.285328352286156,8.615509860571475,8.745905056402682,8.43159575804523,8.308971968149397,8.353881281427851,8.230355410020557,8.88888829448999,8.673145484927558,8.363246623728376,8.627317068803107,8.427778459065097,9.075404443376822,8.258764111340078,9.032998266685485,8.476137721606747,8.591726808833508,8.456195210766365,8.81350571381965,8.296326511038398,8.498185005233248,8.498924389040818,8.258482017169252,8.57545947410009,8.86325592009809,8.50695663730414,8.496779730073401,8.472369107375691,8.362051269768077,8.427552331809732,8.73177029294739,8.315662425257475,8.405252153013242,8.867907818635238,8.20454654998858,8.33255879624191,8.44256765465686,8.313311878042306,8.501421708002967,8.631479781022257,8.515567503340968
EP002,2.582841689366358,0.0,1.736904721350704,1.8336220333513462,2.511918908845702,5.147385095462784,2.7083872725199503,3.035177695900517,2.697892410187922,4.00739164278548,3.3231847755512693,4.443261873496487,3.2489048721193368,4.02652169509907,3.883110891688502,3.833982389082559,4.270941922643888,4.39450531670046,4.5038929155114715,4.411080186757173,4.064802300171248,3.76426843914383,4.43750239807744,4.181503594459412,4.436946415774016,4.27852432733663,4.685731459919552,4.416410519875691,4.446327747867259,5.219755043939442,4.079353156429323,4.446906541719165,4.064500119980053,4.509973398721219,4.3751081119088315,4.936464429563584,4.598595848512043,4.326141660136257,4.437167769813211,4.49717070460761,4.295132894265546,4.757591996144893,4.48638704490986,6.178897216664345,4.240392614630782,5.46230593727298,4.743053039484228,4.44821690257041,4.543060151448729,4.432235157444925,4.4259446492334265,4.663630666141755,4.262152463777159,4.9022916599303965,4.505646959910384,4.673390283709674,4.493551898975031,5.601190221478516,4.500002556462442,4.722436561116978,4.2709487258946695,4.936009690104581,4.652215440714549,5.224352007796539,4.780986011410491,6.164206509127516,5.066101682436381,4.766904584345769,4.737369039560602,4.844535573156734,4.956411722191574,5.145191854047013,5.553755770424251,4.527486275232147,4.779636956607296,4.712429928480891,4.508959109343365,4.483654498276221,4.818045605649279,4.5115079581858035,5.0942790540253,5.598178493214944,5.252629932021716,4.713078605019319,4.726380075247807,4.685388717941653,6.028982892774337,4.8549584678942175,4.862627191851645,4.761323478981631,5.088419553043221,6.182177106041724,4.809906683243989,5.956970542604411,4.522259018204818,4.9281346864358735,4.540727398305395,4.855662780687963,4.576059521598614,5.302758112213272,5.352874186426681,4.637824815806354,4.821870892606669,5.474445564172713,4.754692306896795,5.3776661089481514,4.537593710496514,4.529381115971661,4.54079014716542,5.256794616682677,4.708613959829085,5.15963818154783,5.981809038352261,4.82782524357642,4.728746755409836,4.5474121159177345,4.925368297431799,5.377873849298996,4.632473575230163,5.351078593620696
EP003,1.9253288979582415,1.736904721350704,0.0,2.7928719043735524,4.05784215890488,7.468226343387068,4.697227697807727,4.859954461251863,5.08318414881551,5.859116430496988,5.481007048392551,6.753021059326065,5.712603381496425,6.184743621793624,6.085333449862702,6.052249924223184,6.289707972423497,6.662920734659193,6.803904876235842,6.724508250771971,6.22225187001325,6.193433710946437,6.600995952673723,6.32315707068177,6.7598802850491175,6.552959452071895,6.62681779585335,6.576375460369894,6.64598263249076,7.090331531076564,6.4612502554013425,6.702907142216314,6.392101987527746,6.757280430926396,6.793754476485642,6.998501170748034,6.762596907877118,6.5262228838328715,6.780880105040347,6.960207433036484,6.636385482703588,7.068750238930876,6.655245527079082,8.056183656985269,6.770242863076296,7.484398188924862,7.013280976532088,6.73379163049501,6.870691207548692,6.704957979761361,6.770527693062774,6.840246102233892,6.7484791337822205,7.031028490312728,6.736610558918572,6.864656343872392,6.752436727157928,7.572548585285774,6.871817504453012,6.849078722367544,6.671423750218264,6.974697635283307,6.847563888462458,7.199653311489277,7.008766396337384,7.98618846853524,7.221765663458135,6.998726418060054,7.2545870365831835,7.112346956250166,7.232211436156202,7.284631239625427,7.587991557142755,6.953275016949687,7.051043668003498,7.039688831637305,6.938730822396457,6.968500076210407,7.044033834168693,6.925717272539566,7.273075077893748,7.653481528810604,7.41242698314916,6.928315099122996,7.026835266494675,7.016104887123034,7.838799564480354,7.277667033180754,6.964338512699239,7.140409729272721,7.228023079810426,8.007370367972566,7.006677958380437,7.972824191868527,7.005836053724375,7.137729804631994,7.022222446884787,7.343425661202239,6.970362448750879,7.225259122408294,7.348738547040046,7.015763992496699,7.173661969253207,7.639668424035431,7.03938551787685,7.360667990931651,7.007079725854719,6.8945803282523626,6.959482055327964,7.4778220274153675,7.004153773858825,7.1364991754461755,7.812019505565897,7.042797256070429,6.953448522389996,6.9887552977307275,7.037344614595199,7.313580448142216,7.2861103499849165,7.371473866944232
EP004,4.380101055774651,1.8336220333513462,2.7928719043735524,0.0,2.2092233085492334,3.454826101434782,1.7751975414213965,1.4024625040660788,2.00352392243774,2.4293322742123404,2.0826973840336684,2.8654094874606137,2.207349345550833,2.5045736491253567,2.1539169377426517,2.394226274654637,2.8700741384755357,2.8443030987422637,2.8133319732566435,2.774911641379013,2.352079167582215,2.5060491351599588,2.790242697089138,2.576684811503828,2.9166512426816804,2.764120462332102,3.0092191214612165,2.9012930402937234,2.9517336274398756,3.6529083425001407,2.6223579966273487,2.9632892982059866,2.608079156966518,2.9280222859188427,2.924944667137098,3.2779897957035184,3.007420886912887,2.6376622453240284,2.9612352974299365,3.0405951902717194,2.731873151752493,3.1973178296713245,2.89139858576774,4.5328492036044805,2.861452126370596,3.8784169323686575,3.085333112120768,2.8225851318009543,2.9218819337467545,2.8262712549336237,2.8583390355104292,2.8237656975629153,2.832438641922122,3.333067569803758,2.753041644801544,3.0278694720949417,2.943325973271161,3.9571988593392518,2.9796861533154084,3.004138380668809,2.764491639689224,3.1398708942795377,3.0419390657820613,3.5556887595781306,3.0189203092705403,4.433142185290606,3.412131704309942,2.832950107289589,3.269925701377686,3.207004931877133,3.11784917970131,3.40036048515629,3.781734925403964,2.836646336582851,3.1205542797883727,3.0973332204102526,2.8807415377935723,3.042008933483295,3.0386525651074403,2.7645338752929502,3.149773062009836,3.8524234913377793,3.669732801966501,3.0689560895800336,3.0058948560881804,3.0726404913259993,4.254239257122107,3.170169450570301,3.0659820760082424,3.153294057187214,3.404977406161779,4.4830874190187915,3.1055052880607192,4.3891175176205435,3.037655832130363,3.158548181943144,3.131145864396651,3.396543033612352,2.8898368069715237,3.4325548774625663,3.5735768559735126,2.98625306583808,3.0789797282398577,3.725241206509076,2.9786541172305365,3.626306969838995,3.0638727695117702,2.9887324036019836,2.9587137418698264,3.5649868979311687,3.0182355495677995,3.3277762161720275,4.2586574149860965,3.053247898842807,3.0689393161075973,3.018456751541936,3.1361077355746105,3.588811571854853,3.313491587967814,3.6064696843814827
EP005,4.885522472469298,2.511918908845702,4.05784215890488,2.2092233085492334,0.0,3.5814014821805755,1.6264500152217818,2.2634724526505376,2.2563536815161416,1.8320136186425602,2.468431671872343,2.9432976690285266,2.4950554612422153,2.5859715831826695,2.6440791069745346,2.3685589470488426,2.482894290872853,2.7292887844226046,2.9456420319631826,2.834567960343477,2.5697188690638773,2.6804812409418957,2.325854328856069,2.5389851784148485,2.7484868867056744,2.4549826992601704,2.7953435365793418,2.2777826399841348,2.290938448676186,3.154218470781238,2.9399559870620964,2.858647647792651,2.7829267623670186,2.6734647204986874,2.8613463048228156,3.0000335757624175,2.9597518923887773,2.3403974621165955,2.6860422325038584,3.248422111659787,2.8551057595073663,2.508153293885388,2.6979203376817686,4.206910780409935,3.03920083858583,3.537756212970441,2.590636756999986,2.540796449375961,3.022783889013795,2.727480499304797,2.507927201330217,2.3154617415607577,2.9529728198554728,2.989678233820013,2.5819509044320412,2.8315572825848925,2.533492535982363,3.5683203143530564,3.044568438779596,2.5139861176464096,2.7654918649696665,2.7191001425060586,2.530648407663769,3.042668577438227,2.7795390615849733,4.136755112767542,3.2195397779077375,2.6714311476027324,3.430225754404251,3.0980674422547714,2.8719565162904748,3.247818914675164,3.445650324747992,3.047936969918767,3.1837260766128215,3.1277764010813303,3.205403880739421,3.2353624481959997,2.6738953429476418,3.0312399772207685,3.05851856535349,3.569622873003353,3.2580732063082043,2.8298579412305847,3.1206100438645925,2.830577863856015,3.8221546434995433,3.135224078599013,2.7737615429592246,3.230863215907431,2.948055382104862,4.0862189742550585,2.5865540298006344,4.148389261492317,3.0944113352580898,2.7890661639926155,2.944673983281934,3.7743019260044184,2.923342580812362,2.913225851292854,3.1181305702638884,2.9170298100074223,3.1945710226941424,3.3979954034541233,2.994983545687087,3.195643380156908,3.037705364371232,2.9362926961036173,3.0368477633997726,3.434396487902633,2.877123849125682,3.005730709766984,3.8195153409249736,2.554572632474471,2.6530878009870786,3.089541162569094,2.765937719749355,3.213976807018275,3.408800040767152,3.276940684310758
EP006,8.933889897022418,5.147385095462784,7.468226343387068,3.454826101434782,3.5814014821805755,0.0,2.417207549722472,2.731889880129648,2.1572968939909747,2.0030840454038716,1.8916593611079677,1.8347355840594437,2.0155112401361284,1.545750351734132,2.066274438782544,2.3321491298555124,2.529330774591914,1.6288422169502923,1.8957730216847375,1.869561977936606,2.832557022205398,2.2038408951489825,2.5885840214517817,2.2126909159505375,2.195651232464511,2.4387160009999396,2.5397783190666465,2.316926458542412,2.0095863020959883,3.0422519211768138,1.9228612344674023,2.081301837966758,1.9296671884409249,2.059030503394995,1.97299764192484,2.9736037972966107,2.198749813010737,2.079484574601513,2.3158472652055218,1.6314564945588266,2.045379980427653,2.768120813309581,2.076853112148624,3.6573548842729653,2.234766876889248,3.1867799154350642,2.067539120814046,1.997917862704084,1.655456503216749,2.219351969421921,1.95920293352143,2.125626830505036,2.226760765497525,2.8907598259044627,2.139605372416283,2.3633387393550547,2.2651298837722424,3.2689631025893027,2.599231132030591,2.330114626649047,2.008180808660969,2.4641924584855244,2.3607712972781747,3.239463190515957,2.184518921956423,3.6461030883948524,2.6006010260758194,1.9219247812957356,2.323355892436329,2.7215736778912825,2.5608769666059876,2.952855994656176,2.5337156883245253,1.5662865862718556,2.212286451007802,2.437551210873462,1.9621782857849008,2.1985293480983037,2.616968597120321,1.9762193596115596,2.5218507997822277,3.074534552793532,3.275304100730226,2.3037965795149593,2.1840993301747855,2.6382149230950347,3.4337358434878134,1.872273048341185,2.2753486548470114,2.775922239706684,2.895126507145274,3.8444730286124797,2.9733410136995406,3.9856173931258527,2.308510619573874,2.2172126237051817,2.026363009467457,2.66547000937216,2.329906646740848,2.634126782927574,2.631687744453435,2.339249452027556,2.1481837903266174,2.543728257987824,2.4141484769378323,2.8342418303952854,2.353998555332088,2.106083139621327,2.3027663016910123,2.83029283508963,2.409232440703831,2.705119762553564,3.3741425788646575,2.8290801143631716,2.1973549242720876,1.7406913973973643,2.454214360673935,2.658229851231745,2.4050941252105096,3.1072751473564386
EP007,5.903219588996715,2.7083872725199503,4.697227697807727,1.7751975414213965,1.6264500152217818,2.417207549722472,0.0,1.2137138219025785,1.3027321620934256,1.2123644089312717,1.1027377836259036,1.3257395568493242,1.4615044907984476,1.6723338164469357,1.3604390356138625,1.082212577546229,1.6024490828884088,1.6828308737474593,1.3443600475965856,1.4175348728577406,1.4861876163805612,1.6565014518909185,1.6662010579577522,1.0588320931364532,1.3342632954036635,1.3906215608488797,1.4980873628371953,1.3270126765888,1.5351538077727116,2.1624007904433267,1.448578795615308,1.4951740495504764,1.5531798519317492,1.6135851818152362,1.9906194884412767,1.9265553087724354,1.5028922686193875,1.540694810250995,1.4287615020464353,2.119910268754647,1.5630075504662655,1.7794117802290108,1.5403165790688114,3.1815016341177986,1.828081341348916,2.637768826489413,1.661047241819518,1.4105460038983086,1.7769018474276865,1.277248612370145,1.273413390173673,1.674120962433537,1.8646334932310429,1.8211025319633245,1.3585291898429774,1.3721511617627238,1.5037398512246212,2.4501330115507143,2.2717662597852413,1.7878833906885268,1.4740124061166815,1.8819811795815171,1.6505273177558188,2.481849351993962,1.658604305338821,3.2169959180538883,1.7152836999566439,1.8241333884356001,2.1108556673520784,1.7594544996737809,1.9272683887022821,1.8035072564837207,2.2207845290541908,1.7085403033660753,1.569965300170445,1.5214340658003747,1.6034716624920826,1.929687548104402,1.8729873657008527,1.646962881582989,2.038502187566204,2.628225200969049,2.291272425578852,1.4251848210690587,1.4636266042996282,1.68897357543068,3.0561234256705294,2.000311458985642,1.9325809648561632,2.5282547871547574,1.9010548808869658,3.255378395411123,1.8320479728009242,3.2212309341174756,1.9932504925238717,1.7916154033728025,1.9138077769465294,2.0932021489755117,1.7971645477919724,2.076558873456659,2.2091566503236586,1.6297192306719013,1.7993992357946262,2.196233104830992,2.1475010105595693,2.345951947693461,2.0796339305958296,1.6207200456698625,2.027595806568259,1.9174775669450652,1.599902311324627,2.0128685059263276,2.99474312087454,1.8785214671315362,1.5221836142641088,2.1822254640839747,1.7494652276518003,2.1919280214612114,2.221027047946846,2.248584995971601
EP008,6.127462608053233,3.035177695900517,4.859954461251863,1.4024625040660788,2.2634724526505376,2.731889880129648,1.2137138219025785,0.0,1.805899360089911,1.5298748228980856,1.5465940653310235,1.7747060685561067,1.812955342231345,1.943599626335841,1.3123511849384397,1.4864553434988883,1.9717104629739632,2.0201475860426275,1.8664217866272745,1.819809481876766,1.2245354016615606,1.9597506256413322,1.7530787870576905,1.4898269605313537,1.874615219433123,1.7628802929802447,1.8071091545851798,1.723617182989923,1.9976795062240722,2.4822076227240735,1.7067260981563328,1.8989393859432,2.0261670859413363,1.9184784560894852,2.313951790493169,2.0057298173814373,1.9259990052409464,1.7107538022247823,1.977700369689252,2.3087867138315454,1.7585547014693927,2.2029952142039813,1.695378447734829,3.386297130508603,2.2018885856800314,2.9335287551764444,1.9654545721991648,1.7649652883987317,1.9748910537322077,1.6865035035799325,1.9022822497608591,2.0681245316744983,2.1493811356821975,2.2553467866218666,1.6740478827151992,2.022922740795556,1.8445179026548393,2.716028553182719,2.503461058833911,2.0002530262352924,1.9224491076622694,2.123218472167575,1.8636064552037719,2.51859845147498,1.987853281574019,3.3031674825531274,2.1152952842740507,2.002031729396527,2.514414358686396,2.0769055690494915,2.2065218983563044,2.1204975466889784,2.496412833948202,2.0318860354703276,2.1664247943266326,2.1043510196948922,2.058387742728059,2.211053065393068,2.1696428020947898,1.977469268592066,2.2160355599151065,2.818319106297009,2.667624668101385,1.859732305293319,1.9089487788171797,2.044480309878535,3.141357452278586,2.3180823757318656,2.0712308460282194,2.61572155464739,2.25504714780434,3.3661657224984354,2.1750118014385724,3.4236904042442777,2.3750411444019095,2.1605838719506734,2.2674748578060764,2.4760342270844284,2.0172945793816566,2.3344285642704827,2.3956530090351382,2.141399179141524,2.0943041772586533,2.480757895244242,2.2922273087846614,2.4323338614520416,2.280902822718823,2.174163611080697,2.2796573337772683,2.4501449151643637,2.06606330588192,2.1405217541373394,3.2201495666278848,2.0999640557900423,2.0475686107235567,2.480417851164171,2.0056981176836466,2.4191789927412883,2.6121721853153304,2.335150344693795
EP009,6.557296356432213,2.697892410187922,5.08318414881551,2.00352392243774,2.2563536815161416,2.1572968939909747,1.3027321620934256,1.805899360089911,0.0,1.8301136112661167,1.077749001468353,1.6539689840170952,0.7180536612166052,1.4183785471748145,1.2463561250343553,1.5827024324352708,2.374813931996982,1.5014084009483164,1.607691943177808,1.6424651195577624,1.9334475350278801,0.8926746507473736,1.8663413512948408,1.7908875947821343,1.659094695820209,1.7760937896366875,2.147880482661999,1.8474191658368355,2.0350462881755833,2.907102940179854,1.2847605852899315,1.739578158252875,1.4145645415329615,1.9883790641395005,1.4209494159560179,2.6106454918849553,2.0325208241049246,1.7071221909010479,1.7101463559618204,1.5743274525852509,1.1813483532477134,1.9855551944022967,1.8921584342997575,3.5808291998996506,1.146843845153999,3.03204204699844,1.8477327177606362,1.5739977763093358,1.5445554537125292,1.5991627503277315,1.5760288193931826,1.8582617238501997,1.1830057414934159,2.403703655432231,1.5594446182625314,2.0226349580653507,1.8072167632265423,3.0662491300810957,1.482189132863192,2.1972558923770147,1.2107724113728429,2.357516050070658,2.126933821664387,3.1124897780998197,1.8721713471738106,3.528014612957147,2.278833968652379,1.815667936742351,1.5566604034758866,2.2099511828092515,1.7562523706841875,2.3478981012195193,2.8636204428616505,1.5596412829885709,1.7948179646874884,1.7831107046180668,1.517473414121849,1.3950691115827731,1.9234727913272256,1.5504227260704726,2.1373019471478214,3.1774611214321498,2.6630260918844395,1.6730791180827156,1.6933293723500358,1.8491430202184798,3.6598589280258107,1.8223636176251712,1.9931168698165862,1.5961989956666014,2.451638256528589,3.5574925823558887,2.033201603217574,3.398164380631381,1.3412784021116664,1.9859053407292089,1.4219070089248877,1.6019419384544564,1.584384416840893,2.6044945066144916,2.792919181013236,1.8650451547118343,1.5728642351467172,2.5363287393534897,1.5857401741584893,2.852634227236609,1.4853565985264106,1.4126053407091588,1.2867009667281335,2.354051328611765,1.785398294924503,2.4773488020841943,3.6450580631344804,2.0206352484043797,1.838476842463217,1.6499887845322898,2.164900357910498,2.7646704659898553,1.7162097865061,2.7939057001305696
EP010,7.030898056296124,4.00739164278548,5.859116430496988,2.4293322742123404,1.8320136186425602,2.0030840454038716,1.2123644089312717,1.5298748228980856,1.8301136112661167,0.0,1.4254183236373432,1.2040725087428858,1.7613408995602082,1.5071304797069593,1.5287726948336127,1.3374620141231355,1.0685034022770812,1.6544826890365647,1.2985280956209095,1.4168775044092943,1.4958976150122305,1.803419779154335,1.5067536622346673,0.8263179719617535,1.3725065591266892,1.3541634157446558,1.114889299543034,0.867260916876905,1.0846904679624911,1.7919870702554488,1.5131221840490527,1.3030873882558487,1.686780340599462,1.44451479785227,1.9978426574552237,1.6139901279575062,1.1933322692809367,1.135915823431134,1.40251424943502,1.9566017144725505,1.5219847563189055,1.6480225558570893,1.2987275620205931,2.8381594717484773,1.9271351400879333,2.1261663965144204,1.327109218026595,1.1605591130525326,1.5322034029444291,1.2313301725089942,1.2629382999491159,1.4811574152432134,1.841480427932534,1.344637460191055,1.1973924037452783,1.164760980704442,1.2649063572688861,1.9615469123267615,2.290646142259748,1.0843272954260454,1.5158755807003466,1.2762099646156293,1.0620285567179613,1.8325540638638278,1.2782973733140621,2.6125621013110334,1.2786941183070204,1.335744562862053,2.111353131026441,1.4974152115909622,1.8296078458024985,1.4986898259570416,1.8032506259775067,1.6445992461834296,1.4538084092918253,1.4869505200859658,1.804608527435957,1.931420076708475,1.3535366117311758,1.6603168212892963,1.5373465302395346,1.9990767366701243,1.794395698875782,1.14488081874217,1.3838432955896338,1.5244362026921632,2.398241297423804,1.8434108323630423,1.278496024748759,2.308397942475497,1.3639447219490797,2.6114407005115923,1.3901722435483124,2.720620791045493,1.9270979429418462,1.2317084174099522,1.9140346385312057,2.2799608733684487,1.718425778599713,1.2973318135564542,1.531278600609703,1.4999602295298298,1.6939383501337764,1.5898817258600746,1.9774837520880664,1.5390626645975076,1.9338240773725388,1.591410196584898,1.9392062559511123,1.8059028108934165,1.2892235149747848,1.301599934408152,2.388755434283875,1.541716868304384,1.3544267894841828,2.011379087728472,0.8548596605353181,1.4458336347922423,2.2954597227438143,1.6667623023782907
