,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.427081827749873,1.2615937647146063,1.8354240322019757,1.0941682559101635,1.6239674205550358,1.4741031465770387,1.452467772177582,1.877978975617495,1.016179570706005,1.370072497713645,5.2552573863613485,1.4311369968021872,1.5186718185508428
P02,1.427081827749873,0.0,1.5524854091373292,1.7383163451310848,1.411557608045976,1.1830682216449069,1.5543880663173644,1.5664951799284146,1.7085464367745753,1.2713759245992886,1.295246934244229,4.906947565382304,1.4467925054663497,1.5799671082271607
P04,1.2615937647146063,1.5524854091373292,0.0,1.925102585046913,1.4388840619008874,1.258929457882286,1.5174380993643037,1.511142686699921,1.6578339678002776,1.257414656306169,1.2881426180522775,4.995150882592547,1.4648711131851098,1.4453406938429785
P03,1.8354240322019757,1.7383163451310848,1.925102585046913,0.0,1.9104903122414472,1.7561965261892594,1.7158552856889349,1.6908348059884482,1.5760689510008348,1.7859429249035057,1.430292940434249,4.582728413107764,1.3916795186666948,1.4550150711935363
P05,1.0941682559101635,1.411557608045976,1.4388840619008874,1.9104903122414472,0.0,1.6166076685591066,1.6114881108543517,1.5046588566726096,1.9366360594713976,1.027575668581831,1.4614306777030732,5.262772943102899,1.469679396223452,1.5580316629916353
P09,1.6239674205550358,1.1830682216449069,1.258929457882286,1.7561965261892594,1.6166076685591066,0.0,1.3038682685572647,1.5287596593808626,1.5758460137672918,1.6371415069638946,1.1492304254433894,4.458689178708495,1.3747795588860348,1.3914120152292266
P11,1.4741031465770387,1.5543880663173644,1.5174380993643037,1.7158552856889349,1.6114881108543517,1.3038682685572647,0.0,1.5027717468603183,1.4231506337839177,1.5352622481919633,1.5402339541123922,4.8064097082152175,1.4175225569652439,1.3999447277654713
P10,1.452467772177582,1.5664951799284146,1.511142686699921,1.6908348059884482,1.5046588566726096,1.5287596593808626,1.5027717468603183,0.0,1.8643342412091923,1.3379571224535325,1.5519140879895346,4.789794430271448,1.3533052334638647,1.43363905109274
P06,1.877978975617495,1.7085464367745753,1.6578339678002776,1.5760689510008348,1.9366360594713976,1.5758460137672918,1.4231506337839177,1.8643342412091923,0.0,1.8708619805469007,1.6725689435724078,4.081351042632655,1.456366139916201,1.4159528007475601
P08,1.016179570706005,1.2713759245992886,1.257414656306169,1.7859429249035057,1.027575668581831,1.6371415069638946,1.5352622481919633,1.3379571224535325,1.8708619805469007,0.0,1.2052871449436746,5.1895450600354325,1.3616900446998057,1.4586163309676503
P07,1.370072497713645,1.295246934244229,1.2881426180522775,1.430292940434249,1.4614306777030732,1.1492304254433894,1.5402339541123922,1.5519140879895346,1.6725689435724078,1.2052871449436746,0.0,4.414781464487175,1.4171738294765155,1.4024464421874903
P12,5.2552573863613485,4.906947565382304,4.995150882592547,4.582728413107764,5.262772943102899,4.458689178708495,4.8064097082152175,4.789794430271448,4.081351042632655,5.1895450600354325,4.414781464487175,0.0,3.960995857284761,4.236659506544448
P14,1.4311369968021872,1.4467925054663497,1.4648711131851098,1.3916795186666948,1.469679396223452,1.3747795588860348,1.4175225569652439,1.3533052334638647,1.456366139916201,1.3616900446998057,1.4171738294765155,3.960995857284761,0.0,1.3132324902642456
P13,1.5186718185508428,1.5799671082271607,1.4453406938429785,1.4550150711935363,1.5580316629916353,1.3914120152292266,1.3999447277654713,1.43363905109274,1.4159528007475601,1.4586163309676503,1.4024464421874903,4.236659506544448,1.3132324902642456,0.0
