,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.8718300839268454,1.6921273063277518,1.2169150387301575,1.5350034183367518,1.4621594582582915,1.696817150141328,1.7335312772578253,1.4822530401157266,1.5025158962057301,1.3236492878624746,1.5740781312648875,1.3428635979834207,1.5618509802437215
P02,1.8718300839268454,0.0,1.0970540797891766,1.6164428794153098,1.3316451287829099,1.3166020708399857,1.2817467587344498,2.1727535137914895,1.7350565998673484,1.1924894297336197,1.3513753666355246,1.7035582949630719,1.5439925561989787,1.7671705254650396
P04,1.6921273063277518,1.0970540797891766,0.0,1.511975945178702,1.4032403077915232,1.2496297835373884,1.0027165854594422,2.0493355253557635,1.6180192297245992,1.1156556497678711,1.2349907725512401,1.6088631251561942,1.4660578724899103,1.6676528642346686
P03,1.2169150387301575,1.6164428794153098,1.511975945178702,0.0,1.4527058022305255,1.105406872595922,1.3647866576290952,1.6213913522833527,1.4297244986145754,1.3100621227800342,1.1945757192954416,1.5718209814702058,1.3581288832543814,1.5162440649579576
P05,1.5350034183367518,1.3316451287829099,1.4032403077915232,1.4527058022305255,0.0,1.207406460129734,1.2676750220733193,1.654604801801443,1.4955148728654781,1.0797692704925062,1.1831986062110327,1.576959415892195,1.3902029901311328,1.5382929012399522
P09,1.4621594582582915,1.3166020708399857,1.2496297835373884,1.105406872595922,1.207406460129734,0.0,1.061330801798451,1.7179536974806093,1.5662884510547044,1.3471017417581586,1.122474140603468,1.4489674242483292,1.3507796249917994,1.3987646568264018
P11,1.696817150141328,1.2817467587344498,1.0027165854594422,1.3647866576290952,1.2676750220733193,1.061330801798451,0.0,2.0119715874643402,1.5387419666570321,1.3131948225235355,1.1563076528039542,1.5658951994821324,1.3953666406995584,1.6644304006656203
P10,1.7335312772578253,2.1727535137914895,2.0493355253557635,1.6213913522833527,1.654604801801443,1.7179536974806093,2.0119715874643402,0.0,1.8585011737237245,1.7046054224008695,1.7249772792235303,1.6987265292001923,1.6414511767171511,1.5686983102705485
P06,1.4822530401157266,1.7350565998673484,1.6180192297245992,1.4297244986145754,1.4955148728654781,1.5662884510547044,1.5387419666570321,1.8585011737237245,0.0,1.514062526732654,1.4482086182866423,1.4774794526167752,1.4278910002143965,1.4673266867071793
P08,1.5025158962057301,1.1924894297336197,1.1156556497678711,1.3100621227800342,1.0797692704925062,1.3471017417581586,1.3131948225235355,1.7046054224008695,1.514062526732654,0.0,1.1827860776312098,1.4223720544538363,1.3147213325745128,1.550573527603796
P07,1.3236492878624746,1.3513753666355246,1.2349907725512401,1.1945757192954416,1.1831986062110327,1.122474140603468,1.1563076528039542,1.7249772792235303,1.4482086182866423,1.1827860776312098,0.0,1.4224657391376896,1.3450366248975714,1.3839249931395181
P12,1.5740781312648875,1.7035582949630719,1.6088631251561942,1.5718209814702058,1.576959415892195,1.4489674242483292,1.5658951994821324,1.6987265292001923,1.4774794526167752,1.4223720544538363,1.4224657391376896,0.0,1.350907206203662,1.370775345324892
P14,1.3428635979834207,1.5439925561989787,1.4660578724899103,1.3581288832543814,1.3902029901311328,1.3507796249917994,1.3953666406995584,1.6414511767171511,1.4278910002143965,1.3147213325745128,1.3450366248975714,1.350907206203662,0.0,1.4522033576861508
P13,1.5618509802437215,1.7671705254650396,1.6676528642346686,1.5162440649579576,1.5382929012399522,1.3987646568264018,1.6644304006656203,1.5686983102705485,1.4673266867071793,1.550573527603796,1.3839249931395181,1.370775345324892,1.4522033576861508,0.0
