,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.4300952530900746,1.3158384504060432,1.4241513400703703,1.5633018763298079,1.3717433182902363,1.901177832780303,1.9506613195042533,1.7024843054393495,1.8050613931011181,1.7482997043466282,1.4412175158078278,1.2885489028212442,1.285017323413394
P02,1.4300952530900746,0.0,1.7783106223544736,1.5504910483044667,1.583976949505712,1.5751674433698464,1.7342266340807382,1.9835501191336586,1.6775994721554646,1.6673012924144792,1.8568689032324426,1.4359143286083431,1.3440014329854417,1.3750226632459293
P04,1.3158384504060432,1.7783106223544736,0.0,1.6087125701914706,1.598186689023336,1.3549556262229656,1.6297305213046627,2.0192011470626037,1.4345064211578833,1.80074180017223,1.7495884761002496,1.4232997514768408,1.1295097955929834,1.202738508078361
P03,1.4241513400703703,1.5504910483044667,1.6087125701914706,0.0,1.6736608671117041,2.0809244867788403,1.8946072894123347,2.1417018147346085,1.6754079529214907,2.084413150356484,1.7041701928441886,1.6993543806632672,1.5044614965110557,1.519703856937753
P05,1.5633018763298079,1.583976949505712,1.598186689023336,1.6736608671117041,0.0,1.5114003972235914,1.7041060608980814,1.973089728121109,1.779502422792428,1.6016683685666306,1.86810718093086,1.4609467959581277,1.2935015550707865,1.4067773343839218
P09,1.3717433182902363,1.5751674433698464,1.3549556262229656,2.0809244867788403,1.5114003972235914,0.0,1.3573590888886582,1.5836498409730095,1.19041487637687,1.1149973801052417,1.378950114920017,1.3156445468850746,1.1691237417785458,1.0424263603981818
P11,1.901177832780303,1.7342266340807382,1.6297305213046627,1.8946072894123347,1.7041060608980814,1.3573590888886582,0.0,1.0767073442730906,1.1214411534550357,0.9967693610617039,1.1737805867965034,1.1622506259021497,1.1128488259379712,0.9586417299282145
P10,1.9506613195042533,1.9835501191336586,2.0192011470626037,2.1417018147346085,1.973089728121109,1.5836498409730095,1.0767073442730906,0.0,1.0584311901368924,0.8452824688826275,1.0804878589989324,1.1511980445424925,1.0765174089164156,0.9500071045504941
P06,1.7024843054393495,1.6775994721554646,1.4345064211578833,1.6754079529214907,1.779502422792428,1.19041487637687,1.1214411534550357,1.0584311901368924,0.0,1.068444169977362,1.1913963850550686,1.1764738894650173,1.0823776624014785,0.9910500414986505
P08,1.8050613931011181,1.6673012924144792,1.80074180017223,2.084413150356484,1.6016683685666306,1.1149973801052417,0.9967693610617039,0.8452824688826275,1.068444169977362,0.0,1.0190351536876507,1.153940040210442,1.0413596045664104,0.9371925252717191
P07,1.7482997043466282,1.8568689032324426,1.7495884761002496,1.7041701928441886,1.86810718093086,1.378950114920017,1.1737805867965034,1.0804878589989324,1.1913963850550686,1.0190351536876507,0.0,1.1742660888328114,1.0953683476770353,0.9611772722752866
P12,1.4412175158078278,1.4359143286083431,1.4232997514768408,1.6993543806632672,1.4609467959581277,1.3156445468850746,1.1622506259021497,1.1511980445424925,1.1764738894650173,1.153940040210442,1.1742660888328114,0.0,1.0978610355099918,1.0232653827030844
P14,1.2885489028212442,1.3440014329854417,1.1295097955929834,1.5044614965110557,1.2935015550707865,1.1691237417785458,1.1128488259379712,1.0765174089164156,1.0823776624014785,1.0413596045664104,1.0953683476770353,1.0978610355099918,0.0,1.0089822739168515
P13,1.285017323413394,1.3750226632459293,1.202738508078361,1.519703856937753,1.4067773343839218,1.0424263603981818,0.9586417299282145,0.9500071045504941,0.9910500414986505,0.9371925252717191,0.9611772722752866,1.0232653827030844,1.0089822739168515,0.0
