,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,2.0995813845927707,1.2313024079213002,1.3448263034250891,1.5913232376024327,1.422968326593289,1.4451876640174286,1.48684005284644,1.2642999159644832,1.1836198446096917,1.2177850063097106,1.342315237582203,1.4611658703346557,1.3196349038329822
P02,2.0995813845927707,0.0,1.8591618379771684,1.9877698205387884,2.0345262764476897,1.7816261213949611,1.920756821278973,1.4709340427715953,1.711866824080781,1.3471380123059413,1.4594777836363015,1.5680396532742613,1.6397016642699234,1.5463813036450604
P04,1.2313024079213002,1.8591618379771684,0.0,1.3588924243500369,1.8961264437641905,1.5087464113733786,1.3666939883751266,1.5259808606249752,1.4245442553914411,1.1652188826613423,1.2999469866119202,1.402954094722707,1.5499609393804918,1.3320845295927344
P03,1.3448263034250891,1.9877698205387884,1.3588924243500369,0.0,1.6009858320350405,1.3973105599032423,1.283521799083973,1.560769454076517,1.3606468443522295,0.9995987741076938,1.0929933158565934,1.4261197383385882,1.4759327673421487,1.2806837914791702
P05,1.5913232376024327,2.0345262764476897,1.8961264437641905,1.6009858320350405,0.0,1.7862316574148207,1.832747233065525,1.8493209373230934,1.6610500292780015,1.5769200086846176,1.4927157754198255,1.5699552191696438,1.595279917665129,1.3574589006178517
P09,1.422968326593289,1.7816261213949611,1.5087464113733786,1.3973105599032423,1.7862316574148207,0.0,1.4592144462184629,1.5690626472112261,1.4859295682820144,1.40553045463034,1.4215276989273549,1.386709327032236,1.4214018673869488,1.26768930242283
P11,1.4451876640174286,1.920756821278973,1.3666939883751266,1.283521799083973,1.832747233065525,1.4592144462184629,0.0,1.7377520543507077,1.4920479209007624,1.3295335705943847,1.4004588240925235,1.4159457824035522,1.5056744730717861,1.2787139477907699
P10,1.48684005284644,1.4709340427715953,1.5259808606249752,1.560769454076517,1.8493209373230934,1.5690626472112261,1.7377520543507077,0.0,1.5622883466656208,1.2253372042944004,1.3001660317411075,1.4793540661932643,1.421949650109612,1.3351314291674121
P06,1.2642999159644832,1.711866824080781,1.4245442553914411,1.3606468443522295,1.6610500292780015,1.4859295682820144,1.4920479209007624,1.5622883466656208,0.0,1.2823402748979709,1.2396452672305074,1.3002924390557624,1.4446031422395287,1.2646234762584427
P08,1.1836198446096917,1.3471380123059413,1.1652188826613423,0.9995987741076938,1.5769200086846176,1.40553045463034,1.3295335705943847,1.2253372042944004,1.2823402748979709,0.0,1.1362307800128406,1.380376787116693,1.3482893522259434,1.1945165988833333
P07,1.2177850063097106,1.4594777836363015,1.2999469866119202,1.0929933158565934,1.4927157754198255,1.4215276989273549,1.4004588240925235,1.3001660317411075,1.2396452672305074,1.1362307800128406,0.0,1.3556679766139448,1.4377378338653795,1.1456112021032576
P12,1.342315237582203,1.5680396532742613,1.402954094722707,1.4261197383385882,1.5699552191696438,1.386709327032236,1.4159457824035522,1.4793540661932643,1.3002924390557624,1.380376787116693,1.3556679766139448,0.0,1.4395696711466404,1.2206346289991814
P14,1.4611658703346557,1.6397016642699234,1.5499609393804918,1.4759327673421487,1.595279917665129,1.4214018673869488,1.5056744730717861,1.421949650109612,1.4446031422395287,1.3482893522259434,1.4377378338653795,1.4395696711466404,0.0,1.3684573303179148
P13,1.3196349038329822,1.5463813036450604,1.3320845295927344,1.2806837914791702,1.3574589006178517,1.26768930242283,1.2787139477907699,1.3351314291674121,1.2646234762584427,1.1945165988833333,1.1456112021032576,1.2206346289991814,1.3684573303179148,0.0
