,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.2190008293998584,1.3607552379685015,1.2710780900617333,1.2413362783184547,1.115261764260872,1.1233317868830694,1.1696460914920552,1.2875024547087945,1.183354970518053,1.0708064358244123,1.1928818319665941,1.1909393332971139,1.3928348431137518
P02,1.2190008293998584,0.0,1.1974983207803194,1.1980571520434418,1.2568984002874113,1.3729635426486826,1.3938834452800908,1.3424249357793485,1.2412550429951892,1.357008420187463,1.1430908591832367,1.254619312322083,1.1984228618639834,1.4187395740622761
P04,1.3607552379685015,1.1974983207803194,0.0,1.3064483377453142,1.4157007169364264,1.3004604451912711,1.3762778447211728,1.3105613324390766,1.1888107847419116,1.2701606130563623,1.1824426254172893,1.141684290397104,1.139180107726792,1.321211731457513
P03,1.2710780900617333,1.1980571520434418,1.3064483377453142,0.0,1.3899431637535433,1.227593715316242,1.4190745376917353,1.3686710666773094,1.2432080872498348,1.215792892083112,1.192043396414072,1.1916497174892249,1.1502735963573145,1.3437751229706927
P05,1.2413362783184547,1.2568984002874113,1.4157007169364264,1.3899431637535433,0.0,1.2962378327822182,1.1881513391449867,1.1944052296847225,1.212651374592041,1.2252321753502737,1.1921266350540627,1.1237671439071195,1.0744257801638237,1.3344206460449404
P09,1.115261764260872,1.3729635426486826,1.3004604451912711,1.227593715316242,1.2962378327822182,0.0,1.3926442770654963,0.8611479657824506,1.3798345966152956,1.136183295231726,1.133273353314555,1.136237682572395,1.1118184758112086,1.2694552230749516
P11,1.1233317868830694,1.3938834452800908,1.3762778447211728,1.4190745376917353,1.1881513391449867,1.3926442770654963,0.0,1.3510360475145071,1.2499304455462594,1.306012123364582,1.0787500866633728,1.131275582548034,1.1262290519868485,1.357181371859674
P10,1.1696460914920552,1.3424249357793485,1.3105613324390766,1.3686710666773094,1.1944052296847225,0.8611479657824506,1.3510360475145071,0.0,1.321059686763449,1.1829238063677778,1.0958141190067765,1.10081846174744,1.0966552734909787,1.313216719593333
P06,1.2875024547087945,1.2412550429951892,1.1888107847419116,1.2432080872498348,1.212651374592041,1.3798345966152956,1.2499304455462594,1.321059686763449,0.0,1.275577160389198,1.2543570245595168,1.0857968656834582,1.14771891271384,1.292539331508606
P08,1.183354970518053,1.357008420187463,1.2701606130563623,1.215792892083112,1.2252321753502737,1.136183295231726,1.306012123364582,1.1829238063677778,1.275577160389198,0.0,1.148774741343435,1.1696831986704719,1.095229892507622,1.3415447988909415
P07,1.0708064358244123,1.1430908591832367,1.1824426254172893,1.192043396414072,1.1921266350540627,1.133273353314555,1.0787500866633728,1.0958141190067765,1.2543570245595168,1.148774741343435,0.0,1.0862526126787835,1.1005580194606646,1.2500473090416075
P12,1.1928818319665941,1.254619312322083,1.141684290397104,1.1916497174892249,1.1237671439071195,1.136237682572395,1.131275582548034,1.10081846174744,1.0857968656834582,1.1696831986704719,1.0862526126787835,0.0,1.081327196852575,1.1499016645558429
P14,1.1909393332971139,1.1984228618639834,1.139180107726792,1.1502735963573145,1.0744257801638237,1.1118184758112086,1.1262290519868485,1.0966552734909787,1.14771891271384,1.095229892507622,1.1005580194606646,1.081327196852575,0.0,1.0760729387769534
P13,1.3928348431137518,1.4187395740622761,1.321211731457513,1.3437751229706927,1.3344206460449404,1.2694552230749516,1.357181371859674,1.313216719593333,1.292539331508606,1.3415447988909415,1.2500473090416075,1.1499016645558429,1.0760729387769534,0.0
