,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.054847825071107,1.2620112813366438,1.0315692233012288,1.3512580072642164,0.9975866140035181,1.1091554141438495,1.1742600212529017,1.1386110383499743,0.9407238884634441,1.0302981485717781,1.091810757526831,1.1545275467615885,1.1041973417053081
P02,1.054847825071107,0.0,1.0311109411160782,1.1151324844984423,1.1681640796030923,0.9076140748575119,1.1634771186054573,1.232197421041576,0.9860209920348708,0.8936713005197133,1.035109974760025,1.1446948115830171,1.1928760958750235,1.1123682614181207
P04,1.2620112813366438,1.0311109411160782,0.0,1.0793589800106267,1.4762324534017237,0.9398123282465832,1.0741122732004647,1.224359854066965,1.1119874228865563,0.9763546456226474,1.0458020223201423,1.0688585584752983,1.0780314791408978,1.0641193718910527
P03,1.0315692233012288,1.1151324844984423,1.0793589800106267,0.0,1.0876880268549756,0.8712359836737047,1.1110033829804005,1.1843631690544356,0.99293798697937,0.7864206373227304,1.0066263537456432,1.0659896237632118,1.1715916779808275,1.0651733800712684
P05,1.3512580072642164,1.1681640796030923,1.4762324534017237,1.0876880268549756,0.0,1.1814696827482356,1.145818439569357,0.9382406583878821,1.2180843280289209,1.0144398965019463,1.0264173042553038,1.1130828837415758,1.1601879533726573,1.096339843916175
P09,0.9975866140035181,0.9076140748575119,0.9398123282465832,0.8712359836737047,1.1814696827482356,0.0,1.013791145967461,0.7698994544332642,1.0556939578011004,0.9301787933428213,0.9420783211491485,1.021834116271019,1.1088579464633421,1.0207660964555305
P11,1.1091554141438495,1.1634771186054573,1.0741122732004647,1.1110033829804005,1.145818439569357,1.013791145967461,0.0,1.235912283692963,1.116505711133999,1.0124495311160113,1.0175259853586716,1.0062346714732977,1.1927321294827007,1.0447248275973138
P10,1.1742600212529017,1.232197421041576,1.224359854066965,1.1843631690544356,0.9382406583878821,0.7698994544332642,1.235912283692963,0.0,1.4143900144974264,1.1810787479620861,1.043499974637225,1.1822575052606619,1.1143236098479488,1.0550157921395824
P06,1.1386110383499743,0.9860209920348708,1.1119874228865563,0.99293798697937,1.2180843280289209,1.0556939578011004,1.116505711133999,1.4143900144974264,0.0,0.9857547068812917,1.0612849331033152,0.9994752093250856,1.1363631657249773,0.9942415392477562
P08,0.9407238884634441,0.8936713005197133,0.9763546456226474,0.7864206373227304,1.0144398965019463,0.9301787933428213,1.0124495311160113,1.1810787479620861,0.9857547068812917,0.0,0.8870888815013479,0.9880582315558423,1.0684186623022878,0.9967219079493224
P07,1.0302981485717781,1.035109974760025,1.0458020223201423,1.0066263537456432,1.0264173042553038,0.9420783211491485,1.0175259853586716,1.043499974637225,1.0612849331033152,0.8870888815013479,0.0,1.0261893298901226,1.169720648148091,0.9217738593385877
P12,1.091810757526831,1.1446948115830171,1.0688585584752983,1.0659896237632118,1.1130828837415758,1.021834116271019,1.0062346714732977,1.1822575052606619,0.9994752093250856,0.9880582315558423,1.0261893298901226,0.0,0.945101817707323,0.9638977204491428
P14,1.1545275467615885,1.1928760958750235,1.0780314791408978,1.1715916779808275,1.1601879533726573,1.1088579464633421,1.1927321294827007,1.1143236098479488,1.1363631657249773,1.0684186623022878,1.169720648148091,0.945101817707323,0.0,1.0686853844385358
P13,1.1041973417053081,1.1123682614181207,1.0641193718910527,1.0651733800712684,1.096339843916175,1.0207660964555305,1.0447248275973138,1.0550157921395824,0.9942415392477562,0.9967219079493224,0.9217738593385877,0.9638977204491428,1.0686853844385358,0.0
