,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.1661206773936161,0.9815795507467248,1.1138972127620153,1.8083982939830197,0.980033736248344,1.1676863132012434,1.0288021973094637,1.1628973133431633,1.3170356361267435,1.3304244996004557,1.2255846513831583,1.1226713650708113,1.227164613426137
P02,1.1661206773936161,0.0,1.5538515203276846,1.4399975870037742,1.9763718301694184,1.253729520502706,1.4789069914196806,1.4558288291994925,1.2754967645554787,1.4627816894263113,1.3535376555422602,1.3477083732656672,1.2906740335023004,1.3596258414576448
P04,0.9815795507467248,1.5538515203276846,0.0,1.087150305473036,1.6619493921432964,0.9931291356101675,1.3500320202246392,1.0490321945647476,1.1254559722024349,1.2590861195252054,1.4136275664633724,1.2478393805523147,1.1002216553316475,1.2286801335616673
P03,1.1138972127620153,1.4399975870037742,1.087150305473036,0.0,1.7092008115675503,0.9650714416198858,1.4163712863444498,1.1311433727711806,1.1802961267153962,1.3298109353159084,1.3623994502829175,1.2968708218550407,1.1196312694658974,1.3240197195764054
P05,1.8083982939830197,1.9763718301694184,1.6619493921432964,1.7092008115675503,0.0,1.8409913180320983,1.8622903487166107,1.7906753498308012,2.205121883700536,1.1098138183553439,1.55402856193312,1.4252380550037647,1.1811044808952629,1.3669988859938211
P09,0.980033736248344,1.253729520502706,0.9931291356101675,0.9650714416198858,1.8409913180320983,0.0,1.2450802772933385,0.5953386197439674,1.128241318744494,1.3334095988475556,1.357189082916923,1.2040158197768664,1.1292295938392574,1.245090008114789
P11,1.1676863132012434,1.4789069914196806,1.3500320202246392,1.4163712863444498,1.8622903487166107,1.2450802772933385,0.0,1.4103852163333557,1.1170487961732285,1.463946600413173,1.2802215648239348,1.2244610214719187,1.0912203120931943,1.2076480027882197
P10,1.0288021973094637,1.4558288291994925,1.0490321945647476,1.1311433727711806,1.7906753498308012,0.5953386197439674,1.4103852163333557,0.0,1.1415771763402212,1.3496978492169975,1.3418791822330776,1.217685551292204,1.077617869262586,1.2743702091322973
P06,1.1628973133431633,1.2754967645554787,1.1254559722024349,1.1802961267153962,2.205121883700536,1.128241318744494,1.1170487961732285,1.1415771763402212,0.0,1.5337403754864,1.236819068794171,1.21732516594908,1.1356832508003678,1.1446371460000675
P08,1.3170356361267435,1.4627816894263113,1.2590861195252054,1.3298109353159084,1.1098138183553439,1.3334095988475556,1.463946600413173,1.3496978492169975,1.5337403754864,0.0,1.4659640496546633,1.1943131696791218,1.0045890478000912,1.2590620797508676
P07,1.3304244996004557,1.3535376555422602,1.4136275664633724,1.3623994502829175,1.55402856193312,1.357189082916923,1.2802215648239348,1.3418791822330776,1.236819068794171,1.4659640496546633,0.0,1.4077305538308318,1.23883638955965,1.0909363603943545
P12,1.2255846513831583,1.3477083732656672,1.2478393805523147,1.2968708218550407,1.4252380550037647,1.2040158197768664,1.2244610214719187,1.217685551292204,1.21732516594908,1.1943131696791218,1.4077305538308318,0.0,1.0785785157098293,1.0884900540987934
P14,1.1226713650708113,1.2906740335023004,1.1002216553316475,1.1196312694658974,1.1811044808952629,1.1292295938392574,1.0912203120931943,1.077617869262586,1.1356832508003678,1.0045890478000912,1.23883638955965,1.0785785157098293,0.0,1.0812391528396597
P13,1.227164613426137,1.3596258414576448,1.2286801335616673,1.3240197195764054,1.3669988859938211,1.245090008114789,1.2076480027882197,1.2743702091322973,1.1446371460000675,1.2590620797508676,1.0909363603943545,1.0884900540987934,1.0812391528396597,0.0
