,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.41781078383798,1.4443414097390104,1.4732038927567854,1.4977773741203946,1.2046572591779772,1.2453939895394175,1.2403480045614221,1.1967878469352888,1.2954149240027175,1.390643043694299,1.2262059591105683,1.314392901952889,1.6374444903095327
P02,1.41781078383798,0.0,1.9879134680926618,1.4897934478297683,1.3791049526651855,1.449080505277696,1.5234231057621674,1.8108661540354911,1.5421238204796976,1.3926921836507626,1.8964753099289227,1.4526188705694012,1.6023413429742692,1.8978309651263991
P04,1.4443414097390104,1.9879134680926618,0.0,2.064694166572208,1.6152398894477071,1.7582525480448667,1.1678562414619593,1.5359066356372724,1.2744392587166544,1.4766595023635143,1.253066723307702,1.4015297605509105,1.4739953904808125,1.7139656304436635
P03,1.4732038927567854,1.4897934478297683,2.064694166572208,0.0,1.574133631177839,1.6273844230349863,1.8927213497932747,1.3959740842252366,1.6635328156097657,1.6358218054677174,1.6139794262718767,1.5083956187348369,1.4479263948459218,1.6176074793966215
P05,1.4977773741203946,1.3791049526651855,1.6152398894477071,1.574133631177839,0.0,1.1767590917839799,1.1023408623942788,1.6491554798694463,1.3072912301227864,1.11801009583766,1.6223101287453707,1.298387303092484,1.5432487874730725,1.7190155705307504
P09,1.2046572591779772,1.449080505277696,1.7582525480448667,1.6273844230349863,1.1767590917839799,0.0,1.3884630156502267,1.5296363966109705,1.2316771040704007,1.273881803371395,1.6597414799235206,1.3245417160533466,1.3655475863532216,1.7198934823494758
P11,1.2453939895394175,1.5234231057621674,1.1678562414619593,1.8927213497932747,1.1023408623942788,1.3884630156502267,0.0,1.8211969024279433,1.405829576940503,1.1662673841962252,1.3150651210381155,1.303179182728439,1.521488550554065,1.7394133052353475
P10,1.2403480045614221,1.8108661540354911,1.5359066356372724,1.3959740842252366,1.6491554798694463,1.5296363966109705,1.8211969024279433,0.0,1.5067027044399408,1.6184782282813914,1.563764196187018,1.3334275109323865,1.3663990347197519,1.5728007859757704
P06,1.1967878469352888,1.5421238204796976,1.2744392587166544,1.6635328156097657,1.3072912301227864,1.2316771040704007,1.405829576940503,1.5067027044399408,0.0,1.4148765450486671,1.4499997431000047,1.2439477403958121,1.3340071808239427,1.5491960272281187
P08,1.2954149240027175,1.3926921836507626,1.4766595023635143,1.6358218054677174,1.11801009583766,1.273881803371395,1.1662673841962252,1.6184782282813914,1.4148765450486671,0.0,1.3005758761277462,1.1839662602598682,1.3474359166474301,1.6210858987903822
P07,1.390643043694299,1.8964753099289227,1.253066723307702,1.6139794262718767,1.6223101287453707,1.6597414799235206,1.3150651210381155,1.563764196187018,1.4499997431000047,1.3005758761277462,0.0,1.2777293635580445,1.3757454171774894,1.4888224992399086
P12,1.2262059591105683,1.4526188705694012,1.4015297605509105,1.5083956187348369,1.298387303092484,1.3245417160533466,1.303179182728439,1.3334275109323865,1.2439477403958121,1.1839662602598682,1.2777293635580445,0.0,1.2399577183418313,1.4742110437328941
P14,1.314392901952889,1.6023413429742692,1.4739953904808125,1.4479263948459218,1.5432487874730725,1.3655475863532216,1.521488550554065,1.3663990347197519,1.3340071808239427,1.3474359166474301,1.3757454171774894,1.2399577183418313,0.0,1.4328722193591927
P13,1.6374444903095327,1.8978309651263991,1.7139656304436635,1.6176074793966215,1.7190155705307504,1.7198934823494758,1.7394133052353475,1.5728007859757704,1.5491960272281187,1.6210858987903822,1.4888224992399086,1.4742110437328941,1.4328722193591927,0.0
