,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.1527188086469171,0.9466444554937439,3.0228408504162294,1.808855363565863,1.951253321070181,1.5120512575628804,1.145868395843679,1.0894506894084452,1.6500873709744326,1.0573880298544278,1.1827224953868873,1.1687263619590498,1.219611866398275
P02,1.1527188086469171,0.0,1.1446350543245178,3.2540509091616725,1.7813889895335477,2.0721373515613366,1.6400645413506105,1.303227140339526,0.9893028303470938,1.638704139315258,1.0667285336615495,1.2509043322072695,1.186608150681863,1.2917067739733454
P04,0.9466444554937439,1.1446350543245178,0.0,3.156522684070916,1.7665627606106524,1.9935361289292552,1.4449685748441157,1.1180692467089666,0.9379618951236771,1.5950544307855576,0.9494531331959615,1.122290276678805,1.101254029786652,1.1336957451582315
P03,3.0228408504162294,3.2540509091616725,3.156522684070916,0.0,2.148771163900358,1.387792716945626,1.794571296887746,2.9977250709524905,3.1770564274861894,2.966316699809886,3.0505307428955057,2.4542583465935754,2.062509314520412,1.796607910540887
P05,1.808855363565863,1.7813889895335477,1.7665627606106524,2.148771163900358,0.0,1.354405094269841,1.920995229351531,1.55201738390478,1.700907609596525,1.3290992787738038,1.1916695192836568,1.198829537978465,1.1510866929358912,1.4056106923403433
P09,1.951253321070181,2.0721373515613366,1.9935361289292552,1.387792716945626,1.354405094269841,0.0,1.1756847401794475,1.55478441314867,2.057995516116465,1.9469192510010722,1.8082458694581969,1.66823030665836,1.4097867923463376,1.4393314586290589
P11,1.5120512575628804,1.6400645413506105,1.4449685748441157,1.794571296887746,1.920995229351531,1.1756847401794475,0.0,1.526197107556109,1.5261852165544822,1.8134714237521972,1.2182288512878088,1.2476054927028701,1.1941927090704663,1.2214133898609514
P10,1.145868395843679,1.303227140339526,1.1180692467089666,2.9977250709524905,1.55201738390478,1.55478441314867,1.526197107556109,0.0,1.1336909555161465,1.468086979418425,0.9628434554373783,1.1709162336880543,1.1203146870918153,1.2033836598134922
P06,1.0894506894084452,0.9893028303470938,0.9379618951236771,3.1770564274861894,1.700907609596525,2.057995516116465,1.5261852165544822,1.1336909555161465,0.0,1.6534944601730108,1.0528063485411547,1.0922100727479425,1.1289027604437476,1.1818422838338094
P08,1.6500873709744326,1.638704139315258,1.5950544307855576,2.966316699809886,1.3290992787738038,1.9469192510010722,1.8134714237521972,1.468086979418425,1.6534944601730108,0.0,1.6168619175938348,1.4718522985354134,1.2028730973498059,1.5216233249042024
P07,1.0573880298544278,1.0667285336615495,0.9494531331959615,3.0505307428955057,1.1916695192836568,1.8082458694581969,1.2182288512878088,0.9628434554373783,1.0528063485411547,1.6168619175938348,0.0,1.1528931521380066,1.078275702703308,1.1200865535542899
P12,1.1827224953868873,1.2509043322072695,1.122290276678805,2.4542583465935754,1.198829537978465,1.66823030665836,1.2476054927028701,1.1709162336880543,1.0922100727479425,1.4718522985354134,1.1528931521380066,0.0,0.9921464668554537,1.1805492597757488
P14,1.1687263619590498,1.186608150681863,1.101254029786652,2.062509314520412,1.1510866929358912,1.4097867923463376,1.1941927090704663,1.1203146870918153,1.1289027604437476,1.2028730973498059,1.078275702703308,0.9921464668554537,0.0,1.1298380911502908
P13,1.219611866398275,1.2917067739733454,1.1336957451582315,1.796607910540887,1.4056106923403433,1.4393314586290589,1.2214133898609514,1.2033836598134922,1.1818422838338094,1.5216233249042024,1.1200865535542899,1.1805492597757488,1.1298380911502908,0.0
