,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.4965729239919126,1.6753682667960965,1.6570293036220594,1.9400087051491055,1.585832915396643,2.3709764047445923,1.5572326896038113,1.3338697284486043,1.4218507287034192,1.3757216382118511,1.4802248902759367,1.4441565662552518,1.4153953753674269
P02,1.4965729239919126,0.0,1.6402094679275778,1.6416438465956977,1.8869217312859152,1.482678647296684,2.5235014351164637,1.5678235862941958,1.3437784974973004,1.3394147218331893,1.181427936246264,1.4407005702737954,1.391466246664642,1.3042877586745925
P04,1.6753682667960965,1.6402094679275778,0.0,1.2496511081001087,1.4847158766243072,1.3419559963447503,2.5772387458279984,1.4380687814149344,1.5147421708016242,1.2222648354703776,1.1692029080652495,1.3348453458991951,1.3031213776084347,1.394058938609863
P03,1.6570293036220594,1.6416438465956977,1.2496511081001087,0.0,1.6571775030667,1.1098188435100385,2.6843010941211123,1.3273359609495197,1.4180128522951807,1.528254957667761,1.1039825371335847,1.349551072045,1.3666128980301526,1.3981160022429404
P05,1.9400087051491055,1.8869217312859152,1.4847158766243072,1.6571775030667,0.0,1.4570942533946405,2.8928776982302016,1.5871554233425476,1.6568710133442794,1.2964923921548048,1.3499577303392125,1.3221705862579747,1.4405080009497682,1.509389487997076
P09,1.585832915396643,1.482678647296684,1.3419559963447503,1.1098188435100385,1.4570942533946405,0.0,2.6550324513826142,0.8203438162479896,1.3890772491300456,1.2760039991784928,1.2429420284160981,1.240728061341018,1.289431042646564,1.2990470566094496
P11,2.3709764047445923,2.5235014351164637,2.5772387458279984,2.6843010941211123,2.8928776982302016,2.6550324513826142,0.0,2.559496272365847,2.380936907262361,2.5868143796323007,2.5678260908531056,2.2867617794328754,1.812661823027485,1.8952944579474478
P10,1.5572326896038113,1.5678235862941958,1.4380687814149344,1.3273359609495197,1.5871554233425476,0.8203438162479896,2.559496272365847,0.0,1.441948797912491,1.382111719777047,1.2839032953584641,1.3702941129265334,1.323561216026934,1.3518461247507254
P06,1.3338697284486043,1.3437784974973004,1.5147421708016242,1.4180128522951807,1.6568710133442794,1.3890772491300456,2.380936907262361,1.441948797912491,0.0,1.7245235462533537,1.1359174345100973,1.4298776972920717,1.2957499624254643,1.16076099311851
P08,1.4218507287034192,1.3394147218331893,1.2222648354703776,1.528254957667761,1.2964923921548048,1.2760039991784928,2.5868143796323007,1.382111719777047,1.7245235462533537,0.0,1.717445967798412,1.507839646356124,1.2628100478391937,1.3720561317427888
P07,1.3757216382118511,1.181427936246264,1.1692029080652495,1.1039825371335847,1.3499577303392125,1.2429420284160981,2.5678260908531056,1.2839032953584641,1.1359174345100973,1.717445967798412,0.0,1.3758479711113774,1.257498285156871,1.1544840172639985
P12,1.4802248902759367,1.4407005702737954,1.3348453458991951,1.349551072045,1.3221705862579747,1.240728061341018,2.2867617794328754,1.3702941129265334,1.4298776972920717,1.507839646356124,1.3758479711113774,0.0,1.2658463913170779,1.3095237598876026
P14,1.4441565662552518,1.391466246664642,1.3031213776084347,1.3666128980301526,1.4405080009497682,1.289431042646564,1.812661823027485,1.323561216026934,1.2957499624254643,1.2628100478391937,1.257498285156871,1.2658463913170779,0.0,1.3613491305255154
P13,1.4153953753674269,1.3042877586745925,1.394058938609863,1.3981160022429404,1.509389487997076,1.2990470566094496,1.8952944579474478,1.3518461247507254,1.16076099311851,1.3720561317427888,1.1544840172639985,1.3095237598876026,1.3613491305255154,0.0
