,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.6068574480131332,1.3262250997448832,1.1404390311494825,1.8837883434395302,1.5889418551320258,1.2582611870359357,1.7438092377306018,1.4655888886078665,1.1536739073277864,1.3891342708946168,1.5371325435699792,1.6266956702433286,1.610544150488369
P02,1.6068574480131332,0.0,1.6686401538664968,1.6154668276604478,1.541786780894684,1.5267370417492203,1.591373447960858,1.4229600344946094,1.4899327549576085,1.2548803496628844,1.2790578623370112,1.5242719694003053,1.5845870649244327,1.608003137149387
P04,1.3262250997448832,1.6686401538664968,0.0,1.5982949390831194,1.7497890112635133,1.536263037193032,1.5527425175618592,1.6287704792075666,1.47353698781056,1.3688043695442258,1.4182980341122249,1.4353074228947262,1.5368975361470247,1.5346513784813207
P03,1.1404390311494825,1.6154668276604478,1.5982949390831194,0.0,1.3424547230313375,1.3890937760731266,1.3256890530033043,1.5152988900698923,1.5633088728898017,1.0960043180143761,1.1621872847590562,1.4969337690144275,1.5686282724479328,1.5373070252588201
P05,1.8837883434395302,1.541786780894684,1.7497890112635133,1.3424547230313375,0.0,1.632307016764373,1.454232394982864,1.4263219722198104,1.5388011580212793,1.3491539282608072,1.2914866614417966,1.4103697335420378,1.3617055921200811,1.4416131981346247
P09,1.5889418551320258,1.5267370417492203,1.536263037193032,1.3890937760731266,1.632307016764373,0.0,1.1605110084661203,1.2194063131503914,1.340998367059474,1.312809030359444,1.326041844295656,1.408734062679655,1.3990286123660134,1.4779483451074646
P11,1.2582611870359357,1.591373447960858,1.5527425175618592,1.3256890530033043,1.454232394982864,1.1605110084661203,0.0,1.5228292754792925,1.3793500042815023,1.1617726471872338,1.2345940073726123,1.4176793319076049,1.4933760882574882,1.486024017459585
P10,1.7438092377306018,1.4229600344946094,1.6287704792075666,1.5152988900698923,1.4263219722198104,1.2194063131503914,1.5228292754792925,0.0,1.6858001597212815,1.4115912924207255,1.701021523404075,1.3399755549308674,1.2720043588811123,1.3587072564326093
P06,1.4655888886078665,1.4899327549576085,1.47353698781056,1.5633088728898017,1.5388011580212793,1.340998367059474,1.3793500042815023,1.6858001597212815,0.0,1.2620799203577302,1.4237938542993918,1.3876362576361305,1.4293186856532174,1.5007944737406356
P08,1.1536739073277864,1.2548803496628844,1.3688043695442258,1.0960043180143761,1.3491539282608072,1.312809030359444,1.1617726471872338,1.4115912924207255,1.2620799203577302,0.0,1.1278192800919922,1.3689926579839542,1.3968899633386493,1.4352375203708705
P07,1.3891342708946168,1.2790578623370112,1.4182980341122249,1.1621872847590562,1.2914866614417966,1.326041844295656,1.2345940073726123,1.701021523404075,1.4237938542993918,1.1278192800919922,0.0,1.366431391094763,1.3978851119322373,1.3876168336118824
P12,1.5371325435699792,1.5242719694003053,1.4353074228947262,1.4969337690144275,1.4103697335420378,1.408734062679655,1.4176793319076049,1.3399755549308674,1.3876362576361305,1.3689926579839542,1.366431391094763,0.0,1.2394292849576103,1.2241311125734706
P14,1.6266956702433286,1.5845870649244327,1.5368975361470247,1.5686282724479328,1.3617055921200811,1.3990286123660134,1.4933760882574882,1.2720043588811123,1.4293186856532174,1.3968899633386493,1.3978851119322373,1.2394292849576103,0.0,1.1698275631927917
P13,1.610544150488369,1.608003137149387,1.5346513784813207,1.5373070252588201,1.4416131981346247,1.4779483451074646,1.486024017459585,1.3587072564326093,1.5007944737406356,1.4352375203708705,1.3876168336118824,1.2241311125734706,1.1698275631927917,0.0
