,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.3929741163445175,1.1190940638283244,1.1705817667071179,1.4600010809218735,1.1247038718310443,0.9935851441869408,1.1116057613666057,1.1842163324928614,1.0272395467523299,1.018962108160379,1.161056699267006,1.1853480544209742,1.214175770717064
P02,1.3929741163445175,0.0,1.3079896986086164,1.3027931779712265,1.3358112461205325,1.231508415973039,1.367502588150673,1.2389163073639744,1.3288577280685616,1.0386420221357704,1.0340248522765543,1.2354412171792943,1.2017539147504186,1.2352110965671546
P04,1.1190940638283244,1.3079896986086164,0.0,1.1508333910962678,1.6030239171420737,1.2550347966158901,1.0600538549620062,1.0905425509732631,1.2254379457322526,1.0964430136234524,1.0462410333512124,1.1706839641135738,1.184179875324674,1.1789385734761433
P03,1.1705817667071179,1.3027931779712265,1.1508333910962678,0.0,1.434720597038228,1.2770364794295015,1.1529749779717722,1.1589562352587215,1.220432925741012,0.9502389224219875,1.041388507803807,1.1890045624187708,1.1658799089985503,1.199510513725344
P05,1.4600010809218735,1.3358112461205325,1.6030239171420737,1.434720597038228,0.0,1.3987823387096443,1.4439326347169952,1.3399578660051759,1.2988947437802687,1.2305168034829905,1.2013831043400067,1.2244606537669906,1.1623559106902615,1.2454813696213274
P09,1.1247038718310443,1.231508415973039,1.2550347966158901,1.2770364794295015,1.3987823387096443,0.0,1.2213807425735137,0.8455703568207715,1.3426527902168632,1.1798728142409693,1.0802860614807521,1.1848124975298595,1.1672906071229248,1.20352745412105
P11,0.9935851441869408,1.367502588150673,1.0600538549620062,1.1529749779717722,1.4439326347169952,1.2213807425735137,0.0,1.1081390222400789,1.2534340330148295,1.1412503650163097,1.0416138990505168,1.0914353204908487,1.136466063134594,1.1126338504868993
P10,1.1116057613666057,1.2389163073639744,1.0905425509732631,1.1589562352587215,1.3399578660051759,0.8455703568207715,1.1081390222400789,0.0,1.2948394984180878,1.0476855888690748,0.9847527300799769,1.1337159820132372,1.0850505450760435,1.1276413004718888
P06,1.1842163324928614,1.3288577280685616,1.2254379457322526,1.220432925741012,1.2988947437802687,1.3426527902168632,1.2534340330148295,1.2948394984180878,0.0,1.2336746513580696,1.112465259507723,1.183119181746013,1.1765768341613443,1.2141312815334688
P08,1.0272395467523299,1.0386420221357704,1.0964430136234524,0.9502389224219875,1.2305168034829905,1.1798728142409693,1.1412503650163097,1.0476855888690748,1.2336746513580696,0.0,0.969084191471798,1.1184132654865977,1.0200423247884773,1.0827837291092304
P07,1.018962108160379,1.0340248522765543,1.0462410333512124,1.041388507803807,1.2013831043400067,1.0802860614807521,1.0416138990505168,0.9847527300799769,1.112465259507723,0.969084191471798,0.0,1.07320823798689,1.0868899654294322,1.0370326386792565
P12,1.161056699267006,1.2354412171792943,1.1706839641135738,1.1890045624187708,1.2244606537669906,1.1848124975298595,1.0914353204908487,1.1337159820132372,1.183119181746013,1.1184132654865977,1.07320823798689,0.0,1.1178572797578636,1.0825893234282427
P14,1.1853480544209742,1.2017539147504186,1.184179875324674,1.1658799089985503,1.1623559106902615,1.1672906071229248,1.136466063134594,1.0850505450760435,1.1765768341613443,1.0200423247884773,1.0868899654294322,1.1178572797578636,0.0,1.0437619204472115
P13,1.214175770717064,1.2352110965671546,1.1789385734761433,1.199510513725344,1.2454813696213274,1.20352745412105,1.1126338504868993,1.1276413004718888,1.2141312815334688,1.0827837291092304,1.0370326386792565,1.0825893234282427,1.0437619204472115,0.0
