,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.2117176759879298,1.3631996175401462,1.1555941095825013,1.4829046501476282,5.152232278215114,0.8260592095108438,1.4291870431974176,1.0594869102372435,1.1409568722623211,1.4538155093892158,1.2630644437045044,1.2943834480880725,1.373933266998456
P02,1.2117176759879298,0.0,1.6343356208459576,1.5075633332060938,1.5551799129465795,4.925216742155755,1.3014910926496048,1.4258224596104994,1.2670298444424655,1.1249545440192368,1.3411261892432464,1.3227808822139904,1.3419576512148381,1.4148025503080504
P04,1.3631996175401462,1.6343356208459576,0.0,1.5848229273703267,1.7289117667397669,4.149814860378227,1.313822275708791,1.3527095697008915,1.1621499553864203,1.1499778615308665,1.3445851435183103,1.2376376567511984,1.2560545075703695,1.3196973624065842
P03,1.1555941095825013,1.5075633332060938,1.5848229273703267,0.0,1.4895202843835622,4.81465728451538,1.2800774312121088,1.3347733928203007,1.288738634052251,1.0603118703607646,1.4578680656209297,1.261823221945842,1.3335363004975493,1.3611294551297206
P05,1.4829046501476282,1.5551799129465795,1.7289117667397669,1.4895202843835622,0.0,3.797041218308426,1.5554682734873668,1.5028111352255746,1.7742400115673718,1.1177633489931902,1.353445384511926,1.2248840874038682,1.2572938285544994,1.2405173506452623
P09,5.152232278215114,4.925216742155755,4.149814860378227,4.81465728451538,3.797041218308426,0.0,5.152349701670226,4.219245942496154,4.459706533910803,3.9552186385146797,3.5637232351677786,4.132528827696165,4.012013603153418,3.432026163955564
P11,0.8260592095108438,1.3014910926496048,1.313822275708791,1.2800774312121088,1.5554682734873668,5.152349701670226,0.0,1.284345778453547,1.0456876722820028,1.1360642398813803,1.4504710310086506,1.2140301474108484,1.2841811754617243,1.3181896766244796
P10,1.4291870431974176,1.4258224596104994,1.3527095697008915,1.3347733928203007,1.5028111352255746,4.219245942496154,1.284345778453547,0.0,1.3452978174330616,1.4137755897085003,1.277831974023699,1.1314036967725454,1.207997450759078,1.2252075841656653
P06,1.0594869102372435,1.2670298444424655,1.1621499553864203,1.288738634052251,1.7742400115673718,4.459706533910803,1.0456876722820028,1.3452978174330616,0.0,1.2382846323998402,1.3450814041504089,1.1514186937015292,1.243183210020429,1.2181173742276614
P08,1.1409568722623211,1.1249545440192368,1.1499778615308665,1.0603118703607646,1.1177633489931902,3.9552186385146797,1.1360642398813803,1.4137755897085003,1.2382846323998402,0.0,1.163616816168126,1.1074986320522189,1.1642644575291097,1.1908286117696643
P07,1.4538155093892158,1.3411261892432464,1.3445851435183103,1.4578680656209297,1.353445384511926,3.5637232351677786,1.4504710310086506,1.277831974023699,1.3450814041504089,1.163616816168126,0.0,1.1466882321246095,1.1801095691928956,1.0864702373695199
P12,1.2630644437045044,1.3227808822139904,1.2376376567511984,1.261823221945842,1.2248840874038682,4.132528827696165,1.2140301474108484,1.1314036967725454,1.1514186937015292,1.1074986320522189,1.1466882321246095,0.0,1.1285250742561017,1.1379550358674082
P14,1.2943834480880725,1.3419576512148381,1.2560545075703695,1.3335363004975493,1.2572938285544994,4.012013603153418,1.2841811754617243,1.207997450759078,1.243183210020429,1.1642644575291097,1.1801095691928956,1.1285250742561017,0.0,1.0571868720921924
P13,1.373933266998456,1.4148025503080504,1.3196973624065842,1.3611294551297206,1.2405173506452623,3.432026163955564,1.3181896766244796,1.2252075841656653,1.2181173742276614,1.1908286117696643,1.0864702373695199,1.1379550358674082,1.0571868720921924,0.0
