,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.6832630792809122,2.168219633027468,1.396020916516055,1.798801488028012,1.8085532967258238,1.540642233676045,1.9595141221111296,1.6920442667901112,1.7067711768334894,2.529500287055282,1.6743468121121703,1.6010998047093825,1.493213830638996
P02,1.6832630792809122,0.0,1.6224194086630963,1.5829236634945414,1.9882390411758843,1.8460978700988335,1.629624703539779,1.7937946697749223,1.6107275064182485,1.666297878712728,2.6343797247313647,1.8515814861457411,1.772772757987321,1.7347349607024
P04,2.168219633027468,1.6224194086630963,0.0,1.6256013745135909,1.8852527615244452,2.093395577256775,1.4791212671824165,1.8460825455735999,1.7585770588253655,1.4736224151041015,3.2006255959586487,1.7231565627917218,1.7295517359969155,1.669310965277021
P03,1.396020916516055,1.5829236634945414,1.6256013745135909,0.0,1.8061880387979232,1.5174497637396935,1.504656575518598,1.7138078785680522,1.5306063554917653,1.4743043942712024,2.606807051177888,1.6902134424164241,1.5958974253377411,1.5383660540563513
P05,1.798801488028012,1.9882390411758843,1.8852527615244452,1.8061880387979232,0.0,1.8421416769078416,1.6929388022529817,1.588156808100746,1.6750251151464366,1.569562318713247,2.545931107687933,1.5998554943451235,1.702054921797921,1.600722285849927
P09,1.8085532967258238,1.8460978700988335,2.093395577256775,1.5174497637396935,1.8421416769078416,0.0,1.7713063895166277,1.7122036662034859,1.7090488375491675,1.7088959936781019,2.7181478050034817,1.7576019828005083,1.5075239775400695,1.495737784913121
P11,1.540642233676045,1.629624703539779,1.4791212671824165,1.504656575518598,1.6929388022529817,1.7713063895166277,0.0,1.799309898662957,1.5891673888645896,1.5552303025737104,2.4199715890601934,1.6434726439806258,1.638160628181178,1.6443307678279442
P10,1.9595141221111296,1.7937946697749223,1.8460825455735999,1.7138078785680522,1.588156808100746,1.7122036662034859,1.799309898662957,0.0,1.8807058402769903,1.5127125055168953,2.639017991130361,1.5788389143437807,1.5398852355256512,1.559732945495316
P06,1.6920442667901112,1.6107275064182485,1.7585770588253655,1.5306063554917653,1.6750251151464366,1.7090488375491675,1.5891673888645896,1.8807058402769903,0.0,1.4328861763704812,2.4311301809708152,1.4615440235393737,1.4414485167320736,1.3760762644032376
P08,1.7067711768334894,1.666297878712728,1.4736224151041015,1.4743043942712024,1.569562318713247,1.7088959936781019,1.5552303025737104,1.5127125055168953,1.4328861763704812,0.0,2.48729551999221,1.499532165912318,1.505008414178689,1.4315525969494438
P07,2.529500287055282,2.6343797247313647,3.2006255959586487,2.606807051177888,2.545931107687933,2.7181478050034817,2.4199715890601934,2.639017991130361,2.4311301809708152,2.48729551999221,0.0,2.733547434571657,2.3902594191905195,2.7273173452991704
P12,1.6743468121121703,1.8515814861457411,1.7231565627917218,1.6902134424164241,1.5998554943451235,1.7576019828005083,1.6434726439806258,1.5788389143437807,1.4615440235393737,1.499532165912318,2.733547434571657,0.0,1.4541011441152474,1.399377972932542
P14,1.6010998047093825,1.772772757987321,1.7295517359969155,1.5958974253377411,1.702054921797921,1.5075239775400695,1.638160628181178,1.5398852355256512,1.4414485167320736,1.505008414178689,2.3902594191905195,1.4541011441152474,0.0,1.3816266763228329
P13,1.493213830638996,1.7347349607024,1.669310965277021,1.5383660540563513,1.600722285849927,1.495737784913121,1.6443307678279442,1.559732945495316,1.3760762644032376,1.4315525969494438,2.7273173452991704,1.399377972932542,1.3816266763228329,0.0
