,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.1660318378339514,0.8386397607773427,0.9518188137700463,1.5556201161235914,0.9873737332790037,0.8847576561498782,1.2090553111267,1.2073711415013364,1.0312185920527137,0.9430024996094508,1.3455542007656822,1.3298244976769926,1.3906356393807553
P02,1.1660318378339514,0.0,1.130179462184554,1.1543271002777125,1.7200943478599522,1.0812815991027473,1.2446518344588793,1.360090852502561,1.1133209287698065,1.090833432949839,1.0737358987006722,1.4259178125242542,1.4047982571400979,1.5278654796373148
P04,0.8386397607773427,1.130179462184554,0.0,1.007555651723744,1.8457469407488645,0.855781679527434,0.9184741626713221,1.2205339829176192,1.2534415309121774,1.06561110414406,0.9722621771869123,1.426632679211376,1.4410653309043506,1.4139085405349647
P03,0.9518188137700463,1.1543271002777125,1.007555651723744,0.0,1.793898892483907,0.875060319118521,1.0817954860692471,1.2779725615620496,1.2406350549422345,1.0037115546971027,1.0357801176189547,1.434348081568608,1.5017084005017673,1.4930720407335238
P05,1.5556201161235914,1.7200943478599522,1.8457469407488645,1.793898892483907,0.0,1.7818478171783882,1.6059123607918868,1.3980054303966267,1.5971188958283542,1.6061259103109957,1.6300813603388227,1.2159449487037728,1.2410657768867825,1.2937456700996817
P09,0.9873737332790037,1.0812815991027473,0.855781679527434,0.875060319118521,1.7818478171783882,0.0,1.052933662246991,0.9061112680474331,1.1701416614716105,1.0858922205177173,1.029834598399851,1.3880973713528506,1.4063255489964241,1.3945542816926864
P11,0.8847576561498782,1.2446518344588793,0.9184741626713221,1.0817954860692471,1.6059123607918868,1.052933662246991,0.0,1.1796454753661492,1.3465647944867047,1.045885391460946,1.0231901117198743,1.2299425449101506,1.401134007699586,1.3314471581557035
P10,1.2090553111267,1.360090852502561,1.2205339829176192,1.2779725615620496,1.3980054303966267,0.9061112680474331,1.1796454753661492,0.0,1.4014919628735254,1.3703610266808186,1.148689695091902,1.3250025280196993,1.215141769901666,1.309560756193348
P06,1.2073711415013364,1.1133209287698065,1.2534415309121774,1.2406350549422345,1.5971188958283542,1.1701416614716105,1.3465647944867047,1.4014919628735254,0.0,1.3169513158967663,1.2061888345443288,1.3746893020266218,1.2556098491136956,1.3486648683216216
P08,1.0312185920527137,1.090833432949839,1.06561110414406,1.0037115546971027,1.6061259103109957,1.0858922205177173,1.045885391460946,1.3703610266808186,1.3169513158967663,0.0,0.9494423761706402,1.2864141442129233,1.2991143332298907,1.2571586959466943
P07,0.9430024996094508,1.0737358987006722,0.9722621771869123,1.0357801176189547,1.6300813603388227,1.029834598399851,1.0231901117198743,1.148689695091902,1.2061888345443288,0.9494423761706402,0.0,1.2897673454942757,1.3249926655343338,1.2230042338283085
P12,1.3455542007656822,1.4259178125242542,1.426632679211376,1.434348081568608,1.2159449487037728,1.3880973713528506,1.2299425449101506,1.3250025280196993,1.3746893020266218,1.2864141442129233,1.2897673454942757,0.0,1.3905592045622905,1.2791369868009055
P14,1.3298244976769926,1.4047982571400979,1.4410653309043506,1.5017084005017673,1.2410657768867825,1.4063255489964241,1.401134007699586,1.215141769901666,1.2556098491136956,1.2991143332298907,1.3249926655343338,1.3905592045622905,0.0,1.115639660206166
P13,1.3906356393807553,1.5278654796373148,1.4139085405349647,1.4930720407335238,1.2937456700996817,1.3945542816926864,1.3314471581557035,1.309560756193348,1.3486648683216216,1.2571586959466943,1.2230042338283085,1.2791369868009055,1.115639660206166,0.0
