,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.05777480264392,1.1647059552816963,1.011735335701539,1.5384386529298384,1.2986097428954415,1.106589305969639,1.3268446234149345,0.9026848182694837,0.9931169370668755,1.1302877707500305,1.1594784430109673,1.1311271261100246,1.163205371834251
P02,1.05777480264392,0.0,1.2546266450431596,1.1472752514539128,1.5467917357605283,1.4454295019116554,1.3624562733096963,1.4367464191828752,1.0398020917169195,1.0701825128882647,1.1998474551866731,1.293027609413001,1.1701580858877352,1.250972273618251
P04,1.1647059552816963,1.2546266450431596,0.0,1.366687998279426,1.4789821344609555,1.3028683094398363,1.4105541949986302,1.1886731424161543,1.1432094061462066,1.198145275678499,1.129702354426455,1.1982324903787736,1.1477291813180335,1.12393546163161
P03,1.011735335701539,1.1472752514539128,1.366687998279426,0.0,1.3646347846679727,1.2087117949240682,1.205677202737507,1.4102697631612513,1.048666889532874,0.9595195041343924,1.09715467374221,1.1563823944075307,1.1190348578916796,1.1368814286599427
P05,1.5384386529298384,1.5467917357605283,1.4789821344609555,1.3646347846679727,0.0,1.1148060712455714,1.197508936477558,1.6622177795784483,1.5991278157257995,1.4256146512679428,1.038359264882336,1.274318210951009,1.2015471569586107,1.1792863909735039
P09,1.2986097428954415,1.4454295019116554,1.3028683094398363,1.2087117949240682,1.1148060712455714,0.0,1.2163826696995739,1.1051085763640336,1.356588875049095,1.2202408103622842,0.9951744282424135,1.1837539002915427,1.0916278187862876,1.1235189579878637
P11,1.106589305969639,1.3624562733096963,1.4105541949986302,1.205677202737507,1.197508936477558,1.2163826696995739,0.0,1.5689989530922188,1.3010946032990607,1.2862552443092816,1.0368301559359812,1.119938771217198,1.1263355780049245,1.075458267773495
P10,1.3268446234149345,1.4367464191828752,1.1886731424161543,1.4102697631612513,1.6622177795784483,1.1051085763640336,1.5689989530922188,0.0,1.3608509599748015,1.241951804448567,1.2257002948669808,1.2011555374930565,1.1539729638220506,1.1553539916703734
P06,0.9026848182694837,1.0398020917169195,1.1432094061462066,1.048666889532874,1.5991278157257995,1.356588875049095,1.3010946032990607,1.3608509599748015,0.0,1.078242208195546,1.137363359978788,1.085553504771354,1.0971143121653004,1.1089784797928752
P08,0.9931169370668755,1.0701825128882647,1.198145275678499,0.9595195041343924,1.4256146512679428,1.2202408103622842,1.2862552443092816,1.241951804448567,1.078242208195546,0.0,1.1161922529005155,1.1260998815607597,1.0478633425938553,1.0764810719747095
P07,1.1302877707500305,1.1998474551866731,1.129702354426455,1.09715467374221,1.038359264882336,0.9951744282424135,1.0368301559359812,1.2257002948669808,1.137363359978788,1.1161922529005155,0.0,1.086568899898297,1.0143827793249447,1.0091016943833522
P12,1.1594784430109673,1.293027609413001,1.1982324903787736,1.1563823944075307,1.274318210951009,1.1837539002915427,1.119938771217198,1.2011555374930565,1.085553504771354,1.1260998815607597,1.086568899898297,0.0,1.0440659008345266,1.0590509873597973
P14,1.1311271261100246,1.1701580858877352,1.1477291813180335,1.1190348578916796,1.2015471569586107,1.0916278187862876,1.1263355780049245,1.1539729638220506,1.0971143121653004,1.0478633425938553,1.0143827793249447,1.0440659008345266,0.0,1.0159313460784178
P13,1.163205371834251,1.250972273618251,1.12393546163161,1.1368814286599427,1.1792863909735039,1.1235189579878637,1.075458267773495,1.1553539916703734,1.1089784797928752,1.0764810719747095,1.0091016943833522,1.0590509873597973,1.0159313460784178,0.0
