,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.5466097743741487,1.4044184889933273,1.3472818087078502,1.8838694927778754,1.4456669136398568,1.5667588005592246,1.4705275413731274,1.5245378908750369,1.1668001832783714,1.3743640495600287,1.3095018766254047,1.2813008387921174,1.396096163194666
P02,1.5466097743741487,0.0,1.4996445676847958,1.303521962785254,1.663425854633105,1.41775469061304,1.4494548688344104,1.6568680794773125,1.1678942653926394,1.1855663561824847,1.5251702673302772,1.4007183623227741,1.2401953339635108,1.6078681652372018
P04,1.4044184889933273,1.4996445676847958,0.0,1.3907585090409282,1.6601180611986857,1.648298289294687,1.3702022165242764,1.585873237108297,1.2427500886147302,1.1658264545126784,1.380576615558612,1.285558977150239,1.220809893845394,1.432128246573682
P03,1.3472818087078502,1.303521962785254,1.3907585090409282,0.0,1.593992334502912,1.3816436945438846,1.3759766957368955,1.6117213972104105,1.1841687077862733,1.0668277530527392,1.2265726704549467,1.336849709519352,1.2007848197239805,1.4318313666427822
P05,1.8838694927778754,1.663425854633105,1.6601180611986857,1.593992334502912,0.0,1.681006936413997,1.743394698875399,1.578554038554224,1.7933019122480327,1.578976620269794,1.6641421400931347,1.4419999369814138,1.3542594401592325,1.516240502395931
P09,1.4456669136398568,1.41775469061304,1.648298289294687,1.3816436945438846,1.681006936413997,0.0,1.561634260833039,1.423533743650458,1.5625050825343392,1.5430490642472698,1.4918121778053495,1.4234992237435142,1.292455603062768,1.5120214206932039
P11,1.5667588005592246,1.4494548688344104,1.3702022165242764,1.3759766957368955,1.743394698875399,1.561634260833039,0.0,1.4288637403478541,1.2585224634474097,1.2939926566237134,1.5808312554067958,1.3104232150547996,1.2002013715155275,1.4889706381128494
P10,1.4705275413731274,1.6568680794773125,1.585873237108297,1.6117213972104105,1.578554038554224,1.423533743650458,1.4288637403478541,0.0,1.5943671497782204,1.523590825746052,1.7817547201774082,1.524930197656486,1.281010639334525,1.4642165529383975
P06,1.5245378908750369,1.1678942653926394,1.2427500886147302,1.1841687077862733,1.7933019122480327,1.5625050825343392,1.2585224634474097,1.5943671497782204,0.0,1.0920268098918589,1.4541168458586529,1.2033205261681457,1.1707155161194653,1.4026335629343798
P08,1.1668001832783714,1.1855663561824847,1.1658264545126784,1.0668277530527392,1.578976620269794,1.5430490642472698,1.2939926566237134,1.523590825746052,1.0920268098918589,0.0,1.1436893425843955,1.1650110538808,1.0974263567996283,1.3435557274722985
P07,1.3743640495600287,1.5251702673302772,1.380576615558612,1.2265726704549467,1.6641421400931347,1.4918121778053495,1.5808312554067958,1.7817547201774082,1.4541168458586529,1.1436893425843955,0.0,1.2796347880488688,1.407597440522531,1.3247451339620777
P12,1.3095018766254047,1.4007183623227741,1.285558977150239,1.336849709519352,1.4419999369814138,1.4234992237435142,1.3104232150547996,1.524930197656486,1.2033205261681457,1.1650110538808,1.2796347880488688,0.0,1.1304431177435712,1.1940137732158544
P14,1.2813008387921174,1.2401953339635108,1.220809893845394,1.2007848197239805,1.3542594401592325,1.292455603062768,1.2002013715155275,1.281010639334525,1.1707155161194653,1.0974263567996283,1.407597440522531,1.1304431177435712,0.0,1.2356921783902732
P13,1.396096163194666,1.6078681652372018,1.432128246573682,1.4318313666427822,1.516240502395931,1.5120214206932039,1.4889706381128494,1.4642165529383975,1.4026335629343798,1.3435557274722985,1.3247451339620777,1.1940137732158544,1.2356921783902732,0.0
