,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.4124308933965604,1.5184535482412596,1.32397139946356,1.3676815075868254,1.322810481212435,1.1497583479882905,1.2697040611744062,1.4657792148575437,1.211629836120442,1.144658210719364,1.3401938227485817,1.1165163670837979,1.1580600831964691
P02,1.4124308933965604,0.0,1.5161454439782949,1.5010189321521172,1.3232158671148937,1.1576769712260961,1.5376275133656474,1.5578508571057372,1.3499912158297962,0.9090847214507477,1.1460095377785395,1.5134308520019906,1.176525214393153,1.3536049976334839
P04,1.5184535482412596,1.5161454439782949,0.0,1.207544642386087,1.5265716313193287,1.1189651419923379,1.3449845883726845,1.4101270780096116,1.472945711283103,0.9554581095060339,1.0334403137070511,1.4230619945669556,1.1518083657856515,1.1821012975521117
P03,1.32397139946356,1.5010189321521172,1.207544642386087,0.0,1.043719728702485,1.1411572344594676,1.1269363758081619,1.2211077574176232,1.4623846804538805,0.8995041293427257,1.0770157113013146,1.4562825895768203,1.1689570452402624,1.232906374255511
P05,1.3676815075868254,1.3232158671148937,1.5265716313193287,1.043719728702485,0.0,1.3869888003977482,1.3704189979606232,1.1693994664444214,1.4310457558450835,1.0926367161331876,1.1176186667835617,1.421886721197315,1.1299320911100106,1.238775828746038
P09,1.322810481212435,1.1576769712260961,1.1189651419923379,1.1411572344594676,1.3869888003977482,0.0,1.4347959534339803,1.264008076529795,1.4448770408033031,0.9756519394767565,1.1974651431507601,1.4523789363307822,1.0848424951238949,1.2146931542317148
P11,1.1497583479882905,1.5376275133656474,1.3449845883726845,1.1269363758081619,1.3704189979606232,1.4347959534339803,0.0,1.4178847777316055,1.6059733354001102,1.4407625551602201,1.1533203888381716,1.4049703113364778,1.192559317695337,1.1643331062265523
P10,1.2697040611744062,1.5578508571057372,1.4101270780096116,1.2211077574176232,1.1693994664444214,1.264008076529795,1.4178847777316055,0.0,1.7337865515395763,1.5227444943154371,1.4912447410274323,1.4191365085656293,1.204571505954236,1.2648785465831816
P06,1.4657792148575437,1.3499912158297962,1.472945711283103,1.4623846804538805,1.4310457558450835,1.4448770408033031,1.6059733354001102,1.7337865515395763,0.0,1.3797581454812318,1.4987333523929376,1.3550004705301786,1.2282591242113423,1.271160343430948
P08,1.211629836120442,0.9090847214507477,0.9554581095060339,0.8995041293427257,1.0926367161331876,0.9756519394767565,1.4407625551602201,1.5227444943154371,1.3797581454812318,0.0,0.9604947428660183,1.423910912910404,1.0370852446521477,1.1787650378054275
P07,1.144658210719364,1.1460095377785395,1.0334403137070511,1.0770157113013146,1.1176186667835617,1.1974651431507601,1.1533203888381716,1.4912447410274323,1.4987333523929376,0.9604947428660183,0.0,1.3621252501940484,1.078472631740855,1.1448215953207033
P12,1.3401938227485817,1.5134308520019906,1.4230619945669556,1.4562825895768203,1.421886721197315,1.4523789363307822,1.4049703113364778,1.4191365085656293,1.3550004705301786,1.423910912910404,1.3621252501940484,0.0,1.3025437202588472,1.240088355196474
P14,1.1165163670837979,1.176525214393153,1.1518083657856515,1.1689570452402624,1.1299320911100106,1.0848424951238949,1.192559317695337,1.204571505954236,1.2282591242113423,1.0370852446521477,1.078472631740855,1.3025437202588472,0.0,1.0848166537861252
P13,1.1580600831964691,1.3536049976334839,1.1821012975521117,1.232906374255511,1.238775828746038,1.2146931542317148,1.1643331062265523,1.2648785465831816,1.271160343430948,1.1787650378054275,1.1448215953207033,1.240088355196474,1.0848166537861252,0.0
