,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,0.8911248505503546,1.2920563289003886,1.3356207538944567,1.381675145812337,1.0088917324284357,1.0206843952258824,1.0630459669667378,1.4305183133161634,1.3785928523257334,1.0962204641716604,1.3433744436921742,1.1665291208073547,1.160387065137312
P02,0.8911248505503546,0.0,1.4324464060545994,1.3836623771231271,1.5143377597378824,0.9921642994699368,1.0809504733241946,1.1822402938147036,1.3315888063958148,1.3385121873861807,0.9975916459088632,1.3554585864239308,1.2353452124271722,1.2422783856850599
P04,1.2920563289003886,1.4324464060545994,0.0,1.487279371565607,1.4008350230583153,1.428868694603615,1.1915652551058795,1.4575809445763526,1.2077794247822313,1.2823347394593754,0.9793380673461368,1.161904395628575,1.1714968449186831,1.1109998516708988
P03,1.3356207538944567,1.3836623771231271,1.487279371565607,0.0,1.3158104366384036,1.3126712829177216,1.310070363003009,1.4092088678645094,1.3486692070959383,1.2727687276356163,1.2365808755813101,1.3283357486270793,1.2435022854783686,1.2134955386400947
P05,1.381675145812337,1.5143377597378824,1.4008350230583153,1.3158104366384036,0.0,1.504418870669408,1.2111522090964473,1.5382360158738562,1.3022935130946178,1.0870352932603835,0.9998966891966907,1.185884287607991,1.1400536122996494,1.1544015163155608
P09,1.0088917324284357,0.9921642994699368,1.428868694603615,1.3126712829177216,1.504418870669408,0.0,1.2099190786230458,1.0003695196920848,1.2474705921465434,1.2354339147087814,1.0715680300798687,1.1995270404966367,1.076550675417054,1.0640761978720792
P11,1.0206843952258824,1.0809504733241946,1.1915652551058795,1.310070363003009,1.2111522090964473,1.2099190786230458,0.0,1.244390262154009,1.3138030233408742,1.3057051068329864,1.1107552847026585,1.194706465947279,1.0919766139499192,1.0698756082973424
P10,1.0630459669667378,1.1822402938147036,1.4575809445763526,1.4092088678645094,1.5382360158738562,1.0003695196920848,1.244390262154009,0.0,1.263146523810433,1.3798240480910868,1.0910559031436748,1.3886022677665366,1.1960913712179928,1.1384204693594704
P06,1.4305183133161634,1.3315888063958148,1.2077794247822313,1.3486692070959383,1.3022935130946178,1.2474705921465434,1.3138030233408742,1.263146523810433,0.0,1.4995468401840906,1.2218628521498207,1.1216831278640702,1.213276606430139,1.168454879145297
P08,1.3785928523257334,1.3385121873861807,1.2823347394593754,1.2727687276356163,1.0870352932603835,1.2354339147087814,1.3057051068329864,1.3798240480910868,1.4995468401840906,0.0,1.082427589400681,1.1438341570056436,0.9755236068468004,1.1129638379979823
P07,1.0962204641716604,0.9975916459088632,0.9793380673461368,1.2365808755813101,0.9998966891966907,1.0715680300798687,1.1107552847026585,1.0910559031436748,1.2218628521498207,1.082427589400681,0.0,1.1256176602066201,1.1215465545062127,0.9716406574192438
P12,1.3433744436921742,1.3554585864239308,1.161904395628575,1.3283357486270793,1.185884287607991,1.1995270404966367,1.194706465947279,1.3886022677665366,1.1216831278640702,1.1438341570056436,1.1256176602066201,0.0,1.2573040948817615,1.144058422552429
P14,1.1665291208073547,1.2353452124271722,1.1714968449186831,1.2435022854783686,1.1400536122996494,1.076550675417054,1.0919766139499192,1.1960913712179928,1.213276606430139,0.9755236068468004,1.1215465545062127,1.2573040948817615,0.0,1.0395537555996166
P13,1.160387065137312,1.2422783856850599,1.1109998516708988,1.2134955386400947,1.1544015163155608,1.0640761978720792,1.0698756082973424,1.1384204693594704,1.168454879145297,1.1129638379979823,0.9716406574192438,1.144058422552429,1.0395537555996166,0.0
