,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.726983514143106,1.263160932707838,1.4779328328538417,1.7009367324819058,1.4707131411954588,1.481227607657883,1.7630392274641877,1.2277371157067112,1.1916261354509063,1.405648488842584,1.4883902454342253,1.4303085061771044,1.4953966328677666
P02,1.726983514143106,0.0,1.6829675364547219,1.9211736045963077,1.7732220895511368,1.5672040629564727,1.8387584402269335,1.2743257561278472,1.3095074058457241,1.3622772883375756,1.782463708171689,1.7959277224434842,1.7533179521393738,1.8009211132448235
P04,1.263160932707838,1.6829675364547219,0.0,1.8346815698441488,1.6294815170727073,1.5700711450474671,1.7521842399603305,1.4833017519575762,1.5283218713368005,1.3005685646677458,1.4284412792140446,1.5423481116510682,1.6499958419139085,1.596854095539769
P03,1.4779328328538417,1.9211736045963077,1.8346815698441488,0.0,2.035558806326751,1.8297116013880232,1.500611240691817,1.7150714156666316,1.805187191045348,1.1724368233196458,1.4041315512486108,1.5665133716767898,1.4718214728011902,1.571815594211039
P05,1.7009367324819058,1.7732220895511368,1.6294815170727073,2.035558806326751,0.0,1.9065396369933614,1.835006015269197,1.802452867378772,1.8719503986974584,1.6313074337936446,1.4587005738421928,1.6350885976657683,1.5527705451288043,1.5532091673465114
P09,1.4707131411954588,1.5672040629564727,1.5700711450474671,1.8297116013880232,1.9065396369933614,0.0,1.5294307963450073,1.1383237324127171,1.4810593206364222,1.4126295943354237,1.5303928346972442,1.5235920046184086,1.5386437711797099,1.5701804197394398
P11,1.481227607657883,1.8387584402269335,1.7521842399603305,1.500611240691817,1.835006015269197,1.5294307963450073,0.0,1.7953530688435422,1.6765724706193346,1.491425007961797,1.518544110878185,1.5465731971566068,1.389694204881751,1.4547121750401302
P10,1.7630392274641877,1.2743257561278472,1.4833017519575762,1.7150714156666316,1.802452867378772,1.1383237324127171,1.7953530688435422,0.0,1.3018254402017624,1.4040046112185114,1.7135868993568253,1.742785952603845,1.6858030426473911,1.6885689000830435
P06,1.2277371157067112,1.3095074058457241,1.5283218713368005,1.805187191045348,1.8719503986974584,1.4810593206364222,1.6765724706193346,1.3018254402017624,0.0,1.4059314934533194,1.5775832541111023,1.5145722022309145,1.5368381278749268,1.5766608397375073
P08,1.1916261354509063,1.3622772883375756,1.3005685646677458,1.1724368233196458,1.6313074337936446,1.4126295943354237,1.491425007961797,1.4040046112185114,1.4059314934533194,0.0,1.4342799048266406,1.4480750208060222,1.3599033657753887,1.443828345382241
P07,1.405648488842584,1.782463708171689,1.4284412792140446,1.4041315512486108,1.4587005738421928,1.5303928346972442,1.518544110878185,1.7135868993568253,1.5775832541111023,1.4342799048266406,0.0,1.5417897381920311,1.4019804959564235,1.3175806079901764
P12,1.4883902454342253,1.7959277224434842,1.5423481116510682,1.5665133716767898,1.6350885976657683,1.5235920046184086,1.5465731971566068,1.742785952603845,1.5145722022309145,1.4480750208060222,1.5417897381920311,0.0,1.4769992665811962,1.4451633080862671
P14,1.4303085061771044,1.7533179521393738,1.6499958419139085,1.4718214728011902,1.5527705451288043,1.5386437711797099,1.389694204881751,1.6858030426473911,1.5368381278749268,1.3599033657753887,1.4019804959564235,1.4769992665811962,0.0,1.3610398827554282
P13,1.4953966328677666,1.8009211132448235,1.596854095539769,1.571815594211039,1.5532091673465114,1.5701804197394398,1.4547121750401302,1.6885689000830435,1.5766608397375073,1.443828345382241,1.3175806079901764,1.4451633080862671,1.3610398827554282,0.0
