,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.0637311583175335,1.2062573570644255,1.1148514871872945,2.17186194877155,1.2055138189811687,1.5326825682810319,1.117556627097008,1.7692338065355089,1.0170714495197162,1.1337567811881122,1.2069408463646742,1.3940262436046775,1.3572565972969464
P02,1.0637311583175335,0.0,1.0847417600636475,1.1177814382513396,1.7227768390917475,1.375081660387806,1.6677513020321202,1.3061580194592994,1.840462175524498,1.0280237572622977,1.162451279513619,1.2022296001199944,1.379869367223282,1.3844972973565812
P04,1.2062573570644255,1.0847417600636475,0.0,1.3589979123316624,1.7397401480118082,1.4159005729697747,1.2396215419763181,1.2135119935724472,1.612232078658537,1.2447181023823382,1.2733314304278545,1.213004469530394,1.3310286443264194,1.2391957723183926
P03,1.1148514871872945,1.1177814382513396,1.3589979123316624,0.0,1.7079509016190653,1.1797756443701028,1.3698322347484713,1.032184684003845,1.6119641320552793,0.9594430682471593,0.9914968884730672,1.235092666245053,1.3609205645160622,1.2131879743448861
P05,2.17186194877155,1.7227768390917475,1.7397401480118082,1.7079509016190653,0.0,2.167673362597702,2.0486080634530146,2.286579477262002,1.7494710773403728,1.7375887208434304,2.0647979443619664,1.7309716187320123,1.540071416668509,1.2778259146894515
P09,1.2055138189811687,1.375081660387806,1.4159005729697747,1.1797756443701028,2.167673362597702,0.0,1.7158019441643337,0.8661851224105642,1.767543766920588,1.1610261975738638,1.2255468699043526,1.2194041440385939,1.3356791167177586,1.2848976902203704
P11,1.5326825682810319,1.6677513020321202,1.2396215419763181,1.3698322347484713,2.0486080634530146,1.7158019441643337,0.0,1.3317507804566555,1.4303346563350252,1.6255048231844418,1.3394766394536248,1.1697388308534804,1.3018488884030455,1.2448885586180547
P10,1.117556627097008,1.3061580194592994,1.2135119935724472,1.032184684003845,2.286579477262002,0.8661851224105642,1.3317507804566555,0.0,1.501412099048771,1.1469869401339166,0.990824999299097,1.29390191868622,1.363756297377912,1.302924829812378
P06,1.7692338065355089,1.840462175524498,1.612232078658537,1.6119641320552793,1.7494710773403728,1.767543766920588,1.4303346563350252,1.501412099048771,0.0,1.6832061065192925,1.497558527774183,1.547583951874973,1.3886390263013302,1.4623913247758564
P08,1.0170714495197162,1.0280237572622977,1.2447181023823382,0.9594430682471593,1.7375887208434304,1.1610261975738638,1.6255048231844418,1.1469869401339166,1.6832061065192925,0.0,1.141036109532344,1.2002268256340238,1.2141704847834887,1.210230658675482
P07,1.1337567811881122,1.162451279513619,1.2733314304278545,0.9914968884730672,2.0647979443619664,1.2255468699043526,1.3394766394536248,0.990824999299097,1.497558527774183,1.141036109532344,0.0,1.1842223378917065,1.2417829831041869,1.1845056293754843
P12,1.2069408463646742,1.2022296001199944,1.213004469530394,1.235092666245053,1.7309716187320123,1.2194041440385939,1.1697388308534804,1.29390191868622,1.547583951874973,1.2002268256340238,1.1842223378917065,0.0,1.3087193697466113,1.1304670737277636
P14,1.3940262436046775,1.379869367223282,1.3310286443264194,1.3609205645160622,1.540071416668509,1.3356791167177586,1.3018488884030455,1.363756297377912,1.3886390263013302,1.2141704847834887,1.2417829831041869,1.3087193697466113,0.0,1.2301363395950156
P13,1.3572565972969464,1.3844972973565812,1.2391957723183926,1.2131879743448861,1.2778259146894515,1.2848976902203704,1.2448885586180547,1.302924829812378,1.4623913247758564,1.210230658675482,1.1845056293754843,1.1304670737277636,1.2301363395950156,0.0
