,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.2641985495975563,1.343170311358031,1.4590120542813376,1.410953612510473,1.286354943020637,1.282992376771567,1.5004433385749594,1.1750932962728826,1.11861961493185,1.1544295743676398,1.1553564332470456,1.0974121927489704,1.4501104803049882
P02,1.2641985495975563,0.0,1.405322999392315,1.4854405464084728,1.702708697984784,1.573477820912668,1.8321621289430898,1.9692672492616676,1.0817394630586399,1.0533751969115575,1.4249594218071002,1.3070573080183183,1.188992582054314,1.5546937765066808
P04,1.343170311358031,1.405322999392315,0.0,1.3544041633689081,1.2248693262684023,1.3608233505247116,1.4099475968177555,1.2582254166165983,1.3404204458234406,1.2669393833466502,1.1536619083284563,1.075245490296886,1.1383217102413776,1.3265424738226812
P03,1.4590120542813376,1.4854405464084728,1.3544041633689081,0.0,1.3131777054713505,1.4484983212500535,1.7587049145220264,1.4686437888679358,1.4016482354140363,1.174251487366388,1.3636069277495848,1.2446993067186916,1.2055029161957265,1.4937338263337017
P05,1.410953612510473,1.702708697984784,1.2248693262684023,1.3131777054713505,0.0,1.1982966584809112,1.4002490197740876,1.1833418875701667,1.8180384559074154,1.5582312143711312,1.4293391356590688,1.119562235853277,1.295498904411403,1.3976196968204984
P09,1.286354943020637,1.573477820912668,1.3608233505247116,1.4484983212500535,1.1982966584809112,0.0,1.28865690523331,1.1602548753506146,1.6021937621476614,1.5443324248728871,1.2778614607566394,1.2434367008443858,1.3000292844442305,1.3805442899615117
P11,1.282992376771567,1.8321621289430898,1.4099475968177555,1.7587049145220264,1.4002490197740876,1.28865690523331,0.0,1.4746583532089321,1.6628981568740246,1.816950989602131,1.3668544601238488,1.2332847387836507,1.2686217297664657,1.3705911155367145
P10,1.5004433385749594,1.9692672492616676,1.2582254166165983,1.4686437888679358,1.1833418875701667,1.1602548753506146,1.4746583532089321,0.0,1.9259504824584261,1.8481391690226152,1.4544989783705526,1.2687061573294331,1.5718776329067574,1.3821056717203426
P06,1.1750932962728826,1.0817394630586399,1.3404204458234406,1.4016482354140363,1.8180384559074154,1.6021937621476614,1.6628981568740246,1.9259504824584261,0.0,1.0726394842128377,1.3911394756287954,1.1519697138999676,1.1152973843112997,1.4506496822564536
P08,1.11861961493185,1.0533751969115575,1.2669393833466502,1.174251487366388,1.5582312143711312,1.5443324248728871,1.816950989602131,1.8481391690226152,1.0726394842128377,0.0,1.3499250381846755,1.1256192158033322,0.9985382201944658,1.4613316538986496
P07,1.1544295743676398,1.4249594218071002,1.1536619083284563,1.3636069277495848,1.4293391356590688,1.2778614607566394,1.3668544601238488,1.4544989783705526,1.3911394756287954,1.3499250381846755,0.0,1.2797039025858594,1.2814221936337278,1.269679562313541
P12,1.1553564332470456,1.3070573080183183,1.075245490296886,1.2446993067186916,1.119562235853277,1.2434367008443858,1.2332847387836507,1.2687061573294331,1.1519697138999676,1.1256192158033322,1.2797039025858594,0.0,1.0640503492409852,1.3184079202339276
P14,1.0974121927489704,1.188992582054314,1.1383217102413776,1.2055029161957265,1.295498904411403,1.3000292844442305,1.2686217297664657,1.5718776329067574,1.1152973843112997,0.9985382201944658,1.2814221936337278,1.0640503492409852,0.0,1.3770701419093891
P13,1.4501104803049882,1.5546937765066808,1.3265424738226812,1.4937338263337017,1.3976196968204984,1.3805442899615117,1.3705911155367145,1.3821056717203426,1.4506496822564536,1.4613316538986496,1.269679562313541,1.3184079202339276,1.3770701419093891,0.0
