,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.0237032538844757,1.0509184003147918,1.3940124384585917,1.1145475254292094,1.1634262587446604,0.8842422712653782,1.821999215412701,1.3897734048136334,1.0896878509866872,1.1666804220882043,1.3717082038242596,1.3976839860898096,1.3758066098874195
P02,1.0237032538844757,0.0,1.1011497207078373,1.2876600019275777,1.0546928889751146,1.1821464855661512,0.9224428921410446,1.861979879186219,1.3244566301943048,1.0801304735429642,1.1715403612132338,1.370356925649469,1.4149994060450461,1.3614029624052018
P04,1.0509184003147918,1.1011497207078373,0.0,1.484435124646157,1.2833954144262045,1.10783347014759,1.0248788806471034,1.696787651416743,1.305836013214119,1.157988509723528,1.1011019742497852,1.2966967215203056,1.3769732090909852,1.309721573983513
P03,1.3940124384585917,1.2876600019275777,1.484435124646157,0.0,1.4252422159861107,1.2475289746592186,1.2660542540191053,1.4443426337236622,1.3221227852080983,1.0494620437054147,1.2279859590697957,1.313503663368573,1.3074456602337408,1.2978651644494488
P05,1.1145475254292094,1.0546928889751146,1.2833954144262045,1.4252422159861107,0.0,1.227879965664082,1.0100325746772256,1.8536596883168626,1.3960144625957167,1.0582391791479258,1.2317042397666327,1.3295829130202477,1.3697144260913015,1.3402301643338606
P09,1.1634262587446604,1.1821464855661512,1.10783347014759,1.2475289746592186,1.227879965664082,0.0,1.0447968007033186,1.3768245932816638,1.0873111987008006,0.995097582632574,1.007967734451715,1.2517531880765003,1.2784986816891954,1.2701409816093305
P11,0.8842422712653782,0.9224428921410446,1.0248788806471034,1.2660542540191053,1.0100325746772256,1.0447968007033186,0.0,1.810380243244068,1.2562295192767994,1.0562827499890082,1.1314060362470795,1.2857858208602477,1.3725133815882857,1.2723908719238815
P10,1.821999215412701,1.861979879186219,1.696787651416743,1.4443426337236622,1.8536596883168626,1.3768245932816638,1.810380243244068,0.0,1.571845338690255,1.5535418954209443,1.415239090229443,1.3179013309817373,1.3667771055407147,1.3344732608892456
P06,1.3897734048136334,1.3244566301943048,1.305836013214119,1.3221227852080983,1.3960144625957167,1.0873111987008006,1.2562295192767994,1.571845338690255,0.0,1.237754632162049,1.113688900643979,1.1368968284185652,1.3084371487128705,1.2390870759719623
P08,1.0896878509866872,1.0801304735429642,1.157988509723528,1.0494620437054147,1.0582391791479258,0.995097582632574,1.0562827499890082,1.5535418954209443,1.237754632162049,0.0,0.9205072427941663,1.303087733090013,1.2309149906732615,1.2317304784772707
P07,1.1666804220882043,1.1715403612132338,1.1011019742497852,1.2279859590697957,1.2317042397666327,1.007967734451715,1.1314060362470795,1.415239090229443,1.113688900643979,0.9205072427941663,0.0,1.1781805269675334,1.2552119877128498,1.174558308872005
P12,1.3717082038242596,1.370356925649469,1.2966967215203056,1.313503663368573,1.3295829130202477,1.2517531880765003,1.2857858208602477,1.3179013309817373,1.1368968284185652,1.303087733090013,1.1781805269675334,0.0,1.178005057736221,1.1206771508894142
P14,1.3976839860898096,1.4149994060450461,1.3769732090909852,1.3074456602337408,1.3697144260913015,1.2784986816891954,1.3725133815882857,1.3667771055407147,1.3084371487128705,1.2309149906732615,1.2552119877128498,1.178005057736221,0.0,1.1321593730287058
P13,1.3758066098874195,1.3614029624052018,1.309721573983513,1.2978651644494488,1.3402301643338606,1.2701409816093305,1.2723908719238815,1.3344732608892456,1.2390870759719623,1.2317304784772707,1.174558308872005,1.1206771508894142,1.1321593730287058,0.0
