,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.1867075989139946,1.449505015146926,1.1221910784897509,1.6725076097243121,1.2395847698853624,0.9501010546064868,1.0887882906702162,0.9981023297035724,0.9169207926566678,1.0228824355178807,1.3691487651717782,1.27005620239564,1.1540088900607934
P02,1.1867075989139946,0.0,1.53420843973278,1.4499244390641348,1.572576908928409,1.406934738509622,1.3319436030109923,1.2689910420234913,1.1985532715139469,1.0278484238796162,1.147368732358324,1.5053128925933792,1.2832213409690756,1.2112398784329712
P04,1.449505015146926,1.53420843973278,0.0,1.715305073626816,1.6160260790774859,1.666488262363107,1.4403311509326195,1.4427777404791142,1.345149442817649,1.2394221273863484,1.2783588429201158,1.4108104738898646,1.3615249878470879,1.206525379468368
P03,1.1221910784897509,1.4499244390641348,1.715305073626816,0.0,1.484731015255321,1.1966812298953189,1.0603750779602836,1.1434928804600775,1.0576616146017594,0.906735163424613,1.1660631687111624,1.389666895564108,1.2465814892186373,1.175033857201758
P05,1.6725076097243121,1.572576908928409,1.6160260790774859,1.484731015255321,0.0,1.2478526905053193,1.3323933714106782,1.5446200508516392,1.610482179574679,1.552567727632801,1.232844912944928,1.3534610066874833,1.2248047452238346,1.2638021703136864
P09,1.2395847698853624,1.406934738509622,1.666488262363107,1.1966812298953189,1.2478526905053193,0.0,1.1034394203457112,1.0128208685838387,1.2489727625458966,1.1630986377859605,1.296943811523678,1.2942850392288543,1.2506216923764464,1.1860035878120527
P11,0.9501010546064868,1.3319436030109923,1.4403311509326195,1.0603750779602836,1.3323933714106782,1.1034394203457112,0.0,1.3574709924993917,1.0738523884791433,1.0417279788169806,1.2595242922459646,1.284919832550605,1.211813402767276,1.1145805057789027
P10,1.0887882906702162,1.2689910420234913,1.4427777404791142,1.1434928804600775,1.5446200508516392,1.0128208685838387,1.3574709924993917,0.0,1.2352738677285666,1.1006546102524841,1.0391889706680826,1.2891164441241132,1.170860460162021,1.1174614339880846
P06,0.9981023297035724,1.1985532715139469,1.345149442817649,1.0576616146017594,1.610482179574679,1.2489727625458966,1.0738523884791433,1.2352738677285666,0.0,1.0188273367509668,1.0771601486832356,1.2860702728497841,1.2386045282945035,1.1111103286892
P08,0.9169207926566678,1.0278484238796162,1.2394221273863484,0.906735163424613,1.552567727632801,1.1630986377859605,1.0417279788169806,1.1006546102524841,1.0188273367509668,0.0,1.0536919859749583,1.2959976846839725,1.143164817274215,1.0929109963618897
P07,1.0228824355178807,1.147368732358324,1.2783588429201158,1.1660631687111624,1.232844912944928,1.296943811523678,1.2595242922459646,1.0391889706680826,1.0771601486832356,1.0536919859749583,0.0,1.3299080885707997,1.2023716050373912,1.0088135308961885
P12,1.3691487651717782,1.5053128925933792,1.4108104738898646,1.389666895564108,1.3534610066874833,1.2942850392288543,1.284919832550605,1.2891164441241132,1.2860702728497841,1.2959976846839725,1.3299080885707997,0.0,1.2118631583369577,1.2813156116336066
P14,1.27005620239564,1.2832213409690756,1.3615249878470879,1.2465814892186373,1.2248047452238346,1.2506216923764464,1.211813402767276,1.170860460162021,1.2386045282945035,1.143164817274215,1.2023716050373912,1.2118631583369577,0.0,1.0766031629602655
P13,1.1540088900607934,1.2112398784329712,1.206525379468368,1.175033857201758,1.2638021703136864,1.1860035878120527,1.1145805057789027,1.1174614339880846,1.1111103286892,1.0929109963618897,1.0088135308961885,1.2813156116336066,1.0766031629602655,0.0
