,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.4956639734313408,1.5698328234045553,1.6027053744757358,1.9580985962218156,1.0971067975241708,0.9288942521824572,1.9369017803728674,1.639891043925684,1.750282272874003,1.2046255708725198,1.4469586904877767,1.4922823008894384,1.3315658492726958
P02,1.4956639734313408,0.0,1.4380306253544097,1.4906530076891578,1.8421946164525844,1.3209792275707128,1.1544571845616058,1.7571721410803947,1.5127667921821204,1.4992159813903883,1.0595787057001853,1.4961606427877998,1.4547159437661275,1.2887586971040133
P04,1.5698328234045553,1.4380306253544097,0.0,1.5998926207384738,1.7249994014541408,1.487672997056217,1.5462450283576423,1.3515966615376316,1.4306403995998032,1.1667929117076208,1.1706756082788816,1.2353196262731756,1.3250522261264976,1.1818027981835653
P03,1.6027053744757358,1.4906530076891578,1.5998926207384738,0.0,1.6182658067340063,1.442616238431469,1.4062164971968871,1.5809180962531912,1.4524701096867818,1.5505985498884116,1.2156834349816112,1.4287979700193487,1.425933729718723,1.2568451779061323
P05,1.9580985962218156,1.8421946164525844,1.7249994014541408,1.6182658067340063,0.0,1.6813232754652454,1.6391170269044455,1.7202637300573214,1.8271024872411512,1.4228434776081191,1.594853373697283,1.515365340412579,1.573130007111996,1.223432135573676
P09,1.0971067975241708,1.3209792275707128,1.487672997056217,1.442616238431469,1.6813232754652454,0.0,1.164216363365075,1.6631175859781804,1.5825865264210117,1.441926433120336,1.378962582113616,1.309381060751771,1.3969179452534402,1.3314143239662304
P11,0.9288942521824572,1.1544571845616058,1.5462450283576423,1.4062164971968871,1.6391170269044455,1.164216363365075,0.0,1.82564848404934,1.4575896078762482,1.6462543133060026,0.9676858198600735,1.3807911359132206,1.3902778229133652,1.2163134840561096
P10,1.9369017803728674,1.7571721410803947,1.3515966615376316,1.5809180962531912,1.7202637300573214,1.6631175859781804,1.82564848404934,0.0,1.6677821245715467,1.2916896147674306,1.8725683890765101,1.442989781014878,1.2773399015986366,1.3453253086831585
P06,1.639891043925684,1.5127667921821204,1.4306403995998032,1.4524701096867818,1.8271024872411512,1.5825865264210117,1.4575896078762482,1.6677821245715467,0.0,1.231652987642808,1.4468545909878634,1.2169924340765184,1.269710567715369,1.2357544203999369
P08,1.750282272874003,1.4992159813903883,1.1667929117076208,1.5505985498884116,1.4228434776081191,1.441926433120336,1.6462543133060026,1.2916896147674306,1.231652987642808,0.0,1.700455135312348,1.3831391663984427,1.2442075449922871,1.132977429413103
P07,1.2046255708725198,1.0595787057001853,1.1706756082788816,1.2156834349816112,1.594853373697283,1.378962582113616,0.9676858198600735,1.8725683890765101,1.4468545909878634,1.700455135312348,0.0,1.2368733488721253,1.3658780254027154,1.1703883674994215
P12,1.4469586904877767,1.4961606427877998,1.2353196262731756,1.4287979700193487,1.515365340412579,1.309381060751771,1.3807911359132206,1.442989781014878,1.2169924340765184,1.3831391663984427,1.2368733488721253,0.0,1.319702316651951,1.126516559707333
P14,1.4922823008894384,1.4547159437661275,1.3250522261264976,1.425933729718723,1.573130007111996,1.3969179452534402,1.3902778229133652,1.2773399015986366,1.269710567715369,1.2442075449922871,1.3658780254027154,1.319702316651951,0.0,1.2813566912367387
P13,1.3315658492726958,1.2887586971040133,1.1818027981835653,1.2568451779061323,1.223432135573676,1.3314143239662304,1.2163134840561096,1.3453253086831585,1.2357544203999369,1.132977429413103,1.1703883674994215,1.126516559707333,1.2813566912367387,0.0
