,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
P01,0.0,1.0426991114066777,0.8180335707685455,0.8775005954368013,1.4527628896849716,0.929701715233996,1.0994449889063964,0.995876923603676,1.71304173677943,0.9335141696602736,0.8544241618492591,1.2226199466794883,1.1081662600791147,1.1458566643837915
P02,1.0426991114066777,0.0,1.0025916611484107,1.1533031551917199,1.5660411040356383,1.115692927949747,1.4708170511623928,1.2093456529031452,1.6849564268842463,1.0784783406260254,0.9757419739646832,1.3597351013616858,1.2093008131906497,1.2526459161408134
P04,0.8180335707685455,1.0025916611484107,0.0,1.002724053104878,1.497892557750204,0.9637023737745287,1.2387781040889065,1.039141179773052,1.642721203977468,1.0153378858682516,0.935275567358768,1.250471111081401,1.1359465322702154,1.1229051834603432
P03,0.8775005954368013,1.1533031551917199,1.002724053104878,0.0,1.2763956486724393,0.8687454736368282,1.2690386125406399,1.0591447695465577,1.6953432164034976,0.9653264530539442,0.8879151523901105,1.2750295062647383,1.1023142986999135,1.1903546613939713
P05,1.4527628896849716,1.5660411040356383,1.497892557750204,1.2763956486724393,0.0,1.4650835620639613,1.1531858005540072,1.5519967809295097,1.8326729043899295,0.9749316650417946,1.202408835091382,1.2412559895692117,1.0999408932226622,1.1606484428268127
P09,0.929701715233996,1.115692927949747,0.9637023737745287,0.8687454736368282,1.4650835620639613,0.0,1.2737996607043032,0.8195082738142481,1.6187841003645878,1.0276362846062173,0.8805620900079622,1.1295365638894923,1.0702139789779246,1.0872065000588016
P11,1.0994449889063964,1.4708170511623928,1.2387781040889065,1.2690386125406399,1.1531858005540072,1.2737996607043032,0.0,1.279927698409961,1.6123331941463592,1.177137531630048,1.168391275186373,1.1734888050033543,1.0857947435830482,1.0761285947071735
P10,0.995876923603676,1.2093456529031452,1.039141179773052,1.0591447695465577,1.5519967809295097,0.8195082738142481,1.279927698409961,0.0,1.843334219305966,1.0580296943091914,0.9733508335137995,1.2435736501475272,1.1001231349312666,1.1261357455598615
P06,1.71304173677943,1.6849564268842463,1.642721203977468,1.6953432164034976,1.8326729043899295,1.6187841003645878,1.6123331941463592,1.843334219305966,0.0,1.736149310337728,1.7157847751567363,1.2201662386319692,1.4848200054845262,1.2772876233821022
P08,0.9335141696602736,1.0784783406260254,1.0153378858682516,0.9653264530539442,0.9749316650417946,1.0276362846062173,1.177137531630048,1.0580296943091914,1.736149310337728,0.0,1.0279610796479337,1.134895427891282,0.9707029236744604,1.0082665024543702
P07,0.8544241618492591,0.9757419739646832,0.935275567358768,0.8879151523901105,1.202408835091382,0.8805620900079622,1.168391275186373,0.9733508335137995,1.7157847751567363,1.0279610796479337,0.0,1.181998571425519,1.0116151018154698,1.0413023566011406
P12,1.2226199466794883,1.3597351013616858,1.250471111081401,1.2750295062647383,1.2412559895692117,1.1295365638894923,1.1734888050033543,1.2435736501475272,1.2201662386319692,1.134895427891282,1.181998571425519,0.0,1.1112250365030738,0.9955513702629817
P14,1.1081662600791147,1.2093008131906497,1.1359465322702154,1.1023142986999135,1.0999408932226622,1.0702139789779246,1.0857947435830482,1.1001231349312666,1.4848200054845262,0.9707029236744604,1.0116151018154698,1.1112250365030738,0.0,1.0160186959311488
P13,1.1458566643837915,1.2526459161408134,1.1229051834603432,1.1903546613939713,1.1606484428268127,1.0872065000588016,1.0761285947071735,1.1261357455598615,1.2772876233821022,1.0082665024543702,1.0413023566011406,0.9955513702629817,1.0160186959311488,0.0
