,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Bao,0.0,0.8735126755699655,2.0474587133001045,1.5982800852812782,0.8066470604321918,0.9263236191181626,1.7667903030940426,0.9047548371909876,1.5976139336309203,1.3216768765147584,1.915977117224583,1.2766932257970545,1.2657212765456392,1.490769685262468,1.649174051517275,1.2580029089435711,1.37052028501499,1.0850518988231694,1.4950480558436277,1.5752095749058135,2.0000685174820516,1.6094984281564,0.9073118623952745,1.4686418571481903,1.8678305861625004,1.3379029188552267
Chokdee`,0.8735126755699655,0.0,1.6822070262744646,1.9794451840825749,1.156009086108684,0.8192017166038486,1.362932647035694,0.6713719304033834,0.9873668054491481,1.178498295091328,1.7041682886523633,1.2032115768655676,0.885019054707357,1.506701147578971,1.5043743364708069,0.8037764090457545,1.1687210091951186,0.8120370812418073,1.0099027119911275,1.4040257839865273,1.6382571835267452,1.064547858363636,0.8034706421790164,1.1455933120770672,1.7581304986250605,0.8640116998306621
DDDD,2.0474587133001045,1.6822070262744646,0.0,1.955252596888425,1.9136530212362963,1.7881467095205608,1.9765723064783645,1.8266733470836574,2.2440191283479334,1.799368888190719,1.6363790187811496,1.511953204184117,1.6936766209095244,1.624149321741316,1.5167984364696314,1.6804814206731635,1.592255665418169,1.7321335734206336,1.7921918054965362,2.004458634561687,1.9552345312361865,1.894006488358865,2.0673790210872913,1.741907661018562,1.839305367251538,1.7490794796681726
JJ,1.5982800852812782,1.9794451840825749,1.955252596888425,0.0,1.4689388115474062,1.7741214295533758,1.6111463204989998,1.8914459022607322,2.209536123157084,1.9574210941568857,2.124647789417652,1.4888911455462803,2.045910650165089,1.5191414604016005,2.1205286920934974,1.780875239474487,1.9975386452835935,2.0104120395405998,2.0379062921341387,1.5335050955344731,2.160988546862364,1.877381272525354,1.9673643584217066,1.8979404348882833,2.044740146487453,2.056855868471719
Ja,0.8066470604321918,1.156009086108684,1.9136530212362963,1.4689388115474062,0.0,1.117001629970759,1.777052574950039,0.9551821797643897,1.495626263467042,1.3689806695121296,1.8543943568850174,0.9890880045929082,1.3993777194780797,1.4593178962518671,1.8058402142053271,1.2464198175319743,1.452815827919295,1.2005249546405763,1.863342675727346,1.5730437359118994,1.9747967067684662,1.4544343360673284,1.2460899775025869,1.4597375995183393,2.0166440247977566,1.2210276047556143
Kuga,0.9263236191181626,0.8192017166038486,1.7881467095205608,1.7741214295533758,1.117001629970759,0.0,1.1177582976493003,0.6938493128794283,0.8800863890916623,1.194423676224668,1.6826242720186022,1.163155456807551,0.8949544410990782,1.650781998199592,1.7156252492183952,0.7061695189840133,1.4064424185383642,1.014046075496972,1.8136074960647113,0.9093401850108116,1.4171489305599232,0.9251619280264615,0.9980732312131116,0.9789048228963433,1.7773022655128188,0.7518118639093819
Kurosagi Ichigo,1.7667903030940426,1.362932647035694,1.9765723064783645,1.6111463204989998,1.777052574950039,1.1177582976493003,0.0,1.457260595295817,1.6747706196499814,1.2657013765641618,1.7485209564386253,1.4493555675457905,1.3935436791130966,1.4881189679383795,1.8257356729696503,1.3389836881005028,1.4559851944748634,1.4090351335749656,1.5414942556531057,1.3330023226319536,2.355111327306511,1.5146436941920656,1.8315415532970696,1.6386958871387662,1.9977729181963184,1.7526661886571075
M,0.9047548371909876,0.6713719304033834,1.8266733470836574,1.8914459022607322,0.9551821797643897,0.6938493128794283,1.457260595295817,0.0,0.8655917045397783,1.0960295528685735,1.6129453062468777,1.1223985592769643,0.9861889000969349,1.459499140317395,1.5634961649654293,0.7482948168841514,1.2932243954936868,0.8038038050615876,1.2995365386080326,1.3574913859419928,1.5666453194967178,1.129027152094397,0.6828081151694768,1.071516332002364,1.7773628924244926,0.733237943856493
Mick,1.5976139336309203,0.9873668054491481,2.2440191283479334,2.209536123157084,1.495626263467042,0.8800863890916623,1.6747706196499814,0.8655917045397783,0.0,1.329518481570012,1.6067199643600476,1.1989726058953578,0.9322997227884985,1.5690493996091912,1.7910591969856555,0.7328685875586091,1.5069467017703544,1.0477541992348456,1.9208281986284306,1.750683471152786,1.3976848701169917,1.3928032994380652,1.5555170764215258,1.389430088741278,2.1255108453935283,0.6396266115639564
Micky,1.3216768765147584,1.178498295091328,1.799368888190719,1.9574210941568857,1.3689806695121296,1.194423676224668,1.2657013765641618,1.0960295528685735,1.329518481570012,0.0,1.3807551388188213,1.7161170628272973,1.2904763703507036,1.618997236624276,1.6216659018122943,1.2099523320000374,1.1852582698166207,1.1551291460769533,1.775252471141185,1.608161120529366,1.9633177332707106,1.6590712405971944,1.3827974015412572,1.581361522559052,1.4402993079371043,1.2165594485221984
