participant_code,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Bao,0.0,17.702702386602326,21.3101889267695,19.629605506989964,21.197996925056955,19.732155147391442,19.180142402399355,17.289663469852254,17.682269948420668,17.53849140628476,15.945219986769693,21.750576362561457,18.333481520296523,28.860355069466554,18.348570799789744,19.014561212125017,16.788951299549083,15.884729032985385,23.315452630699035,17.05765954582352,16.75740669555341,15.295438944531432,19.08735936021806,18.436103214075814,16.89700938979282,18.75748677157561
Chokdee`,17.702702386602326,0.0,22.903831429244224,21.235129386541264,20.428035658244053,14.95637015131367,12.742895769481853,10.976767288410626,13.697003008723186,10.269658889315048,11.890201233955324,21.038209825144694,14.140401084023107,29.14843891424203,11.625438575972145,16.22898340913622,12.01045812145911,11.350776760260779,16.924599874488347,15.971070636486198,16.096532007845656,15.32934515930018,9.889892919804716,14.971847243846236,10.172220596966667,15.152248059187624
DDDD,21.3101889267695,22.903831429244224,0.0,12.348858222653423,15.540760800929014,19.92552257458,19.86790783617479,18.154283352931227,16.784646001522905,18.052916063118328,17.92351883226673,15.472850820265075,17.416608863138446,22.861661411033232,21.723904915664708,16.939281872472588,16.452424937719364,18.583795650476674,25.13201597569716,12.036132090282551,13.209557907071355,13.198747097664588,23.9278134681826,16.4823453464766,22.313015593139145,18.24789541801526
JJ,19.629605506989964,21.235129386541264,12.348858222653423,0.0,9.910179351551694,17.09119241339661,18.85217171631864,18.934441314654634,14.701371694201386,16.939047568888082,18.390254924069588,11.194483396965763,15.484450470083878,23.152004073168083,20.918984320385892,14.104226879319759,16.228793963418948,16.443619034921653,25.479107617737615,16.485119438297698,12.16973529496212,11.183689697326063,21.42687621831888,14.893114323122816,22.1479399832521,14.601992450358756
Ja,21.197996925056955,20.428035658244053,15.540760800929014,9.910179351551694,0.0,11.911239952313677,15.117492877723311,19.527558377114183,11.647645747522935,14.604814866904396,20.818863162959623,6.570576068631178,16.16690658641831,29.1914460281565,18.63590218350046,10.127449959070312,14.305934669172878,13.698526889476579,23.054542375307108,18.35000735883773,11.211605905065118,11.790104216528631,18.73747823743352,11.881401456983173,22.181968919762998,9.365275737955857
Kuga,19.732155147391442,14.95637015131367,19.92552257458,17.09119241339661,11.911239952313677,0.0,7.897335429310026,17.997219810977818,8.971273381912928,9.97091423106586,18.94735853042302,10.782810488232835,15.778863388246052,32.88927585092907,10.659887049181622,5.829653312409949,9.192760998005655,7.591655683366189,14.79740016965605,18.73398781402446,12.783455681235198,12.359301499136896,10.916575308609689,6.651491618158113,17.02951175349603,7.355657115812817
Kurosagi Ichigo,19.180142402399355,12.742895769481853,19.86790783617479,18.85217171631864,15.117492877723311,7.897335429310026,0.0,15.109190554058236,7.603465761115125,8.480638331576369,15.805513483741562,13.74681367083764,14.386724605445577,31.13214085750687,6.974245857325793,9.008632305806701,6.022853281037955,9.002839662527476,13.389549577905399,16.78914196607718,13.781797779628016,12.499570319210651,8.791208176255791,7.478844043189736,14.78371268922434,10.10906791544171
M,17.289663469852254,10.976767288410626,18.154283352931227,18.934441314654634,19.527558377114183,17.997219810977818,15.109190554058236,0.0,14.693672575753865,13.039326133049263,9.632503126863842,20.72309465526882,13.772985021398831,24.773800429276978,14.5418503576448,18.561844699005785,12.376596524825008,13.156228917944901,18.820940163353256,10.814546942505707,14.504776537687356,14.984392142249332,15.759780067414665,16.051484142132743,10.316553886776765,16.104437621430698
Mick,17.682269948420668,13.697003008723186,16.784646001522905,14.701371694201386,11.647645747522935,8.971273381912928,7.603465761115125,14.693672575753865,0.0,9.492333512210834,14.654018213589296,11.555441765372871,12.920516176830569,28.75036669863429,10.334239391699578,8.094234933532448,8.06089343940662,9.219717028464697,16.929123210938773,14.787021044341763,10.925709952987283,9.161130495684793,10.572383072775319,7.548905429955997,15.981578730097354,8.989417740539027
Micky,17.53849140628476,10.269658889315048,18.052916063118328,16.939047568888082,14.604814866904396,9.97091423106586,8.480638331576369,13.039326133049263,9.492333512210834,0.0,13.575381328682269,14.585806876662149,13.93070548417106,28.76919095621912,9.903467546784363,10.094950480279444,7.755154318468611,8.389331363382915,15.977192369595166,14.554147959858527,11.324449994050202,10.444745886689608,10.983030386546545,9.34980854694449,12.695965239717083,9.693288227146882
