prompt_id,role,rank,start_position_1based,end_position_1based,span_chars,mp_distance,mean_median_stability_ms_in_span,window
P12,motif,1,48,55,อย่างกระ,0.06536622794673926,19216.4375,8
P12,motif,2,90,97,สำนวนและ,0.06536622794673926,36124.625,8
P12,motif,3,20,27,ียนเขียน,0.06765505227176659,8325.125,8
P12,discord,1,29,36,รุปเรื่อ,0.3898440582010206,11606.8125,8
P12,discord,2,111,118,ยด้วยภาษ,0.36691556580561047,45957.25,8
P12,discord,3,74,81,้ยกตัวอย,0.3489589909915066,30530.5,8
P13,motif,1,62,69,ละคำพังเ,0.05526896453400203,29222.3125,8
P13,motif,2,117,124,ยชน์ต่อก,0.05526896453400203,53833.1875,8
P13,motif,3,27,34,ห้นักเรี,0.1474732205618263,15790.5625,8
P13,discord,1,103,110,นเพื่อเป,0.6042643947074332,48349.8125,8
P13,discord,2,85,92,ายเนื้อห,0.40935253263504173,39385.5625,8
P13,discord,3,50,57,ื่องสุภา,0.39452447817907094,23382.1875,8
P14,motif,1,44,51,งสือเรื่,0.08434723141315648,22483.3125,8
P14,motif,2,91,98,ึกษาปีที,0.08434723141315648,41109.375,8
P14,motif,3,120,127,แก่โรงเร,0.1398878810896563,54241.9375,8
P14,discord,1,94,101,าปีที่ ๖,0.7301696823403592,42279.1875,8
P14,discord,2,134,141,ครือพันธ,0.5678451200689408,59411.75,8
P14,discord,3,18,25, วันนี้เ,0.5015144406983586,13916.375,8
