prompt_id,anon_id,role,rank,subseq_start_event,mp_distance,series_length,max_depth_in_subseq,window
P12,U01,motif,1,0,0.0,159,0.0,12
P12,U01,motif,2,31,0.0,159,1.0,12
P12,U01,motif,3,44,0.0,159,0.0,12
P12,U01,discord,1,15,3.39649181076185,159,4.0,12
P12,U01,discord,2,140,2.7962838376821098,159,1.0,12
P12,U01,discord,3,89,2.7962838376821018,159,1.0,12
P12,U02,motif,1,0,0.0,155,0.0,12
P12,U02,motif,2,13,0.0,155,0.0,12
P12,U02,motif,3,26,0.0,155,0.0,12
P12,U02,discord,1,121,3.1005828171372674,155,2.0,12
P12,U02,discord,2,107,2.796283837682111,155,1.0,12
P12,U02,discord,3,29,2.6803773626321923,155,1.0,12
P12,U03,motif,1,0,0.0,169,0.0,12
P12,U03,motif,2,17,0.0,169,2.0,12
P12,U03,motif,3,30,0.0,169,0.0,12
P12,U03,discord,1,49,3.2564750465615324,169,3.0,12
P12,U03,discord,2,101,2.7962838376821115,169,1.0,12
P12,U03,discord,3,10,1.3342854287815504,169,2.0,12
P12,U04,motif,1,0,0.0,175,0.0,12
P12,U04,motif,2,13,0.0,175,0.0,12
P12,U04,motif,3,26,0.0,175,0.0,12
P12,U04,discord,1,44,2.796283837682109,175,1.0,12
P12,U04,discord,2,77,2.345577222148272,175,3.0,12
P12,U04,discord,3,148,2.0506422476346913,175,3.0,12
P12,U05,motif,1,0,0.0,129,0.0,12
P12,U05,motif,2,13,0.0,129,0.0,12
P12,U05,motif,3,31,0.0,129,0.0,12
P12,U05,discord,1,19,3.4641016151377544,129,1.0,12
P12,U05,discord,2,0,0.0,129,0.0,12
P12,U05,discord,3,32,0.0,129,0.0,12
P12,U06,motif,1,0,0.0,141,0.0,12
P12,U06,motif,2,13,0.0,141,0.0,12
P12,U06,motif,3,26,0.0,141,0.0,12
P12,U06,discord,1,126,3.239933764236777,141,2.0,12
P12,U06,discord,2,34,3.0866576519379905,141,1.0,12
P12,U06,discord,3,112,2.796283837682111,141,1.0,12
P12,U07,motif,1,0,0.0,171,0.0,12
P12,U07,motif,2,13,0.0,171,0.0,12
P12,U07,motif,3,26,0.0,171,1.0,12
P12,U07,discord,1,51,3.265986323710904,171,1.0,12
P12,U07,discord,2,131,2.796283837682111,171,1.0,12
P12,U07,discord,3,144,2.796283837682111,171,1.0,12
P12,U08,motif,1,29,0.0,175,2.0,12
P12,U08,motif,2,42,0.0,175,0.0,12
P12,U08,motif,3,55,0.0,175,1.0,12
P12,U08,discord,1,153,3.211161190079264,175,1.0,12
P12,U08,discord,2,27,2.6461898807878472,175,2.0,12
P12,U08,discord,3,88,2.415503611283793,175,1.0,12
P12,U09,motif,1,0,0.0,143,1.0,12
P12,U09,motif,2,13,0.0,143,1.0,12
P12,U09,motif,3,26,0.0,143,0.0,12
P12,U09,discord,1,5,2.7962838376821098,143,1.0,12
P12,U09,discord,2,111,2.7962838376821084,143,1.0,12
P12,U09,discord,3,62,1.5217786732222172,143,2.0,12
P12,U10,motif,1,0,0.0,143,0.0,12
P12,U10,motif,2,13,0.0,143,0.0,12
P12,U10,motif,3,26,0.0,143,0.0,12
P12,U10,discord,1,109,3.0582748292085733,143,1.0,12
P12,U10,discord,2,81,2.5243770149333047,143,4.0,12
P12,U10,discord,3,0,0.0,143,0.0,12
P12,U11,motif,1,0,0.0,151,0.0,12
P12,U11,motif,2,13,0.0,151,0.0,12
P12,U11,motif,3,26,0.0,151,0.0,12
P12,U11,discord,1,80,3.0309863747036503,151,1.0,12
P12,U11,discord,2,125,2.796283837682111,151,1.0,12
P12,U11,discord,3,37,2.7962838376821098,151,1.0,12
P12,U12,motif,1,0,0.0,161,1.0,12
P12,U12,motif,2,13,0.0,161,0.0,12
P12,U12,motif,3,33,0.0,161,1.0,12
P12,U12,discord,1,122,3.4641016151377544,161,1.0,12
P12,U12,discord,2,30,3.265986323710904,161,1.0,12
P12,U12,discord,3,52,1.6164198315115537,161,2.0,12
P12,U13,motif,1,0,0.0,145,0.0,12
