prompt_id,anon_id,discord_rank,subseq_start_event,mp_distance,series_length
P12,U01,1,83,4.062042580984344,159
P12,U01,2,129,3.9744277889405786,159
P12,U01,3,107,3.8653404239656473,159
P12,U02,1,127,4.099902874202914,155
P12,U02,2,15,3.9548618661380344,155
P12,U02,3,38,3.84278390803301,155
P12,U03,1,136,4.189333735252157,169
P12,U03,2,58,4.019357547555688,169
P12,U03,3,153,3.84337103647412,169
P12,U04,1,39,4.020210718117239,175
P12,U04,2,149,3.9924387395009195,175
P12,U04,3,125,3.963863651318943,175
P12,U05,1,15,4.1605741833680865,129
P12,U05,2,57,4.128068290624986,129
P12,U05,3,106,4.1134784012041115,129
P12,U06,1,120,4.2754307534944145,141
P12,U06,2,7,3.9661526089582595,141
P12,U06,3,51,3.9559816945588704,141
P12,U07,1,143,4.045755440087511,171
P12,U07,2,58,4.042435566738963,171
P12,U07,3,31,4.03954469748034,171
P12,U08,1,3,4.074676360941785,175
P12,U08,2,91,3.9731226717135915,175
P12,U08,3,130,3.9363432771970404,175
P12,U09,1,62,4.135758531706802,143
P12,U09,2,34,4.130341210515063,143
P12,U09,3,93,3.9136419679002503,143
P12,U10,1,24,4.202885744859266,143
P12,U10,2,125,4.078592827905405,143
P12,U10,3,89,3.983163747922272,143
P12,U11,1,119,4.162816250638334,151
P12,U11,2,22,4.083281657401623,151
P12,U11,3,102,3.996157704857546,151
P12,U12,1,104,4.124691790754913,161
P12,U12,2,139,3.9688955437577706,161
P12,U12,3,14,3.939676470208732,161
P12,U13,1,120,4.110230563087437,145
P12,U13,2,64,3.9037311481596877,145
P12,U13,3,19,3.835684905700049,145
P12,U14,1,6,3.7536841196729935,133
P12,U14,2,81,3.726361091089278,133
P12,U14,3,98,3.592555757224089,133
P12,U15,1,8,4.324685868633615,131
P12,U15,2,107,4.073194340479017,131
P12,U15,3,40,4.025476042749355,131
P12,U16,1,33,3.9682623572657927,193
P12,U16,2,112,3.8766367838923883,193
P12,U16,3,131,3.8292752637413834,193
P12,U17,1,188,4.113168152256511,273
