prompt_id,prompt_position,prompt_position_1based,char_j,median_time_to_first_correct_ms,median_time_to_stability_ms,median_revisions,mean_wrong_first,mean_local_friction,prompt_text,prompt_family
P01,0,1,ว,1624.5,1624.5,0.0,0.07692307692307693,0.5892424030739587,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,1,2,ั,1834.5,1834.5,0.0,0.0,-0.19441882125628757,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,2,3,น,2045.5,2045.5,0.0,0.0,-0.2653391076852122,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,3,4,น,2419.5,2419.5,0.0,0.038461538461538464,-0.3517686052859442,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,4,5,ี,2886.5,2886.5,0.0,0.11538461538461539,-0.22372626869003456,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,5,6,้,2999.0,2999.0,0.0,0.11538461538461539,-0.28752224746363103,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,6,7,เ,3234.0,3234.0,0.0,0.15384615384615385,-0.05344855578143305,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,7,8,ร,3367.5,3367.5,0.0,0.038461538461538464,-0.2918038331017948,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,8,9,า,3629.0,3629.0,0.0,0.0,-0.25611699517874187,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,9,10,จ,4250.0,4250.0,0.0,0.038461538461538464,0.045427392616765025,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,10,11,ะ,4656.5,5183.5,0.0,0.11538461538461539,-0.11990661679491693,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,11,12,ท,4904.5,5484.0,0.0,0.07692307692307693,-0.040737830805927064,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,12,13,ำ,5758.0,5758.0,0.0,0.07692307692307693,-0.18517969551881786,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,13,14,ก,5973.5,5973.5,0.0,0.19230769230769232,-0.022939752999284982,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,14,15,า,6055.0,6055.0,0.0,0.15384615384615385,-0.26090035147286117,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,15,16,ร,6183.0,6183.0,0.0,0.07692307692307693,-0.3405203279883603,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,16,17,บ,7103.5,7103.5,0.0,0.11538461538461539,0.10404389316023537,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,17,18,้,7359.5,7359.5,0.0,0.23076923076923078,-0.03329189037920758,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,18,19,า,7442.0,7442.0,0.0,0.11538461538461539,-0.36014028155715955,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
P01,19,20,น,7547.0,7547.0,0.0,0.11538461538461539,-0.3499758079190248,วันนี้เราจะทำการบ้านให้เสร็จ,familiar_baseline
