window_id,trial_uid,participant_code,prompt_id,error_episode_id,window_start_event_index,window_end_event_index,window_length,episode_duration_ms,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms,heuristic_recovery_style,prompt_family
20260419141512-jt34p4__10__P08__E001,20260419141512-jt34p4__10__P08,ก้องฟ้า,P08,1,5,15,11,616,2,2,3,-0.2404944540709856,369.0,deep_overshoot_then_recovery,formal_lexical_difficulty
20260419141512-jt34p4__11__P07__E001,20260419141512-jt34p4__11__P07,ก้องฟ้า,P07,1,10,20,11,1099,2,2,2,-0.1220429205010224,452.0,other_or_shallow_episode,formal_educational
20260419141512-jt34p4__11__P07__E002,20260419141512-jt34p4__11__P07,ก้องฟ้า,P07,2,16,22,7,0,0,0,1,0.3312651329459338,,other_or_shallow_episode,formal_educational
20260419141512-jt34p4__11__P07__E003,20260419141512-jt34p4__11__P07,ก้องฟ้า,P07,3,33,39,7,0,0,0,1,0.037653048622785,,other_or_shallow_episode,formal_educational
20260419141512-jt34p4__12__P12__E001,20260419141512-jt34p4__12__P12,ก้องฟ้า,P12,1,36,42,7,0,0,0,1,-0.1077683289560697,,other_or_shallow_episode,long_familiar_expository
20260419141512-jt34p4__12__P12__E002,20260419141512-jt34p4__12__P12,ก้องฟ้า,P12,2,38,46,9,925,1,1,2,0.2685085737769548,608.0,pause_then_delete,long_familiar_expository
20260419141512-jt34p4__12__P12__E003,20260419141512-jt34p4__12__P12,ก้องฟ้า,P12,3,71,81,11,996,2,2,3,0.212125984616506,322.0,deep_overshoot_then_recovery,long_familiar_expository
20260419141512-jt34p4__12__P12__E004,20260419141512-jt34p4__12__P12,ก้องฟ้า,P12,4,106,112,7,0,0,0,1,0.1607031762519986,,other_or_shallow_episode,long_familiar_expository
20260419141512-jt34p4__12__P12__E005,20260419141512-jt34p4__12__P12,ก้องฟ้า,P12,5,116,126,11,761,2,2,3,0.0312397683161308,253.0,deep_overshoot_then_recovery,long_familiar_expository
20260419141512-jt34p4__12__P12__E006,20260419141512-jt34p4__12__P12,ก้องฟ้า,P12,6,124,132,9,451,1,1,2,-0.1325452972691067,434.0,other_or_shallow_episode,long_familiar_expository
20260419141512-jt34p4__12__P12__E007,20260419141512-jt34p4__12__P12,ก้องฟ้า,P12,7,147,153,7,0,0,0,1,-0.2597309867532158,,other_or_shallow_episode,long_familiar_expository
20260419141512-jt34p4__13__P14__E001,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,1,1,11,11,977,3,3,4,-0.0712664542737384,278.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260419141512-jt34p4__13__P14__E002,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,2,8,14,7,0,0,0,1,-0.106059423364829,,other_or_shallow_episode,long_mixed_difficulty
20260419141512-jt34p4__13__P14__E003,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,3,16,22,7,0,0,0,1,-0.1137323717172782,,other_or_shallow_episode,long_mixed_difficulty
20260419141512-jt34p4__13__P14__E004,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,4,40,46,7,0,0,0,1,0.3783401738904413,,other_or_shallow_episode,long_mixed_difficulty
20260419141512-jt34p4__13__P14__E005,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,5,78,88,11,729,2,2,3,0.0989861653250014,229.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260419141512-jt34p4__13__P14__E006,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,6,93,99,7,0,0,0,1,-1.094001267500744,,other_or_shallow_episode,long_mixed_difficulty
20260419141512-jt34p4__13__P14__E007,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,7,105,111,7,0,0,0,1,-0.2813955981836755,,other_or_shallow_episode,long_mixed_difficulty
20260419141512-jt34p4__13__P14__E008,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,8,112,124,13,1712,3,3,3,0.0202510811386363,581.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260419141512-jt34p4__13__P14__E009,20260419141512-jt34p4__13__P14,ก้องฟ้า,P14,9,170,180,11,652,2,2,3,-0.1946179045668338,415.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260419141512-jt34p4__14__P13__E001,20260419141512-jt34p4__14__P13,ก้องฟ้า,P13,1,1,7,7,0,0,0,1,0.0395149722204052,,other_or_shallow_episode,long_formal_bureaucratic
20260419141512-jt34p4__14__P13__E002,20260419141512-jt34p4__14__P13,ก้องฟ้า,P13,2,51,61,11,582,2,2,3,-0.2016045007776294,317.0,deep_overshoot_then_recovery,long_formal_bureaucratic
20260419141512-jt34p4__14__P13__E003,20260419141512-jt34p4__14__P13,ก้องฟ้า,P13,3,60,66,7,0,0,0,1,0.1724181119862433,,other_or_shallow_episode,long_formal_bureaucratic
20260419141512-jt34p4__14__P13__E004,20260419141512-jt34p4__14__P13,ก้องฟ้า,P13,4,99,105,7,0,0,0,1,-0.1510036338571773,,other_or_shallow_episode,long_formal_bureaucratic
20260419141512-jt34p4__14__P13__E005,20260419141512-jt34p4__14__P13,ก้องฟ้า,P13,5,117,125,9,514,1,1,2,-0.2225985277273221,419.0,other_or_shallow_episode,long_formal_bureaucratic
20260419141512-jt34p4__14__P13__E006,20260419141512-jt34p4__14__P13,ก้องฟ้า,P13,6,132,142,11,998,2,2,2,0.0293216334300304,467.0,other_or_shallow_episode,long_formal_bureaucratic
