participant_code,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
DDDD,41431,161690,38231,41644,44329,68651,32258,28493,41463,31247,51311,98319,109462,99134
Offroad,14325,22104,24693,19113,21752,30560,26737,38977,36273,33071,35768,77896,98808,104183
JJ,18050,22201,24636,21867,28706,42813,65851,50582,39495,37983,40235,84644,156044,104559
Ja,15490,13655,33494,18900,17981,34250,29886,55680,37792,36076,33772,68625,98263,96524
superidol,15164,10100,20288,18800,20639,34849,31961,53010,26302,26344,46616,69465,85242,92236
Shimmy,127950,96600,16072,22493,19366,248816,13518,242653,34289,32856,468445,73242,86106,91231
sine,11199,10622,17085,12545,23330,23526,35461,37960,38866,22166,26300,54298,86920,68188
Plub,7914,9138,15252,13263,14802,98460,14025,33242,21548,20335,27548,49411,69264,61966
Tw,9734,8822,14624,12229,17100,26651,19373,47611,23037,27069,30278,51401,68687,69096
Mick,9761,6560,8476,21753,38195,37405,24620,28874,21416,30838,23395,47188,59369,55131
Bao,10298,9678,14648,17935,11237,23853,18141,47225,30673,16201,30968,99376,56260,59252
name,18112,6266,16067,19364,18588,24941,30957,42857,30159,19263,37308,65650,83261,76773
เทพซ่า676767677,11201,9577,12543,14670,18794,20569,24069,31317,35328,23014,25312,56414,63292,60025
น้ำ,10545,11179,19737,13910,19120,24633,17786,33723,21811,17380,27700,50519,70628,55064
Naenon,7095,14330,16082,12045,25662,25493,15317,42748,26006,21649,27551,56997,71380,70141
champion,16666,8932,12700,12818,15987,22738,13300,42791,18767,20341,24812,49189,54515,62177
Kuga,8799,6897,10707,9747,10180,13514,14567,22037,19920,17184,20828,39051,58678,47276
M,9705,6858,13303,17040,7932,15658,12211,38941,21971,18475,47712,42973,64869,87456
Micky,15781,10034,10236,9442,12048,17720,24488,62997,19192,19948,21344,37482,58653,59004
gobgab,8494,6967,9965,9181,10397,16271,16948,38348,24114,14441,19271,45720,50698,48275
Kurosagi Ichigo,6863,9256,8301,8680,21434,14920,15570,23952,18304,18418,27130,38018,48645,49873
เจ,5061,5839,10100,9275,12585,11026,7697,38100,19133,21705,17594,32257,47064,34669
Chokdee`,10503,4990,7039,9177,8017,14102,9270,113018,17670,11736,15846,33326,41279,50975
Tack,5345,5347,5088,6205,12138,10460,7173,29645,13653,10280,12462,30517,41138,44128
ก้องฟ้า,5297,4030,5907,8598,7178,9329,7910,18950,17071,11055,15943,28638,38698,31937
march,5273,2941,7373,5744,7394,6644,6214,10544,10472,10655,11699,22285,26485,22657
