participant_code,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
DDDD,0.2272514242200695,0.2000742504473827,0.2386353729541716,0.1958262550826895,0.2619098754611694,0.282662296778685,0.2916455355441733,0.205915277398917,0.2698817603297116,0.1341487537628167,0.2004352517135703,0.2627845220500422,0.2279588451823625,0.2398818476079814
Offroad,0.0320176651618686,0.2219169723633778,0.2643221045771662,0.1665318561912916,0.1851569859043574,0.1307402862079631,0.2013850010800587,0.2395845755431249,0.20524115007583,0.1207878837108861,0.1002217041017702,0.1615808608756092,0.1718991505090732,0.2109951520690652
JJ,0.0589572847935464,0.2216648846986516,0.1808259431302602,0.1274170502559333,0.2302099953425225,0.1958165206118333,0.2439021990215223,0.2221096822817983,0.2005999783020794,0.1152537469346117,0.1008820053695401,0.1416796187354339,0.1874209308178324,0.1651471259232899
Ja,0.0631884824142886,0.1237484918095308,0.2280609099733146,0.1237824509451773,0.1403166510655399,0.1754347181765096,0.1653520858225632,0.204855107187575,0.2108137546766839,0.1094643704296465,0.0601284646437603,0.1303147756636873,0.158239543167408,0.1668447752214978
superidol,0.0417304959785633,0.0723196342243443,0.2053750913031241,0.1331325644578358,0.1418735523128476,0.1594613725638288,0.1364565993054129,0.2308349740288072,0.1096458353439159,0.0394135249989455,0.1424299513306027,0.1347369567405081,0.1118635946107252,0.1626769135345736
Shimmy,0.188619906563222,0.1331628338234808,0.0838709701711662,0.0796369665265822,0.0913419733080929,-0.0158020223623087,-0.0577550669437294,0.1680689035287321,0.050367218877972,0.0237871515713199,0.5265573894116083,0.0416375388730958,0.0266989346259339,0.0296082102745781
sine,-0.0569587613535164,0.0645540542330875,0.0973994487334808,0.0130453873043956,0.3189864754158704,0.0532131747600907,0.1169445842487212,0.1338502349443309,0.1590933575482417,-0.0167047153091351,0.0069275682054306,0.0533318850904297,0.0855039125298333,0.0871137199405916
Plub,-0.1424986498488864,-0.0263958062647639,0.0763234939927807,0.0177566538912963,0.0377730474780121,1.0104017619505523,-0.0263274101756304,0.0879297423229521,0.019191297725891,-0.0632682357466155,0.0007823850833622,0.0188899124454103,0.0157147444154176,0.0134714136259832
Tw,-0.0556723304029474,0.0171867528585087,0.1074798864182434,0.0314991320724873,0.1065534756927557,0.0941166674974016,0.0487631442685105,0.1680179023568023,0.0419970670362298,0.0268884524613099,0.0014035269398474,0.0358467602371908,0.0344860117702304,0.0645046561974713
Mick,-0.0967576189512844,-0.0934772457244171,-0.0460991442906965,0.3818258248436327,0.1317295016577373,0.1333217692460271,0.0800722661354284,0.0818774425814071,0.0416613204730264,0.0985987236268136,-0.0840194095839189,-0.0132065350355957,-0.0215338034351471,-0.0243247101474048
