participant_code,prompt_a,prompt_b,distance
Kurosagi Ichigo,P09,P10,0.5953386197439674
Kuga,P09,P10,0.7698994544332642
เทพซ่า676767677,P04,P01,0.8180335707685455
Micky,P09,P10,0.8203438162479896
Plub,P11,P01,0.8260592095108438
Tack,P01,P04,0.8386397607773427
DDDD,P08,P10,0.8452824688826275
Offroad,P09,P10,0.8455703568207715
Ja,P10,P09,0.8611479657824506
sine,P10,P09,0.8661851224105642
ก้องฟ้า,P01,P11,0.8842422712653782
march,P01,P02,0.8911248505503546
gobgab,P03,P08,0.8995041293427257
Tw,P06,P01,0.9026848182694837
น้ำ,P08,P03,0.906735163424613
เจ,P11,P01,0.9288942521824572
Mick,P04,P06,0.9379618951236771
superidol,P08,P14,0.9985382201944658
JJ,P03,P08,0.9995987741076938
Chokdee`,P04,P11,1.0027165854594422
Bao,P01,P08,1.016179570706005
champion,P03,P08,1.0668277530527392
Naenon,P03,P08,1.0960043180143761
M,P11,P05,1.1023408623942788
name,P09,P10,1.1383237324127171
Shimmy,P13,P06,1.3760762644032376
