participant_code,median_cross_prompt_dtw,mean_cross_prompt_dtw
Kuga,1.0651733800712684,1.0713402404343242
เทพซ่า676767677,1.1295365638894923,1.1884358557130705
Tw,1.1553539916703734,1.1927432686467057
Offroad,1.1705817667071179,1.1731318699105024
march,1.2099190786230458,1.2169486644003686
Ja,1.212651374592041,1.2243610264984497
น้ำ,1.2386045282945035,1.2480466330710855
Kurosagi Ichigo,1.245090008114789,1.287707544635114
Tack,1.2556098491136956,1.2568805155785165
gobgab,1.2648785465831816,1.28011459234846
ก้องฟ้า,1.2660542540191053,1.2643897013410408
sine,1.3018488884030455,1.3731164403351437
Plub,1.313822275708791,1.7175319303020553
Mick,1.3290992787738038,1.5267205708515026
superidol,1.3404204458234406,1.3583437489127903
Micky,1.3981160022429404,1.54693664438392
champion,1.4044184889933273,1.4084370410780018
DDDD,1.4067773343839218,1.4204156660455989
JJ,1.421949650109612,1.453072945755721
Naenon,1.4237938542993918,1.4330014222399994
เจ,1.4287979700193487,1.4283428333048545
M,1.4499997431000047,1.469451778565238
Chokdee`,1.4527058022305255,1.4652676271634284
Bao,1.511142686699921,1.9471540970813597
name,1.5368381278749268,1.5560135109339936
Shimmy,1.6750251151464366,1.786794229991841
