participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
Bao,expected_char_class,<missing>,18,13,7,7,5.472382389028476,-0.04807317928272239,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_char_class,arabic_numeral,5,5,2,2,5.976598073130641,0.15269799899968584,0.0,0.0,0.0,0.0,17189.6,17189.6,0.0,0.0
Bao,expected_char_class,english_punctuation,11,3,1,1,5.806234174157923,0.389653538807101,0.36363636363636365,0.0,0.18181818181818182,0.0,14106.0,14106.0,0.0,0.6666666666666666
Bao,expected_char_class,thai_consonant,613,520,14,14,5.458221956328005,-0.04677205410730149,0.06851549755301795,0.02936378466557912,0.0,0.0016313213703099511,23804.148076923077,23969.748076923075,0.019230769230769232,0.1596153846153846
Bao,expected_char_class,thai_diacritic,7,7,5,5,5.449982428316393,0.0006350893319778632,0.0,0.0,0.0,0.0,26138.428571428572,26138.428571428572,0.0,0.14285714285714285
Bao,expected_char_class,thai_numeral,14,4,2,2,6.540939481197725,0.4857732336492857,0.35714285714285715,0.0,0.14285714285714285,0.0,30309.25,30309.25,0.0,0.75
Bao,expected_char_class,thai_tone_mark,61,54,13,13,4.908878378057246,-0.2787155435081308,0.06557377049180328,0.03278688524590164,0.0,0.0,24321.11111111111,24321.11111111111,0.0,0.14814814814814814
Bao,expected_char_class,thai_vowel_mark,352,237,14,14,5.333909711182769,-0.052097060634725835,0.17329545454545456,0.045454545454545456,0.002840909090909091,0.0,22808.400843881856,22808.400843881856,0.0,0.17721518987341772
Bao,expected_char_class,whitespace,147,19,8,8,5.168878329670562,2.053051273880454,0.4421768707482993,0.0,0.0,0.0,23031.526315789473,23031.526315789473,0.0,0.2631578947368421
Bao,expected_hand_proxy,<missing>,18,13,7,7,5.472382389028476,-0.04807317928272239,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_hand_proxy,left,296,224,14,14,5.457961701089141,-0.002400417484542118,0.11824324324324324,0.04054054054054054,0.0033783783783783786,0.0,25929.785714285714,25952.01785714286,0.008928571428571428,0.19642857142857142
Bao,expected_hand_proxy,right,767,606,14,14,5.385639884121097,-0.06707380609058726,0.10560625814863103,0.03129074315514994,0.005215123859191656,0.001303780964797914,22642.389438943894,22776.270627062706,0.013201320132013201,0.15676567656765678
Bao,expected_hand_proxy,thumb,147,19,8,8,5.168878329670562,2.053051273880454,0.4421768707482993,0.0,0.0,0.0,23031.526315789473,23031.526315789473,0.0,0.2631578947368421
Bao,expected_layout,<missing>,18,13,7,7,5.472382389028476,-0.04807317928272239,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_layout,COMMON,147,19,8,8,5.168878329670562,2.053051273880454,0.4421768707482993,0.0,0.0,0.0,23031.526315789473,23031.526315789473,0.0,0.2631578947368421
Bao,expected_layout,EN,16,8,2,2,5.859472892586897,0.3156049326172838,0.25,0.0,0.125,0.0,16033.25,16033.25,0.0,0.25
Bao,expected_layout,TH,1047,822,14,14,5.398845165579634,-0.05463783359004913,0.1069723018147087,0.034383954154727794,0.0028653295128939827,0.0009551098376313276,23602.547445255474,23707.306569343065,0.012165450121654502,0.16666666666666666
Bao,expected_shift_required,0,1129,803,14,14,5.332300061656084,0.20420435588266994,0.14526129317980513,0.025686448184233834,0.002657218777679362,0.0,23442.261519302614,23533.56911581569,0.009962640099626401,0.16313823163138233
Bao,expected_shift_required,1,81,46,11,11,6.000009870310136,0.2357492175554004,0.20987654320987653,0.08641975308641975,0.024691358024691357,0.012345679012345678,24848.32608695652,25126.41304347826,0.043478260869565216,0.2826086956521739
Bao,expected_shift_required,<missing>,18,13,7,7,5.472382389028476,-0.04807317928272239,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_zone_proxy,<missing>,18,13,7,7,5.472382389028476,-0.04807317928272239,0.1111111111111111,0.0,0.0,0.0,23306.846153846152,23679.384615384617,0.07692307692307693,0.07692307692307693
Bao,expected_zone_proxy,center,301,204,14,14,5.3262981776095115,-0.06667563872851998,0.17275747508305647,0.04318936877076412,0.0,0.0,18708.735294117647,18708.735294117647,0.0,0.11764705882352941
