participant_code,n_episodes,mean_episode_duration_ms,mean_max_wrong_suffix_depth,mean_pause_before_first_delete_ms,mean_delete_count,mean_recovery_step_count
Bao,52,1525.3461538461538,3.230769230769231,786.65625,2.3076923076923075,2.3076923076923075
Chokdee`,90,303.84444444444443,1.7222222222222223,341.1951219512195,0.7555555555555555,0.7555555555555555
DDDD,168,65.82142857142857,1.0773809523809523,333.45454545454544,0.09523809523809523,0.09523809523809523
JJ,51,318.88235294117646,1.392156862745098,622.25,0.39215686274509803,0.39215686274509803
Ja,26,152.92307692307693,1.1923076923076923,917.3333333333334,0.19230769230769232,0.19230769230769232
Kuga,18,509.3333333333333,1.5,508.42857142857144,0.5,0.5
Kurosagi Ichigo,44,485.22727272727275,1.75,465.35,0.8863636363636364,0.8863636363636364
M,187,261.951871657754,1.46524064171123,329.5081967213115,0.5294117647058824,0.5294117647058824
Mick,19,2246.7368421052633,4.473684210526316,1529.3636363636363,3.473684210526316,3.473684210526316
Micky,40,631.15,2.45,457.3333333333333,1.5,1.5
Naenon,137,370.64233576642334,1.7591240875912408,338.6753246753247,0.7737226277372263,0.7737226277372263
Offroad,21,111.61904761904762,1.0952380952380953,964.5,0.09523809523809523,0.09523809523809523
Plub,50,1398.6,2.9,411.3636363636364,2.2,2.2
Shimmy,208,2843.1971153846152,1.7740384615384615,369.1958762886598,0.8461538461538461,0.8461538461538461
Tack,50,504.72,2.16,296.1875,1.24,1.24
Tw,19,547.578947368421,1.6842105263157894,728.8571428571429,0.6842105263157895,0.6842105263157895
champion,59,299.77966101694915,1.6440677966101696,417.6842105263158,0.6440677966101694,0.6440677966101694
gobgab,59,182.25423728813558,1.3389830508474576,347.2,0.3389830508474576,0.3389830508474576
march,36,338.1111111111111,1.9722222222222223,354.26666666666665,0.9722222222222222,0.9722222222222222
name,131,374.1526717557252,1.8091603053435115,361.74626865671644,0.8244274809160306,0.8244274809160306
sine,40,767.95,2.3,699.125,1.3,1.3
superidol,57,655.2280701754386,1.9649122807017543,573.5652173913044,0.9649122807017544,0.9649122807017544
ก้องฟ้า,41,405.5365853658537,1.8048780487804879,385.1904761904762,0.9024390243902439,0.9024390243902439
น้ำ,41,211.609756097561,1.3658536585365855,480.1666666666667,0.36585365853658536,0.36585365853658536
เจ,116,304.91379310344826,1.7672413793103448,283.3859649122807,0.8017241379310345,0.8017241379310345
เทพซ่า676767677,27,692.4074074074074,1.8148148148148149,1103.0,0.8518518518518519,0.8518518518518519
