prompt_id,n_episodes,mean_episode_duration_ms,mean_max_wrong_suffix_depth,mean_pause_before_first_delete_ms,mean_delete_count,mean_recovery_step_count
P01,74,295.7027027027027,1.4324324324324325,507.625,0.44594594594594594,0.44594594594594594
P02,43,213.37209302325581,1.3953488372093024,349.4,0.3953488372093023,0.3953488372093023
P03,81,435.34567901234567,1.8518518518518519,399.0,0.8888888888888888,0.8888888888888888
P04,61,258.1475409836066,1.4426229508196722,366.25,0.47540983606557374,0.47540983606557374
P05,104,611.2115384615385,1.9807692307692308,658.3333333333334,1.0192307692307692,1.0192307692307692
P06,109,413.51376146788994,1.7431192660550459,435.27272727272725,0.7889908256880734,0.7889908256880734
P07,159,2266.4528301886794,1.830188679245283,389.1636363636364,0.9182389937106918,0.9182389937106918
P08,77,456.6753246753247,1.9350649350649352,397.125,1.0,1.0
P09,97,3042.7319587628867,2.134020618556701,551.4,1.2783505154639174,1.2783505154639174
P10,158,297.4810126582278,1.481012658227848,422.79245283018867,0.5063291139240507,0.5063291139240507
P11,61,516.9672131147541,2.0491803278688523,504.03846153846155,1.0491803278688525,1.0491803278688525
P12,191,583.958115183246,2.0418848167539267,472.5301204819277,1.0628272251308901,1.0628272251308901
P13,294,372.31632653061223,1.7074829931972788,382.6796875,0.7517006802721088,0.7517006802721088
P14,278,329.568345323741,1.6510791366906474,365.12605042016804,0.6798561151079137,0.6798561151079137
