term,coef,std_err,p_value,ci_low,ci_high,model_name,focus_term
Intercept,8.530063376580962,0.08953257058734783,0.0,8.354582762786471,8.705543990375453,rq2_log_time_to_stability,False
C(char_class_j)[T.english_punctuation],-0.39551924848598935,0.10221306005595333,0.00010903334798227797,-0.5958531649452875,-0.19518533202669122,rq2_log_time_to_stability,False
C(char_class_j)[T.thai_consonant],0.09419069642968111,0.08330566236252492,0.25819662495044793,-0.06908540150912162,0.25746679436848385,rq2_log_time_to_stability,False
C(char_class_j)[T.thai_diacritic],0.6957560490466081,0.10445334519703188,2.7210681333331483e-11,0.49103125439569584,0.9004808436975205,rq2_log_time_to_stability,False
C(char_class_j)[T.thai_numeral],1.578054754476807,0.15109177127473408,1.555234344231249e-25,1.2819203244179649,1.8741891845356493,rq2_log_time_to_stability,False
C(char_class_j)[T.thai_tone_mark],0.0823001804534739,0.08785453155323777,0.34887283383600987,-0.08989153726950991,0.2544918981764577,rq2_log_time_to_stability,False
C(char_class_j)[T.thai_vowel_mark],-0.0076684198311154144,0.08433697375913159,0.9275514269743039,-0.17296585096411293,0.15762901130188212,rq2_log_time_to_stability,False
C(prompt_id)[T.P02],0.036273402073436545,0.050638023885171135,0.47378923520747374,-0.0629753009897779,0.13552210513665097,rq2_log_time_to_stability,False
C(prompt_id)[T.P03],0.14300730157009836,0.040928644248919094,0.0004757269970399255,0.06278863290616453,0.22322597023403218,rq2_log_time_to_stability,False
C(prompt_id)[T.P04],0.10756997919778727,0.044429929907054966,0.015472972410317523,0.020488916744320504,0.19465104165125402,rq2_log_time_to_stability,False
C(prompt_id)[T.P05],0.0774235863922536,0.04744487310258716,0.10270811270530701,-0.015566656139890375,0.17041382892439755,rq2_log_time_to_stability,False
C(prompt_id)[T.P06],0.6876383808274859,0.04217685722044864,9.291045738264947e-60,0.6049732596943184,0.7703035019606533,rq2_log_time_to_stability,False
C(prompt_id)[T.P07],0.8399611296655134,0.03909375142775778,2.1132078931764127e-102,0.7633387848465468,0.91658347448448,rq2_log_time_to_stability,False
C(prompt_id)[T.P08],0.43058561114682825,0.03829047068861872,2.4442528118350838e-29,0.355537667646049,0.5056335546476075,rq2_log_time_to_stability,False
C(prompt_id)[T.P09],0.7315766727402654,0.048224299999436365,5.562948722017865e-52,0.6370587815617151,0.8260945639188156,rq2_log_time_to_stability,False
C(prompt_id)[T.P10],0.6977119861934638,0.04559701036681653,7.447998105946975e-53,0.6083434880718038,0.7870804843151237,rq2_log_time_to_stability,False
C(prompt_id)[T.P11],0.3624809662093126,0.042778183613016614,2.3812653263808528e-17,0.27863726700375846,0.4463246654148667,rq2_log_time_to_stability,False
C(prompt_id)[T.P12],1.1923407706433322,0.03570393185830073,1.6083361693041327e-244,1.1223623500945905,1.262319191192074,rq2_log_time_to_stability,False
C(prompt_id)[T.P13],1.5083921617261,0.034145617253165915,0.0,1.4414679816800053,1.5753163417721947,rq2_log_time_to_stability,False
C(prompt_id)[T.P14],1.5771502604604504,0.03429979561280821,0.0,1.5099238963822614,1.6443766245386393,rq2_log_time_to_stability,False
distance_from_prev_correct_j,0.017668504190656936,0.0030923889316529897,1.1064641359136763e-08,0.011607533258426781,0.02372947512288709,rq2_log_time_to_stability,True
layout_switch_into_j,0.32082024540668386,0.06584260972315509,1.1017681212908286e-06,0.19177110170117312,0.4498693891121946,rq2_log_time_to_stability,True
shift_required_j,-0.28508973904157986,0.03459898950054754,1.7245770685980724e-16,-0.3529025123641325,-0.21727696571902722,rq2_log_time_to_stability,True
