prompt_id,median_euclidean_distance,mean_euclidean_distance
P14,5.396839661925826,6.520464785113665
P13,5.043392871766106,5.839451857498233
P12,4.6705921782057205,5.380918897860974
P11,4.5361240972106485,5.314814853834636
P09,4.496452921564484,6.780027709894023
P07,4.038073491337316,5.484783955640985
P10,3.590235071985343,4.554416087251123
P08,3.535492145940914,3.9004497808347276
P04,3.2182293132143154,3.6121687988944142
P05,3.149384503253881,3.5619054802585604
P06,3.022245526868823,3.4091211556045393
P01,2.946078550478131,3.7158075043210297
P02,2.7767613502516,4.07043227304216
P03,2.6811459143668652,3.0014078914572915
