prompt_id,participant_a,participant_b,distance
P02,gobgab,Mick,0.334048503598544
P01,น้ำ,Bao,0.4217915795480104
P08,Kuga,Bao,0.4764462077098382
P03,Kurosagi Ichigo,Kuga,0.4827858633958757
P11,Shimmy,Plub,0.4922394658482456
P09,Micky,gobgab,0.5434053402435106
P05,Chokdee`,M,0.5442631601994459
P04,ก้องฟ้า,Tack,0.5660593370900747
P06,Naenon,superidol,0.5892511921475329
P07,Ja,Offroad,0.6550498646459904
P12,sine,Plub,0.7579822175098467
P10,น้ำ,เทพซ่า676767677,0.7982637231636477
P13,DDDD,Offroad,0.9832975551354665
P14,champion,Bao,1.060211654311734
